Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC Desecrated	TC(N)	TC(N) Desecrated	TC(H)	TC(H) Desecrated	*eol
Ancient Barbarian 3	Ancient Barbarian 3	ancientbarb3	45		0	0	0	0	0	0	1		11	11	11							0
Axe Dweller	Axe Dweller	bloodlord3	46		5	6	7	2	2	0	0		20	20	20	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Bonesaw Breaker	Bonesaw Breaker	reanimatedhorde2	47		5	8	0	5	5	0	0		35	35	35	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Dac Farren	Dac Farren	imp3	48		18	0	0	4	4	0	0	1	36	36	36	Act 5 Super B		Act 5 (N) Super B		Act 5 (H) Super B	Act 5 (H) Super B Desecrated	0
Megaflow Rectifier	Megaflow Rectifier	minion1	49		1	6	0	8	8	0	0	1	21	21	21	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Eyeback Unleashed	Eyeback Unleashed	deathmauler1	50		5	6	0	2	2	0	0		8	8	8	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Thresh Socket	Thresh Socket	siegebeast3	51		7	0	0	0	0	0	0		37	37	37	Act 5 Super Cx		Act 5 (N) Super Cx		Act 5 (H) Super Cx	Act 5 (H) Super Cx Desecrated	0
Pindleskin	Pindleskin	reanimatedhorde5	52		9	0	0	6	6	0	0		22	22	22	Act 5 Super Cx		Act 5 (N) Super Cx		Act 5 (H) Super Cx	Act 5 (H) Super Cx Desecrated	0
Snapchip Shatter	Snapchip Shatter	frozenhorror1	53		7	18	0	4	4	0	0		23	23	23	Snapchip		Snapchip (N)		Snapchip (H)	Act 5 (H) Super C Desecrated	0
Anodized Elite	Anodized Elite	succubus4	54		9	7	0	6	6	0	0		38	38	38	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Vinvear Molech	Vinvear Molech	succubuswitch2	55		8	5	18	0	0	0	0		23	23	23	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Sharp Tooth Sayer	Sharp Tooth Sayer	overseer3	56		6	0	0	3	3	0	0	1	24	24	24	Act 5 Super B		Act 5 (N) Super B		Act 5 (H) Super B	Act 5 (H) Super B Desecrated	0
Magma Torquer	Magma Torquer	imp5	57		5	7	0	5	5	0	0		9	9	9	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Blaze Ripper	Blaze Ripper	deathmauler5	58		17	6	0	4	4	0	0		10	10	10	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Frozenstein	Frozenstein	snowyeti4	59		18	15	0	5	6	0	0		19	19	19	Frozenstein	Frozenstein Desecrated A	Frozenstein (N)	Frozenstein (N) Desecrated A	Frozenstein (H)	Frozenstein (H) Desecrated A	0
Nihlathak Boss	Nihlathak	nihlathakboss	60		0	0	0	0	0	0	0		28	28	28	Nihlathak	Nihlathak Desecrated	Nihlathak (N)	Nihlathak (N) Desecrated	Nihlathak (H)	Nihlathak (H) Desecrated	0
Baal Subject 1	Baal Subject 1	fallenshaman5	61		9	0	0	5	5	0	0		29	29	29	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 2	Baal Subject 2	unraveler5	62		23	0	0	3	3	0	0		21	21	21	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 3	Baal Subject 3	baalhighpriest	63		17	0	0	5	5	0	0		36	36	36	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 4	Baal Subject 4	venomlord	64		6	0	0	8	8	0	0		20	20	20	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 5	Baal Subject 5	baalminion1	65		27	0	0	5	5	0	0		20	20	20	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Raven Talon	Raven Talon	raventalon	73		5	16	0	0	0	0	0		7	7	7	Act 1 LT	Act 1 LT	Act 1 (N) LT	Act 1 (N) LT Desecrated	Act 1 (H) LT	Act 1 (H) LT Desecrated	0
Raven Eye	Raven Eye	raveneye	74		6	16	0	0	0	0	0		7	7	7	Act 1 LT	Act 1 LT	Act 1 (N) LT	Act 1 (N) LT Desecrated	Act 1 (H) LT	Act 1 (H) LT Desecrated	0
Smith Sword	Smith Sword	smithsword	75		6	0	0	0	0	0	1		10	10	10	Act 2 LT Swarm	Act 2 LT Swarm	Act 2 (N) LT Swarm	Act 2 (N) LT Swarm Desecrated	Act 2 (H) LT Swarm	Act 2 (H) LT Swarm Desecrated	0
Hephasto Sword	Hephasto Sword	hephastosword	76		6	0	0	0	0	0	1		30	30	30	Act 4 LT Swarm	Act 4 LT Swarm	Act 4 (N) LT Swarm	Act 4 (N) LT Swarm Desecrated	Act 4 (H) LT Swarm	Act 4 (H) LT Swarm Desecrated	0
Legion	Legion	legion	77		5	16	0	0	0	0	0		7	7	7	Act 4 LT	Act 4 LT	Act 4 (N) LT	Act 4 (N) LT Desecrated	Act 4 (H) LT	Act 4 (H) LT Desecrated	0
Leviathan	Leviathan	leviathan	78		5	16	0	0	0	0	0		14	14	14	Act 4 LT	Act 4 LT	Act 4 (N) LT	Act 4 (N) LT Desecrated	Act 4 (H) LT	Act 4 (H) LT Desecrated	0
Kudaai	Kudaai	kudaai	79		5	16	28	0	0	0	0		7	7	7	Act 4 LT	Act 4 LT	Act 4 (N) LT	Act 4 (N) LT Desecrated	Act 4 (H) LT	Act 4 (H) LT Desecrated	0
Shenk Lieutenant	Shenk Lieutenant	shenk2nd	80		6	16	0	0	0	0	1		7	7	7	Act 5 LT Swarm	Act 5 LT Swarm	Act 5 (N) LT Swarm	Act 5 (N) LT Swarm Desecrated	Act 5 (H) LT Swarm	Act 5 (H) LT Swarm Desecrated	0
Tormented Sister	Tormented Sister	tormentedsister	81		6	16	0	0	0	0	1		7	7	7	Act 1 LT Swarm	Act 1 LT Swarm	Act 1 (N) LT Swarm	Act 1 (N) LT Swarm Desecrated	Act 1 (H) LT Swarm	Act 1 (H) LT Swarm Desecrated	0
Baal Fighter	Baal Fighter	baalfighter	82		5	16	32	0	0	0	0		20	20	7	Act 5 LT	Act 5 LT	Act 5 (N) LT	Act 5 (N) LT Desecrated	Act 5 (H) LT	Act 5 (H) LT Desecrated	0
Baal Mage	Baal Mage	baalmage	83		6	16	35	0	0	0	0		30	30	7	Act 5 LT	Act 5 LT	Act 5 (N) LT	Act 5 (N) LT Desecrated	Act 5 (H) LT	Act 5 (H) LT Desecrated	0
Betsy, The Cow Queen	Betsy, The Cow Queen	cowking	84		25	17	0	6	6	1	0		27	27	27	Cow King	Cow King Desecrated A	Cow King (N)	Cow King (N) Desecrated A	Cow King (H)	Cow King (H) Desecrated A	0
The Skeleton King	skeletonking	skeletonking	85		0	0	0	1	2	0	0		51	51	51							0
Maghda, Leader of the Coven	maghda	maghda	86		0	0	0	5	8	0	0		110	110	110							0
Na-Krul, Lord of Hellfire	nakrul	nakrul	87		0	0	0	0	0	0	0		2	2	2							0
Belial, Lord of Lies	belial	belial	88		0	0	0	0	0	0	0		2	2	2							0
labdiablo	Diablo	labdiablo	89		0	0	0	0	0	0	0		24	24	24							0
rmap_md1_warden	RMapBossmd1	rmap_md1_boss	90		0	0	0	2	3	0	0		3	3	3	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	0
rmap_md2_warden	RMapBossmd2	rmap_md2_boss	91		0	0	0	3	4	0	0		3	3	3	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	0
rmap_md3_warden	RMapBossmd3	rmap_md3_boss	92		0	0	0	4	5	0	0		3	3	3	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	0
rmap_md4_warden	RMapBossmd4	rmap_md4_boss	93		0	0	0	5	6	0	0		3	3	3	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	0
rmap_md5_warden	RMapBossmd5	rmap_md5_boss	94		0	0	0	6	7	0	0		3	3	3	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	0
rmap_md6_warden	RMapBossmd6	rmap_md6_boss	95		0	0	0	9	10	0	0		3	3	3	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	0
rmap_mk1_warden	RMapBossmk1	rmap_mk1_boss	96		0	0	0	2	2	0	0		3	3	3	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	0
rmap_mk2_warden	RMapBossmk2	rmap_mk2_boss	97		0	0	0	3	3	0	0		3	3	3	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	0
rmap_mk3_warden	RMapBossmk3	rmap_mk3_boss	98		0	0	0	4	4	0	0		3	3	3	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	0
rmap_mk4_warden	RMapBossmk4	rmap_mk4_boss	99		0	0	0	5	5	0	0		3	3	3	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	0
rmap_mk5_warden	RMapBossmk5	rmap_mk5_boss	100		0	0	0	6	6	0	0		3	3	3	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	0
rmap_mk6_warden	RMapBossmk6	rmap_mk6_boss	101		0	0	0	9	9	0	0		3	3	3	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	0
rmap_mc1_warden	RMapBossmc1	rmap_mc1_boss	102		0	0	0	3	5	0	0		3	3	3	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	0
rmap_mc2_warden	RMapBossmc2	rmap_mc2_boss	103		0	0	0	4	6	0	0		3	3	3	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	0
rmap_mc3_warden	RMapBossmc3	rmap_mc3_boss	104		0	0	0	5	7	0	0		3	3	3	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	0
rmap_mc4_warden	RMapBossmc4	rmap_mc4_boss	105		0	0	0	6	8	0	0		3	3	3	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	0
rmap_mc5_warden	RMapBossmc5	rmap_mc5_boss	106		0	0	0	7	9	0	0		3	3	3	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	0
rmap_mc6_warden	RMapBossmc6	rmap_mc6_boss	107		0	0	0	10	12	0	0		3	3	3	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	0
rmap_mf1_warden	RMapBossmf1	rmap_mf1_boss	108		0	0	0	2	4	0	0		3	3	3	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	0
rmap_mf2_warden	RMapBossmf2	rmap_mf2_boss	109		0	0	0	3	5	0	0		3	3	3	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	0
rmap_mf3_warden	RMapBossmf3	rmap_mf3_boss	110		0	0	0	4	6	0	0		3	3	3	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	0
rmap_mf4_warden	RMapBossmf4	rmap_mf4_boss	111		0	0	0	5	7	0	0		3	3	3	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	0
rmap_mf5_warden	RMapBossmf5	rmap_mf5_boss	112		0	0	0	6	8	0	0		3	3	3	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	0
rmap_mf6_warden	RMapBossmf6	rmap_mf6_boss	113		0	0	0	9	11	0	0		3	3	3	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	0
rmap_mw1_warden	RMapBossmw1	rmap_mw1_boss	114		0	0	0	4	6	0	0		3	3	3	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	0
rmap_mw2_warden	RMapBossmw2	rmap_mw2_boss	115		0	0	0	5	7	0	0		3	3	3	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	0
rmap_mw3_warden	RMapBossmw3	rmap_mw3_boss	116		0	0	0	6	8	0	0		3	3	3	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	0
rmap_mw4_warden	RMapBossmw4	rmap_mw4_boss	117		0	0	0	7	9	0	0		3	3	3	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	0
rmap_mw5_warden	RMapBossmw5	rmap_mw5_boss	118		0	0	0	8	10	0	0		3	3	3	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	0
rmap_mw6_warden	RMapBossmw6	rmap_mw6_boss	119		0	0	0	11	13	0	0		3	3	3	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	0
rmap_ms1_warden	RMapBossms1	rmap_ms1_boss	120		0	0	0	3	4	0	0		3	3	3	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	0
rmap_ms2_warden	RMapBossms2	rmap_ms2_boss	121		0	0	0	4	5	0	0		3	3	3	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	0
rmap_ms3_warden	RMapBossms3	rmap_ms3_boss	122		0	0	0	5	6	0	0		3	3	3	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	0
rmap_ms4_warden	RMapBossms4	rmap_ms4_boss	123		0	0	0	6	7	0	0		3	3	3	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	0
rmap_ms5_warden	RMapBossms5	rmap_ms5_boss	124		0	0	0	7	8	0	0		3	3	3	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	0
rmap_ms6_warden	RMapBossms6	rmap_ms6_boss	125		0	0	0	10	11	0	0		3	3	3	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	0
rmap_mh1_warden	RMapBossmh1	rmap_mh1_boss	126		0	0	0	3	5	0	0		3	3	3	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	0
rmap_mh2_warden	RMapBossmh2	rmap_mh2_boss	127		0	0	0	4	6	0	0		3	3	3	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	0
rmap_mh3_warden	RMapBossmh3	rmap_mh3_boss	128		0	0	0	5	7	0	0		3	3	3	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	0
rmap_mh4_warden	RMapBossmh4	rmap_mh4_boss	129		0	0	0	6	8	0	0		3	3	3	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	0
rmap_mh5_warden	RMapBossmh5	rmap_mh5_boss	130		0	0	0	7	9	0	0		3	3	3	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	0
rmap_mh6_warden	RMapBossmh6	rmap_mh6_boss	131		0	0	0	10	12	0	0		3	3	3	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	0
rmap_mt1_warden	RMapBossmt1	rmap_mt1_boss	132		0	0	0	3	5	0	0		3	3	3	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	RMap T1 Boss	0
rmap_mt2_warden	RMapBossmt2	rmap_mt2_boss	133		0	0	0	4	6	0	0		3	3	3	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	RMap T2 Boss	0
rmap_mt3_warden	RMapBossmt3	rmap_mt3_boss	134		0	0	0	5	7	0	0		3	3	3	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	RMap T3 Boss	0
rmap_mt4_warden	RMapBossmt4	rmap_mt4_boss	135		0	0	0	6	8	0	0		3	3	3	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	RMap T4 Boss	0
rmap_mt5_warden	RMapBossmt5	rmap_mt5_boss	136		0	0	0	7	9	0	0		3	3	3	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	RMap T5 Boss	0
rmap_mt6_warden	RMapBossmt6	rmap_mt6_boss	137		0	0	0	10	12	0	0		3	3	3	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	RMap T6 Boss	0
