Id	prop1	chance1	par1	min1	max1	prop2	chance2	par2	min2	max2	prop3	chance3	par3	min3	max3	prop4	chance4	par4	min4	max4	prop5	chance5	par5	min5	max5	prop6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
diablo_monprop																																																													att-skill		195	40	11	att-skill		171	40	11	swing1			30	30	att-skill		17	50	8	prop_mon_move			40	40						0
splash_monprop	hit-skill		434	100	1	dmg2%			-50	-50																					hit-skill		434	100	1	dmg2%			-50	-50																					hit-skill		434	100	1	dmg2%			-40	-40																					0
fire_splash_monprop	hit-skill		484	100	1																										hit-skill		484	100	1																										hit-skill		484	100	1																										0
shadow_monprop	res-all/lvl		6																												res-all/lvl		6																												res-all/lvl		6																												0
dclone_monprop																																																													cast1			50	50	swing1			50	50	aura		489	1	1	att-skill		488	5	1											0
fast																																																													swing1			100	100	cast1			100	100	pierce-immunity-all	100		500	500																0
labmummy																																																													death-skill		490	100	1	pierce-immunity-all	100		500	500																					0
labaura1																																																													aura	100	492	1	1	pierce-immunity-all	100		500	500																					0
labaura2																																																													aura	100	493	1	1	pierce-immunity-all	100		500	500																					0
skeleking_monprop																																																													att-skill	100	494	100	1	pierce-immunity-all	100		500	500																					0
nakrul_monprop																																																													att-skill	100	46	100	50	pierce-immunity-all	100		500	500	hit-skill		434	100	1	pierce-dmg			250	250	pierce-fire			250	250						0
labprop1																																																													swing1			100	100	cast1			100	100	pierce-immunity-all	100		500	500																0
labprop2																																																													swing1			100	100	cast1			100	100	pierce-immunity-all	100		500	500	state		175	1	1											0
labturretprop1																																																													pierce-immunity-all	100		500	500																										0
magdha_monprop																																																													aura	100	507	1	1	pierce-immunity-all	100		500	500																					0
magdhaswarm_monprop																																																													hit-skill		434	100	1	pierce-immunity-all	100		500	500																					0
rmap_probe	aura	100	522	12	12	aura	100	522	13	13	aura	100	522	14	14	aura	100	522	15	15	aura	100	522	16	16	aura	100	522	17	17	aura	100	522	18	18	aura	100	522	19	19	aura	100	522	20	20	aura	100	522	21	21	aura	100	522	22	22	aura	100	522	23	23	aura	100	522	24	24	aura	100	522	25	25	aura	100	522	26	26	aura	100	522	27	27	aura	100	522	28	28	aura	100	522	29	29	0
rmap_md1	aura	100	522	25	25																										aura	100	522	25	25																										aura	100	522	25	25																										0
rmap_md1_boss	aura	100	522	25	25											aura	100	369	8	8	att-skill	100	479	25	12	gethit-skill	100	53	6	20	aura	100	522	25	25											aura	100	369	8	8	att-skill	100	479	25	12	gethit-skill	100	53	6	20	aura	100	522	25	25											aura	100	369	8	8	att-skill	100	479	25	12	gethit-skill	100	53	6	20	0
rmap_md2	aura	100	522	50	50																										aura	100	522	50	50																										aura	100	522	50	50																										0
rmap_md2_boss	aura	100	522	50	50											aura	100	369	10	10	att-skill	100	479	25	16	gethit-skill	100	53	6	24	aura	100	522	50	50											aura	100	369	10	10	att-skill	100	479	25	16	gethit-skill	100	53	6	24	aura	100	522	50	50											aura	100	369	10	10	att-skill	100	479	25	16	gethit-skill	100	53	6	24	0
rmap_md3	aura	100	522	75	75																										aura	100	522	75	75																										aura	100	522	75	75																										0
rmap_md3_boss	aura	100	522	75	75											aura	100	369	12	12	att-skill	100	479	25	20	gethit-skill	100	53	6	28	aura	100	522	75	75											aura	100	369	12	12	att-skill	100	479	25	20	gethit-skill	100	53	6	28	aura	100	522	75	75											aura	100	369	12	12	att-skill	100	479	25	20	gethit-skill	100	53	6	28	0
rmap_md4	aura	100	522	100	100																										aura	100	522	100	100																										aura	100	522	100	100																										0
rmap_md4_boss	aura	100	522	100	100											aura	100	369	14	14	att-skill	100	479	25	24	gethit-skill	100	53	6	32	aura	100	522	100	100											aura	100	369	14	14	att-skill	100	479	25	24	gethit-skill	100	53	6	32	aura	100	522	100	100											aura	100	369	14	14	att-skill	100	479	25	24	gethit-skill	100	53	6	32	0
rmap_md5	aura	100	522	125	125																										aura	100	522	125	125																										aura	100	522	125	125																										0
rmap_md5_boss	aura	100	522	125	125											aura	100	369	16	16	att-skill	100	479	25	28	gethit-skill	100	53	6	36	aura	100	522	125	125											aura	100	369	16	16	att-skill	100	479	25	28	gethit-skill	100	53	6	36	aura	100	522	125	125											aura	100	369	16	16	att-skill	100	479	25	28	gethit-skill	100	53	6	36	0
rmap_md6	aura	100	522	150	150																										aura	100	522	150	150																										aura	100	522	150	150																										0
rmap_md6_boss	aura	100	522	150	150											aura	100	369	18	18	att-skill	100	479	25	32	gethit-skill	100	53	6	40	aura	100	522	150	150											aura	100	369	18	18	att-skill	100	479	25	32	gethit-skill	100	53	6	40	aura	100	522	150	150											aura	100	369	18	18	att-skill	100	479	25	32	gethit-skill	100	53	6	40	0
rmap_mk1	aura	100	522	25	25																										aura	100	522	25	25																										aura	100	522	25	25																										0
rmap_mk1_boss	aura	100	522	25	25											aura	100	368	8	8	att-skill	100	321	20	12	gethit-skill	100	91	5	10	aura	100	522	25	25											aura	100	368	8	8	att-skill	100	321	20	12	gethit-skill	100	91	5	10	aura	100	522	25	25											aura	100	368	8	8	att-skill	100	321	20	12	gethit-skill	100	91	5	10	0
rmap_mk2	aura	100	522	50	50																										aura	100	522	50	50																										aura	100	522	50	50																										0
rmap_mk2_boss	aura	100	522	50	50											aura	100	368	10	10	att-skill	100	321	20	16	gethit-skill	100	91	5	14	aura	100	522	50	50											aura	100	368	10	10	att-skill	100	321	20	16	gethit-skill	100	91	5	14	aura	100	522	50	50											aura	100	368	10	10	att-skill	100	321	20	16	gethit-skill	100	91	5	14	0
rmap_mk3	aura	100	522	75	75																										aura	100	522	75	75																										aura	100	522	75	75																										0
rmap_mk3_boss	aura	100	522	75	75											aura	100	368	12	12	att-skill	100	321	20	20	gethit-skill	100	91	5	18	aura	100	522	75	75											aura	100	368	12	12	att-skill	100	321	20	20	gethit-skill	100	91	5	18	aura	100	522	75	75											aura	100	368	12	12	att-skill	100	321	20	20	gethit-skill	100	91	5	18	0
rmap_mk4	aura	100	522	100	100																										aura	100	522	100	100																										aura	100	522	100	100																										0
rmap_mk4_boss	aura	100	522	100	100											aura	100	368	14	14	att-skill	100	321	20	24	gethit-skill	100	91	5	22	aura	100	522	100	100											aura	100	368	14	14	att-skill	100	321	20	24	gethit-skill	100	91	5	22	aura	100	522	100	100											aura	100	368	14	14	att-skill	100	321	20	24	gethit-skill	100	91	5	22	0
rmap_mk5	aura	100	522	125	125																										aura	100	522	125	125																										aura	100	522	125	125																										0
rmap_mk5_boss	aura	100	522	125	125											aura	100	368	16	16	att-skill	100	321	20	28	gethit-skill	100	91	5	26	aura	100	522	125	125											aura	100	368	16	16	att-skill	100	321	20	28	gethit-skill	100	91	5	26	aura	100	522	125	125											aura	100	368	16	16	att-skill	100	321	20	28	gethit-skill	100	91	5	26	0
rmap_mk6	aura	100	522	150	150																										aura	100	522	150	150																										aura	100	522	150	150																										0
rmap_mk6_boss	aura	100	522	150	150											aura	100	368	18	18	att-skill	100	321	20	32	gethit-skill	100	91	5	30	aura	100	522	150	150											aura	100	368	18	18	att-skill	100	321	20	32	gethit-skill	100	91	5	30	aura	100	522	150	150											aura	100	368	18	18	att-skill	100	321	20	32	gethit-skill	100	91	5	30	0
rmap_mc1	aura	100	522	25	25																										aura	100	522	25	25																										aura	100	522	25	25																										0
rmap_mc1_boss	aura	100	522	25	25																										aura	100	522	25	25																										aura	100	522	25	25																										0
rmap_mc2	aura	100	522	50	50																										aura	100	522	50	50																										aura	100	522	50	50																										0
rmap_mc2_boss	aura	100	522	50	50																										aura	100	522	50	50																										aura	100	522	50	50																										0
rmap_mc3	aura	100	522	75	75																										aura	100	522	75	75																										aura	100	522	75	75																										0
rmap_mc3_boss	aura	100	522	75	75																										aura	100	522	75	75																										aura	100	522	75	75																										0
rmap_mc4	aura	100	522	100	100																										aura	100	522	100	100																										aura	100	522	100	100																										0
rmap_mc4_boss	aura	100	522	100	100																										aura	100	522	100	100																										aura	100	522	100	100																										0
rmap_mc5	aura	100	522	125	125																										aura	100	522	125	125																										aura	100	522	125	125																										0
rmap_mc5_boss	aura	100	522	125	125																										aura	100	522	125	125																										aura	100	522	125	125																										0
rmap_mc6	aura	100	522	150	150																										aura	100	522	150	150																										aura	100	522	150	150																										0
rmap_mc6_boss	aura	100	522	150	150																										aura	100	522	150	150																										aura	100	522	150	150																										0
rmap_mf1	aura	100	522	25	25																										aura	100	522	25	25																										aura	100	522	25	25																										0
rmap_mf1_boss	aura	100	522	25	25											aura	100	365	8	8	att-skill	100	445	20	12	gethit-skill	100	444	5	12	aura	100	522	25	25											aura	100	365	8	8	att-skill	100	445	20	12	gethit-skill	100	444	5	12	aura	100	522	25	25											aura	100	365	8	8	att-skill	100	445	20	12	gethit-skill	100	444	5	12	0
rmap_mf2	aura	100	522	50	50																										aura	100	522	50	50																										aura	100	522	50	50																										0
rmap_mf2_boss	aura	100	522	50	50											aura	100	365	10	10	att-skill	100	445	20	16	gethit-skill	100	444	5	16	aura	100	522	50	50											aura	100	365	10	10	att-skill	100	445	20	16	gethit-skill	100	444	5	16	aura	100	522	50	50											aura	100	365	10	10	att-skill	100	445	20	16	gethit-skill	100	444	5	16	0
rmap_mf3	aura	100	522	75	75																										aura	100	522	75	75																										aura	100	522	75	75																										0
rmap_mf3_boss	aura	100	522	75	75											aura	100	365	12	12	att-skill	100	445	20	20	gethit-skill	100	444	5	20	aura	100	522	75	75											aura	100	365	12	12	att-skill	100	445	20	20	gethit-skill	100	444	5	20	aura	100	522	75	75											aura	100	365	12	12	att-skill	100	445	20	20	gethit-skill	100	444	5	20	0
rmap_mf4	aura	100	522	100	100																										aura	100	522	100	100																										aura	100	522	100	100																										0
rmap_mf4_boss	aura	100	522	100	100											aura	100	365	14	14	att-skill	100	445	20	24	gethit-skill	100	444	5	24	aura	100	522	100	100											aura	100	365	14	14	att-skill	100	445	20	24	gethit-skill	100	444	5	24	aura	100	522	100	100											aura	100	365	14	14	att-skill	100	445	20	24	gethit-skill	100	444	5	24	0
rmap_mf5	aura	100	522	125	125																										aura	100	522	125	125																										aura	100	522	125	125																										0
rmap_mf5_boss	aura	100	522	125	125											aura	100	365	16	16	att-skill	100	445	20	28	gethit-skill	100	444	5	28	aura	100	522	125	125											aura	100	365	16	16	att-skill	100	445	20	28	gethit-skill	100	444	5	28	aura	100	522	125	125											aura	100	365	16	16	att-skill	100	445	20	28	gethit-skill	100	444	5	28	0
rmap_mf6	aura	100	522	150	150																										aura	100	522	150	150																										aura	100	522	150	150																										0
rmap_mf6_boss	aura	100	522	150	150											aura	100	365	18	18	att-skill	100	445	20	32	gethit-skill	100	444	5	32	aura	100	522	150	150											aura	100	365	18	18	att-skill	100	445	20	32	gethit-skill	100	444	5	32	aura	100	522	150	150											aura	100	365	18	18	att-skill	100	445	20	32	gethit-skill	100	444	5	32	0
rmap_mw1	aura	100	522	25	25																										aura	100	522	25	25																										aura	100	522	25	25																										0
rmap_mw1_boss	aura	100	522	25	25											aura	100	122	8	8	att-skill	100	301	25	12	gethit-skill	100	316	5	12	aura	100	522	25	25											aura	100	122	8	8	att-skill	100	301	25	12	gethit-skill	100	316	5	12	aura	100	522	25	25											aura	100	122	8	8	att-skill	100	301	25	12	gethit-skill	100	316	5	12	0
rmap_mw2	aura	100	522	50	50																										aura	100	522	50	50																										aura	100	522	50	50																										0
rmap_mw2_boss	aura	100	522	50	50											aura	100	122	10	10	att-skill	100	301	25	16	gethit-skill	100	316	5	16	aura	100	522	50	50											aura	100	122	10	10	att-skill	100	301	25	16	gethit-skill	100	316	5	16	aura	100	522	50	50											aura	100	122	10	10	att-skill	100	301	25	16	gethit-skill	100	316	5	16	0
rmap_mw3	aura	100	522	75	75																										aura	100	522	75	75																										aura	100	522	75	75																										0
rmap_mw3_boss	aura	100	522	75	75											aura	100	122	12	12	att-skill	100	301	25	20	gethit-skill	100	316	5	20	aura	100	522	75	75											aura	100	122	12	12	att-skill	100	301	25	20	gethit-skill	100	316	5	20	aura	100	522	75	75											aura	100	122	12	12	att-skill	100	301	25	20	gethit-skill	100	316	5	20	0
rmap_mw4	aura	100	522	100	100																										aura	100	522	100	100																										aura	100	522	100	100																										0
rmap_mw4_boss	aura	100	522	100	100											aura	100	122	14	14	att-skill	100	301	25	24	gethit-skill	100	316	5	24	aura	100	522	100	100											aura	100	122	14	14	att-skill	100	301	25	24	gethit-skill	100	316	5	24	aura	100	522	100	100											aura	100	122	14	14	att-skill	100	301	25	24	gethit-skill	100	316	5	24	0
rmap_mw5	aura	100	522	125	125																										aura	100	522	125	125																										aura	100	522	125	125																										0
rmap_mw5_boss	aura	100	522	125	125											aura	100	122	16	16	att-skill	100	301	25	28	gethit-skill	100	316	5	28	aura	100	522	125	125											aura	100	122	16	16	att-skill	100	301	25	28	gethit-skill	100	316	5	28	aura	100	522	125	125											aura	100	122	16	16	att-skill	100	301	25	28	gethit-skill	100	316	5	28	0
rmap_mw6	aura	100	522	150	150																										aura	100	522	150	150																										aura	100	522	150	150																										0
rmap_mw6_boss	aura	100	522	150	150											aura	100	122	18	18	att-skill	100	301	25	32	gethit-skill	100	316	5	32	aura	100	522	150	150											aura	100	122	18	18	att-skill	100	301	25	32	gethit-skill	100	316	5	32	aura	100	522	150	150											aura	100	122	18	18	att-skill	100	301	25	32	gethit-skill	100	316	5	32	0
rmap_expansion_probe	move2	100	1	11	21	swing2	100	2	12	22	dmg-fire	100	3	13	23	dmg-cold	100	4	14	24	dmg-ltng	100	5	15	25	move2	100	6	16	26	move2	100	1	11	21	swing2	100	2	12	22	dmg-fire	100	3	13	23	dmg-cold	100	4	14	24	dmg-ltng	100	5	15	25	move2	100	6	16	26	move2	100	1	11	21	swing2	100	2	12	22	dmg-fire	100	3	13	23	dmg-cold	100	4	14	24	dmg-ltng	100	5	15	25	move2	100	6	16	26	0
rmap_treasure_1_jewel																																																																																											0
rmap_treasure_1_amulet																																																																																											0
rmap_treasure_2_jewel																																																																																											0
rmap_treasure_2_amulet																																																																																											0
rmap_treasure_3_jewel																																																																																											0
rmap_treasure_3_amulet																																																																																											0
rmap_treasure_4_jewel																																																																																											0
rmap_treasure_4_amulet																																																																																											0
rmap_treasure_5_jewel																																																																																											0
rmap_treasure_5_amulet																																																																																											0
rmap_treasure_6_jewel																																																																																											0
rmap_treasure_6_amulet																																																																																											0
rmap_event_raider_1																																																																																											0
rmap_event_guard_1																																																																																											0
rmap_event_raider_2																																																																																											0
rmap_event_guard_2																																																																																											0
rmap_event_raider_3																																																																																											0
rmap_event_guard_3																																																																																											0
rmap_event_raider_4																																																																																											0
rmap_event_guard_4																																																																																											0
rmap_event_raider_5																																																																																											0
rmap_event_guard_5																																																																																											0
rmap_event_raider_6																																																																																											0
rmap_event_guard_6																																																																																											0
rmap_event_wave_md1																																																																																											0
rmap_event_keeper_md1_crafting																																																																																											0
rmap_event_keeper_md1_equipment																																																																																											0
rmap_event_keeper_md1_maps																																																																																											0
rmap_event_challenger_md1																																																																																											0
rmap_event_wave_md2																																																																																											0
rmap_event_keeper_md2_crafting																																																																																											0
rmap_event_keeper_md2_equipment																																																																																											0
rmap_event_keeper_md2_maps																																																																																											0
rmap_event_challenger_md2																																																																																											0
rmap_event_wave_md3																																																																																											0
rmap_event_keeper_md3_crafting																																																																																											0
rmap_event_keeper_md3_equipment																																																																																											0
rmap_event_keeper_md3_maps																																																																																											0
rmap_event_challenger_md3																																																																																											0
rmap_event_wave_md4																																																																																											0
rmap_event_keeper_md4_crafting																																																																																											0
rmap_event_keeper_md4_equipment																																																																																											0
rmap_event_keeper_md4_maps																																																																																											0
rmap_event_challenger_md4																																																																																											0
rmap_event_wave_md5																																																																																											0
rmap_event_keeper_md5_crafting																																																																																											0
rmap_event_keeper_md5_equipment																																																																																											0
rmap_event_keeper_md5_maps																																																																																											0
rmap_event_challenger_md5																																																																																											0
rmap_event_wave_md6																																																																																											0
rmap_event_keeper_md6_crafting																																																																																											0
rmap_event_keeper_md6_equipment																																																																																											0
rmap_event_keeper_md6_maps																																																																																											0
rmap_event_challenger_md6																																																																																											0
rmap_event_wave_mk1																																																																																											0
rmap_event_keeper_mk1_crafting																																																																																											0
rmap_event_keeper_mk1_equipment																																																																																											0
rmap_event_keeper_mk1_maps																																																																																											0
rmap_event_challenger_mk1																																																																																											0
rmap_event_wave_mk2																																																																																											0
rmap_event_keeper_mk2_crafting																																																																																											0
rmap_event_keeper_mk2_equipment																																																																																											0
rmap_event_keeper_mk2_maps																																																																																											0
rmap_event_challenger_mk2																																																																																											0
rmap_event_wave_mk3																																																																																											0
rmap_event_keeper_mk3_crafting																																																																																											0
rmap_event_keeper_mk3_equipment																																																																																											0
rmap_event_keeper_mk3_maps																																																																																											0
rmap_event_challenger_mk3																																																																																											0
rmap_event_wave_mk4																																																																																											0
rmap_event_keeper_mk4_crafting																																																																																											0
rmap_event_keeper_mk4_equipment																																																																																											0
rmap_event_keeper_mk4_maps																																																																																											0
rmap_event_challenger_mk4																																																																																											0
rmap_event_wave_mk5																																																																																											0
rmap_event_keeper_mk5_crafting																																																																																											0
rmap_event_keeper_mk5_equipment																																																																																											0
rmap_event_keeper_mk5_maps																																																																																											0
rmap_event_challenger_mk5																																																																																											0
rmap_event_wave_mk6																																																																																											0
rmap_event_keeper_mk6_crafting																																																																																											0
rmap_event_keeper_mk6_equipment																																																																																											0
rmap_event_keeper_mk6_maps																																																																																											0
rmap_event_challenger_mk6																																																																																											0
rmap_event_wave_mc1																																																																																											0
rmap_event_keeper_mc1_crafting																																																																																											0
rmap_event_keeper_mc1_equipment																																																																																											0
rmap_event_keeper_mc1_maps																																																																																											0
rmap_event_challenger_mc1																																																																																											0
rmap_event_wave_mc2																																																																																											0
rmap_event_keeper_mc2_crafting																																																																																											0
rmap_event_keeper_mc2_equipment																																																																																											0
rmap_event_keeper_mc2_maps																																																																																											0
rmap_event_challenger_mc2																																																																																											0
rmap_event_wave_mc3																																																																																											0
rmap_event_keeper_mc3_crafting																																																																																											0
rmap_event_keeper_mc3_equipment																																																																																											0
rmap_event_keeper_mc3_maps																																																																																											0
rmap_event_challenger_mc3																																																																																											0
rmap_event_wave_mc4																																																																																											0
rmap_event_keeper_mc4_crafting																																																																																											0
rmap_event_keeper_mc4_equipment																																																																																											0
rmap_event_keeper_mc4_maps																																																																																											0
rmap_event_challenger_mc4																																																																																											0
rmap_event_wave_mc5																																																																																											0
rmap_event_keeper_mc5_crafting																																																																																											0
rmap_event_keeper_mc5_equipment																																																																																											0
rmap_event_keeper_mc5_maps																																																																																											0
rmap_event_challenger_mc5																																																																																											0
rmap_event_wave_mc6																																																																																											0
rmap_event_keeper_mc6_crafting																																																																																											0
rmap_event_keeper_mc6_equipment																																																																																											0
rmap_event_keeper_mc6_maps																																																																																											0
rmap_event_challenger_mc6																																																																																											0
rmap_event_wave_mf1																																																																																											0
rmap_event_keeper_mf1_crafting																																																																																											0
rmap_event_keeper_mf1_equipment																																																																																											0
rmap_event_keeper_mf1_maps																																																																																											0
rmap_event_challenger_mf1																																																																																											0
rmap_event_wave_mf2																																																																																											0
rmap_event_keeper_mf2_crafting																																																																																											0
rmap_event_keeper_mf2_equipment																																																																																											0
rmap_event_keeper_mf2_maps																																																																																											0
rmap_event_challenger_mf2																																																																																											0
rmap_event_wave_mf3																																																																																											0
rmap_event_keeper_mf3_crafting																																																																																											0
rmap_event_keeper_mf3_equipment																																																																																											0
rmap_event_keeper_mf3_maps																																																																																											0
rmap_event_challenger_mf3																																																																																											0
rmap_event_wave_mf4																																																																																											0
rmap_event_keeper_mf4_crafting																																																																																											0
rmap_event_keeper_mf4_equipment																																																																																											0
rmap_event_keeper_mf4_maps																																																																																											0
rmap_event_challenger_mf4																																																																																											0
rmap_event_wave_mf5																																																																																											0
rmap_event_keeper_mf5_crafting																																																																																											0
rmap_event_keeper_mf5_equipment																																																																																											0
rmap_event_keeper_mf5_maps																																																																																											0
rmap_event_challenger_mf5																																																																																											0
rmap_event_wave_mf6																																																																																											0
rmap_event_keeper_mf6_crafting																																																																																											0
rmap_event_keeper_mf6_equipment																																																																																											0
rmap_event_keeper_mf6_maps																																																																																											0
rmap_event_challenger_mf6																																																																																											0
rmap_event_wave_mw1																																																																																											0
rmap_event_keeper_mw1_crafting																																																																																											0
rmap_event_keeper_mw1_equipment																																																																																											0
rmap_event_keeper_mw1_maps																																																																																											0
rmap_event_challenger_mw1																																																																																											0
rmap_event_wave_mw2																																																																																											0
rmap_event_keeper_mw2_crafting																																																																																											0
rmap_event_keeper_mw2_equipment																																																																																											0
rmap_event_keeper_mw2_maps																																																																																											0
rmap_event_challenger_mw2																																																																																											0
rmap_event_wave_mw3																																																																																											0
rmap_event_keeper_mw3_crafting																																																																																											0
rmap_event_keeper_mw3_equipment																																																																																											0
rmap_event_keeper_mw3_maps																																																																																											0
rmap_event_challenger_mw3																																																																																											0
rmap_event_wave_mw4																																																																																											0
rmap_event_keeper_mw4_crafting																																																																																											0
rmap_event_keeper_mw4_equipment																																																																																											0
rmap_event_keeper_mw4_maps																																																																																											0
rmap_event_challenger_mw4																																																																																											0
rmap_event_wave_mw5																																																																																											0
rmap_event_keeper_mw5_crafting																																																																																											0
rmap_event_keeper_mw5_equipment																																																																																											0
rmap_event_keeper_mw5_maps																																																																																											0
rmap_event_challenger_mw5																																																																																											0
rmap_event_wave_mw6																																																																																											0
rmap_event_keeper_mw6_crafting																																																																																											0
rmap_event_keeper_mw6_equipment																																																																																											0
rmap_event_keeper_mw6_maps																																																																																											0
rmap_event_challenger_mw6																																																																																											0
