index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Stormeye	17	0		1					1	1	17	30	wsp	War Scepter		5	5000	cred	cred						dmg-ltng		1	50	dmg-cold	50	5	10	regen		10	10	dmg%		80	120	skill	Resist Lightning	3	5	skill	Holy Shock	3	3	skill	Fist of the Heavens	1	1	oskill_hide	Hidden Charm Passive	1	1																		0
Stoutnail	18	0		1					1	1	1	5	spc	Spiked Club		5	5000	dgry			invspcu				aura	Thorns	3	3	dmg%		100	100	vit		7	7	red-mag		2	2	oskill_hide	Hidden Charm Passive	1	1																														0
Crushflange	19	0		1					1	1	1	9	mac	Mace		5	5000	blac	blac						str		25	25	knock		1	1	light		2	2	res-fire		50	50	dmg%		50	75	crush		10	10	oskill_hide	Hidden Charm Passive	1	1																						0
Bloodrise	20	0		1					1	1	12	15	mst	Morning Star		5	5000	lblu			invmstu				dmg%		120	120	att		50	50	openwounds		25	25	light		2	2	swing1		10	10	skill	Sacrifice	3	5	lifesteal		5	5	pierce-dmg		5	5	oskill_hide	Hidden Charm Passive	1	1														0
The General's Tan Do Li Ga	21	0		1					1	1	17	21	fla	Flail		5	5000	dblu	dblu						dmg-min		5	10	dmg-max		20	20	slow		10	10	ac		25	25	manasteal		5	5	dmg%		50	60	swing2		20	20	pierce-dmg		5	8	oskill_hide	Hidden Charm Passive	1	1														0
Ironstone	22	0		1					1	1	12	27	whm	War Hammer		5	5000	cblu	cblu						att		100	150	dmg%		100	150	ltng-min		1	1	ltng-max		10	10	str		10	10	enr		5	5	oskill_hide	Hidden Charm Passive	1	1																						0
Bonesnap	23	0		1					1	1	12	24	mau	Maul		5	5000	lred			invmauu				dmg%		200	300	crush		10	10	res-fire		30	30	res-cold		30	30	dmg-undead		100	150	oskill_hide	Hidden Charm Passive	1	1																										0
Steeldriver	24	0		1					1	1	25	29	gma	Great Maul		5	5000	cgrn	cgrn		invgma				ease		-50	-50	swing3		40	40	aura	Might	3	5	dmg%		150	250	oskill_hide	Hidden Charm Passive	1	1																														0
Rixot's Keen	25	0		1					1	1	1	2	ssd	Short Sword		5	5000	blac	blac						dmg-min		5	5	att		20	20	light		2	2	crush		5	5	ac		25	25	dmg%		100	100	oskill_hide	Hidden Charm Passive	1	1																						0
Blood Crescent	26	0		1					1	1	1	7	scm	Scimitar		5	5000	lblu			invscmu				res-all		15	15	dmg%		80	100	hp		15	15	light		4	4	openwounds		10	15	swing2		15	15	lifesteal		5	5	oskill_hide	Hidden Charm Passive	1	1																		0
Skewer of Krintiz	27	0		1					1	1	1	10	sbr	Saber		5	5000	cblu			inv9sbu				ignore-ac		1	1	str		10	10	dex		10	10	manasteal		7	7	dmg%		50	50	dmg-norm		3	7	oskill_hide	Hidden Charm Passive	1	1																						0
Gleamscythe	28	0		1					1	1	1	13	flc	Falchion		5	5000	lred			invflcu				light		3	3	mana		30	30	ac		20	20	swing2		20	20	dmg%		60	100	dmg-cold	50	3	5	oskill_hide	Hidden Charm Passive	1	1																						0
Akara's Wrath	29	0		1					1	1	12	13	crs	Crystal Sword		5	5000	lgry			invcrsu				deadly		10	10	mag%		20	20	dmg-cold		10	20	dmg%		100	100	dur		25	25	dmg-mag		10	20	oskill_hide	Hidden Charm Passive	1	1																						0
Griswold's Edge	30	0		1					1	1	12	17	bsd	Broad Sword		5	5000	cred			invbsdu				fire-min		10	12	fire-max		15	25	att		100	100	swing1		10	10	knock		1	1	dmg%		80	120	str		12	12	oskill_hide	Hidden Charm Passive	1	1																		0
Hellplague	31	0		1					1	1	12	22	lsd	Long Sword		5	5000	dred			invlsdu				manasteal		5	5	lifesteal		5	5	pois-min		48	48	pois-max		96	96	pois-len		150	150	dmg%		70	80	dmg-fire		25	75	fireskill		2	2	oskill_hide	Hidden Charm Passive	1	1														0
Culwen's Point	32	0		1					1	1	10	25	wsd	War Sword		5	5000	whit	whit						allskills		1	1	res-pois-len		50	50	balance2		20	20	swing2		20	20	att		60	60	dmg%		100	130	oskill_hide	Hidden Charm Passive	1	1																						0
Shadowfang	33	0		1					1	1	12	12	2hs	2-Handed Sword		5	5000	cgrn			inv2hsu				manasteal		9	9	res-cold		20	20	light		-2	-2	dmg-cold	150	10	30	dmg%		100	100	lifesteal		9	9	oskill_hide	Hidden Charm Passive	1	1																						0
Soulflay	34	0		1					1	1	17	19	clm	Claymore		5	5000	dgrn	dgrn						manasteal		4	10	lifesteal		4	10	dmg%		70	100	res-all		10	10	swing2		15	20	oskill_hide	Hidden Charm Passive	1	1																										0
Kinemil's Awl	35	0		1					1	1	31	23	gis	Giant Sword		5	5000	dblu			invgisu				att		100	150	mana		20	20	fire-min		6	6	fire-max		20	40	dmg%		80	100	skill	Holy Fire	6	6	oskill_hide	Hidden Charm Passive	1	1																						0
Blacktongue	36	0		1					1	1	10	26	bsw	Bastard Sword		5	5000	lgrn			invbswu				dmg-pois	150	300	300	noheal		1	1	att		50	50	res-pois		50	50	dmg%		100	140	hp		10	10	oskill_hide	Hidden Charm Passive	1	1																						0
Ripsaw	37	0		1					1	1	12	13	flb	Flamberge		5	5000	cblu	cblu						openwounds		15	20	dmg-max		20	30	manasteal		6	6	dmg%		80	100	oskill_hide	Hidden Charm Passive	1	1																														0
The Patriarch	38	0		1					1	1	12	16	gsd	Great Sword		5	5000	cred			invgsdu				red-dmg		3	3	red-mag		3	3	stupidity		1	1	gold%		100	100	dmg%		100	120	str		10	10	oskill_hide	Hidden Charm Passive	1	1																						0
Gull	39	0		1					1	1	1	4	dgr	Dagger		5	5000	lgry	lgry						dmg-min		1	1	dmg-max		15	15	mag%		100	100	mana		-5	-5	oskill_hide	Hidden Charm Passive	1	1																														0
The Diggler	40	0		1					1	1	1	11	dir	Dirk		5	5000	dgry	dgry						dex		10	10	dmg%		50	50	swing3		30	30	res-cold		25	25	res-fire		25	25	ignore-ac		1	1	pierce-dmg		5	5	oskill_hide	Hidden Charm Passive	1	1																		0
The Jade Tan Do	41	0		1					1	1	12	19	kri	Kris		5	5000	oran			invkrsu				att		100	150	nofreeze		1	1	dmg-pois	100	460	460	res-pois		30	55	res-pois-max		5	10	skill	Poison Dagger	2	3	oskill_hide	Hidden Charm Passive	1	1																						0
Spectral Shard	42	0		1					1	1	12	20	bld	Blade		5	5000	dblu	dblu						cast3		50	50	mana		50	50	att		55	55	res-all		10	10	oskill_hide	Hidden Charm Passive	1	1																														0
The Dragon Chang	43	0		1					1	1	1	8	spr	Spear		5	5000	dpur	dpur						att		35	35	dmg-norm		10	15	light		2	2	dmg-undead		100	100	dmg-fire		3	6	oskill_hide	Hidden Charm Passive	1	1																										0
Razortine	44	0		1					1	1	1	12	tri	Trident		5	5000	oran			invtriu				openwounds		15	15	reduce-ac		50	50	str		15	15	dex		8	8	swing2		30	30	dmg%		30	50	oskill_hide	Hidden Charm Passive	1	1																						0
Bloodthief	45	0		1					1	1	12	17	brn	Brandistock		5	5000	whit	whit						openwounds		35	35	str		10	10	lifesteal		8	12	hp		26	26	dmg%		50	100	oskill_hide	Hidden Charm Passive	1	1																										0
Lance of Yaggai	46	0		1					1	1	12	22	spt	Spetum		5	5000	lred	lred						thorns		8	8	ltng-min		1	1	ltng-max		60	60	res-all		15	15	swing2		40	40	aura	Holy Shock	1	1	oskill_hide	Hidden Charm Passive	1	1																						0
The Tannr Gorerod	47	0		1					1	1	25	27	pik	Pike		5	5000	lgry	lgry						dmg-fire		25	60	extra-fire		10	20	res-fire-max		5	5	hp		30	30	att		60	60	aura	Holy Fire	1	1	res-fire		15	15	dmg%		80	100	oskill_hide	Hidden Charm Passive	1	1														0
Dimoak's Hew	48	0		1					1	1	1	8	bar	Bardiche		5	5000	blac	blac						dex		15	15	dmg%		100	100	swing2		20	20	ac		-8	-8	oskill_hide	Hidden Charm Passive	1	1																														0
Steelgoad	49	0		1					1	1	12	14	vou	Voulge		5	5000	cgrn	cgrn						openwounds		10	10	deadly		20	20	att		30	30	res-all		5	5	dmg%		60	100	dur		20	40	aura	Thorns	5	5	oskill_hide	Hidden Charm Passive	1	1																		0
Soul Harvest	50	0		1					1	1	12	19	scy	Scythe		5	5000	dgry			invscyu				openwounds		30	30	att		45	45	res-all		20	20	dmg%		50	90	manasteal		10	10	enr		5	5	oskill_hide	Hidden Charm Passive	1	1																						0
The Battlebranch	51	0		1					1	1	20	25	pax	Poleaxe		5	5000	lblu	lblu						swing3		30	30	dex		10	10	dmg%		80	100	att		50	100	lifesteal		7	7	hit-skill	Battle Orders	8	5	oskill_hide	Hidden Charm Passive	1	1																						0
Woestave	52	0		1					1	1	20	28	hal	Halberd		5	5000	dblu	dblu						slow		10	10	openwounds		25	25	stupidity		3	3	dmg-ac		-50	-50	freeze		1	1	light		-3	-3	noheal		1	1	dmg%		50	100	oskill_hide	Hidden Charm Passive	1	1														0
The Grim Reaper	53	0		1					1	1	25	29	wsc	War Scythe		5	5000	lpur	lpur						deadly		50	50	noheal		1	1	manasteal		5	5	dmg%		50	100	dmg-min		15	15	hp		20	20	oskill_hide	Hidden Charm Passive	1	1																						0
Bane Ash	54	0		1					1	1	1	5	sst	Short Staff		5	5000	lgrn	lgrn						fire-min		4	4	fire-max		6	6	res-fire		50	50	mana		30	30	swing2		20	20	dmg%		50	60	skill	Fire Bolt	5	5	skill	Warmth	2	2	oskill_hide	Hidden Charm Passive	1	1														0
Serpent Lord	55	0		1					1	1	1	9	lst	Long Staff		5	5000	cgrn	cgrn						dmg-pois	75	150	150	res-pois		50	50	light		-4	-4	mana		10	10	dmg%		30	40	manasteal		100	100	reduce-ac		50	50	oskill_hide	Hidden Charm Passive	1	1																		0
Spire of Lazarus	56	0		1					1	1	12	18	cst	Gnarled Staff		5	5000	lgry			invcstu				res-ltng		75	75	red-dmg		5	5	enr		15	15	skill	Chain Lightning	2	3	skill	Lightning	2	3	skill	Static Field	3	3	regen-mana		43	43	extra-ltng		10	15	sor		1	1	oskill_hide	Hidden Charm Passive	1	1										0
The Salamander	57	0		1					1	1	12	21	bst	Battle Staff		5	5000	dred	dred						dmg-fire		15	32	res-fire		30	30	skill	Fire Wall	1	1	skill	Fire Ball	2	2	skill	Warmth	3	3	fireskill		2	2	oskill_hide	Hidden Charm Passive	1	1																						0
The Iron Jang Bong	58	0		1					1	1	17	28	wst	War Staff		5	5000	dyel	dyel						ac		30	30	cast3		20	20	dmg%		100	100	att%		50	50	skill	Nova	2	2	skill	Blaze	2	2	skill	Frost Nova	3	3	sor		2	2	oskill_hide	Hidden Charm Passive	1	1														0
Pluckeye	59	0		1					1	1	1	7	sbw	Short Bow		5	5000	cblu	cblu						att		28	28	dmg%		100	100	hp		10	10	light		2	2	manasteal		3	3	mana-kill		2	2	oskill_hide	Hidden Charm Passive	1	1																						0
Witherstring	60	0		1					1	1	1	13	hbw	Hunter's Bow		5	5000	lred	lred						swing3		30	30	dmg-min		3	5	dmg-max		5	10	att		50	50	magicarrow		3	3	dmg%		40	50	oskill_hide	Hidden Charm Passive	1	1																						0
Raven Claw	61	0		1					1	1	12	15	lbw	Long Bow		5	5000	dred	dred						att		50	50	dex		3	3	explosivearrow		3	3	str		3	3	dmg%		60	70	oskill_hide	Hidden Charm Passive	1	1																										0
Rogue's Bow	62	0		1					1	1	12	15	cbw	Composite Bow		5	5000	cred			invcbwu				res-all		10	10	deadly		15	15	att		60	60	dmg-undead		100	100	dmg%		40	60	swing2		50	50	oskill_hide	Hidden Charm Passive	1	1																						0
Stormstrike	63	0		1					1	1	12	25	sbb	Short Battle Bow		5	5000	lgrn			invsbbu				dmg-ltng		1	30	str		8	8	att		28	28	pierce		25	25	aura	Holy Shock	1	3	dmg%		70	90	oskill_hide	Hidden Charm Passive	1	1																						0
Wizendraw	64	0		1					1	1	20	26	lbb	Long Battle Bow		5	5000	dgrn	dgrn						magicarrow		5	5	mana		30	30	swing2		20	20	res-cold		26	26	att		50	100	dmg%		70	80	enr		15	15	pierce-cold		20	35	oskill_hide	Hidden Charm Passive	1	1														0
Hellclap	65	0		1					1	1	85	90	6sw	ward bow		5	5000	cgrn			invswbu				swing1		30	45	dmg-fire		200	375	extra-fire		30	40	att		100	130	res-fire		40	40	hit-skill	Cinderstorm	10	15	dmg%		300	400	fireskill		2	3	oskill_hide	Hidden Charm Passive	1	1														0
Blastbark	66	0		1					1	1	25	28	lwb	Long War Bow		5	5000	lyel	lyel						dmg%		70	130	str		5	5	pierce-fire		10	15	manasteal		3	3	oskill	Exploding Arrow	2	3	aura	Holy Fire	2	3	oskill_hide	Hidden Charm Passive	1	1																						0
Leadcrow	67	0		1					1	1	1	9	lxb	Light Crossbow		5	5000	dyel			invlxbu				dex		10	10	hp		10	10	dmg%		70	70	res-pois		30	30	deadly		15	15	att		40	40	oskill_hide	Hidden Charm Passive	1	1																						0
Ichorsting	68	0		1					1	1	12	18	mxb	Crossbow		5	5000	lgld			invmxbu				dmg-pois	75	200	200	dex		20	20	pierce		25	25	att		50	50	dmg%		50	50	swing2		20	20	oskill_hide	Hidden Charm Passive	1	1																						0
Hellcast	69	0		1					1	1	17	27	hxb	Heavy Crossbow		5	5000	dgld			invhxbu				explosivearrow		5	5	res-fire-max		5	5	res-fire		30	30	att		70	70	swing2		20	20	dmg%		70	80	dmg-fire		30	50	oskill_hide	Hidden Charm Passive	1	1																		0
Doomslinger	70	0		1					1	1	17	28	rxb	Repeating Crossbow		5	5000	lpur			invrxbu				ama		1	2	pierce		35	35	swing3		30	30	hp		15	15	dmg%		100	150	noheal		1	1	oskill_hide	Hidden Charm Passive	1	1																						0
Biggin's Bonnet	71	0		1					1	1	1	3	cap	Cap		5	5000	dpur			invcapu				hp		15	15	att		30	30	dmg%		30	30	mana		15	15	ac		14	14																														0
Tarnhelm	72	0		1					1	1	12	15	skp	Skull Cap		5	5000	oran	oran						gold%		75	75	mag%		25	50	allskills		1	1																																						0
Coif of Glory	73	0		1					1	1	12	14	hlm	Helm		5	5000	whit			invhlmu				light-thorns		7	7	stupidity		1	1	res-ltng		15	15	ac-miss		100	100	ac		10	10																														0
Duskdeep	74	0		1					1	1	12	17	fhl	Full Helm		5	5000	lgry			invfhlu				light		-2	-2	res-all		15	15	red-dmg		7	7	dmg-max		10	10	ac		10	20	ac%		30	50																										0
Wormskull	75	0		1					1	1	17	21	bhm	Bone Helm		5	5000	lgrn			invbhmu				nec		1	1	lifesteal		5	5	mana		10	10	res-pois		25	25	extra-pois		5	10																														0
Howltusk	76	0		1					1	1	17	25	ghm	Great Helm		5	5000	dgry	dgry						red-mag		2	2	thorns		3	3	ac%		80	80	dmg-to-mana		35	35	knock		1	1	howl		33	33																										0
Undead Crown	77	0		1					1	1	25	29	crn	Crown		5	5000	blac	blac						lifesteal		5	5	ac		40	40	res-pois		50	50	half-freeze		1	1	ac%		30	60	dmg-undead		50	50	att-undead		50	100	skill	Skeleton Mastery	3	3																		0
The Face of Horror	78	0		1					1	1	17	20	msk	Mask		5	5000	lblu	lblu						howl		64	64	str		20	20	res-all		10	10	dmg-undead		50	50	ac		25	25																														0
Greyform	79	0		1					1	1	10	7	qui	Quilted Armor		5	5000	lgry	lgry						red-mag		3	3	res-cold		20	20	res-fire		20	20	dex		10	10	lifesteal		5	5	ac		20	20																										0
Blinkbat's Form	80	0		1					1	1	1	12	lea	Leather Armor		5	5000	dred	dred						ac-miss		50	50	move2		10	10	ac		25	25	fire-min		5	5	fire-max		10	10	balance2		40	40																										0
The Centurion	81	0		1					1	1	12	14	hla	Hard Leather		5	5000	cred	cred						ac		30	30	att		50	50	red-dmg		2	2	hp		15	15	mana		15	15					regen		5	5																						0
Twitchthroe	82	0		1					1	1	12	16	stu	Studded Leather		5	5000	lgrn	lgrn						swing2		20	20	dex		10	10	block		25	25	ac		25	25	str		10	10	balance2		20	20																										0
Darkglow	83	0		1					1	1	17	25	rng	Ring Mail		5	5000	dgrn	dgrn						att		20	20	res-all-max		2	5	light		3	3	ac-hth		50	50	res-all		10	10	ac%		70	100																										0
Hawkmail	84	0		1					1	1	12	15	scl	Scale Mail		5	5000	cgrn	cgrn						ac%		80	100	res-cold-max		5	5	res-cold		20	25	nofreeze		1	1	move2		10	10																														0
Sparking Mail	85	0		1					1	1	12	17	chn	Chain Mail		5	5000	lyel	lyel						ac%		75	85	dmg-ltng		1	20	light-thorns		10	14	res-ltng		30	30																																		0
Venom Ward	86	0		1					1	1	17	20	brs	Breast Plate		5	5000	dyel	dyel						res-pois-max		5	5	res-pois-len		50	50	res-pois		50	50	light		2	2	ac%		60	100																														0
Iceblink	87	0		1					1	1	17	22	spl	Splint Mail		5	5000	lgld	lgld						freeze		1	1	res-cold		30	30	light		4	4	red-mag		1	1	ac%		70	80	oskill	Warp	1	1																										0
Boneflesh	88	0		1					1	1	25	26	plt	Plate Mail		5	5000	dgld	dgld						lifesteal		5	5	ac%		100	120	att		35	35	openwounds		25	25																																		0
Rockfleece	89	0		1					1	1	17	22	fld	Field Plate		5	5000	dgry	dgry						ease		-10	-10	ac%		100	130	red-dmg%		10	10	red-dmg		5	5	str		5	5																														0
Rattlecage	90	0		1					1	1	25	29	gth	Gothic Plate		5	5000	dpur	dpur						howl		52	52	att		45	45	crush		15	15	ac		200	200																																		0
Goldskin	91	0		1					1	1	25	28	ful	Full Plate Mail		5	5000	oran			invfulu				ac%		120	150	res-all		25	35	thorns		30	50	light		2	2	gold%		100	100																														0
Silks of the Victor	92	0		1					1	1	25	28	aar	AncientArmor		5	5000	dblu			invaaru				manasteal		5	5	allskills		1	1	light		2	2	ac%		100	120																																		0
Heavenly Garb	93	0		1					1	1	25	29	ltp	Light Plate		5	5000	cblu	cblu						ac%		100	100	res-all		10	10	regen-mana		25	25	enr		15	15	dmg-undead		50	100	att-undead		100	100																										0
Pelta Lunata	94	0		1					1	1	1	2	buc	Buckler		5	5000	whit			invbucu				ac		30	30	vit		10	10	str		2	2	enr		10	10	ac%		30	40	block		20	20	block2		40	40	dur		8	12	oskill_hide	Hidden Charm Passive	1	1														0
Umbral Disk	95	0		1					1	1	1	9	sml	Small Shield		5	5000	lgry			invsmlu				stupidity		1	1	dex		10	10	ac		30	30	hp		20	20	light		-2	-2	ac%		40	50	block		30	30	dur		10	15	oskill_hide	Hidden Charm Passive	1	1														0
Stormguild	96	0		1					1	1	12	13	lrg	Large Shield		5	5000	dgry			invlrgu				red-mag		1	1	res-ltng		25	25	ac		30	30	dmg-ltng		1	20	ac%		50	60	block		30	30	light-thorns		3	3	dur		10	15	oskill_hide	Hidden Charm Passive	1	1														0
Wall of the Eyeless	97	0		1					1	1	17	20	bsh	Bone Shield		5	5000	lgld			invbshu				mana-kill		5	5	manasteal		3	3	cast2		20	20	res-pois		20	20	ac%		30	40	ac		10	10	oskill_hide	Hidden Charm Passive	1	1																						0
Swordback Hold	98	0		1					1	1	12	15	spk	Spiked Shield		5	5000	lred			invspku				thorns		30	30	block		20	20	openwounds		25	25	bloody		3	5	ac%		30	60	ac		10	10	oskill_hide	Hidden Charm Passive	1	1																						0
Steelclash	99	0		1					1	1	12	17	kit	Kite Shield		5	5000	blac			invkitu				block		25	25	pal		1	1	red-dmg		3	3	light		3	3	ac%		60	100	block2		20	20	res-all		15	15	ac		20	20	dur		15	20	oskill_hide	Hidden Charm Passive	1	1										0
Bverrit Keep	100	0		1					1	1	12	19	tow	Tower Shield		5	5000	lblu			invtowu				ac		30	30	res-fire		75	75	str		10	10	red-mag		5	5	ac%		80	120	block		10	10	dur		80	100	oskill_hide	Hidden Charm Passive	1	1																		0
The Ward	101	0		1					1	1	25	26	gts	Gothic Shield		5	5000	dblu			invgtsu				ac		40	40	red-mag		2	2	str		10	10	block		10	10	ac%		100	100	res-all		30	50	oskill_hide	Hidden Charm Passive	1	1																						0
The Hand of Broc	102	0		1					1	1	1	5	lgl	Gloves		5	5000	cblu	cblu						manasteal		3	3	lifesteal		3	3	res-pois		10	10	mana		20	20	ac		10	10	ac%		10	20																										0
Bloodfist	103	0		1					1	1	1	9	vgl	Heavy Gloves		5	5000	oran	oran						dmg-min		5	5	hp		40	40	balance2		30	30	ac		10	10	ac%		10	20	swing2		10	10																										0
Chance Guards	104	0		1					1	1	12	15	mgl	Bracers		5	5000	lred	lred						gold%		200	200	mag%		25	40	att		25	25	ac		15	15	light		2	2	ac%		20	30																										0
Magefist	105	0		1					1	1	17	23	tgl	Light Gauntlets		5	5000	lgry	lgry						cast3		20	20	regen-mana		25	25	fireskill		1	1	dmg-fire		10	20	ac		10	10	ac%		20	30																										0
Frostburn	106	0		1					1	1	35	45	hgl	Gauntlets		5	5000	dred	dred						mana%		40	40	dmg-cold	25	10	20	ac%		50	100	extra-cold		10	10																																		0
Hotspur	107	0		1					1	1	1	5	lbt	Leather Boots		5	5000	cred	cred						res-fire-max		5	5	hp		15	15	dmg-fire		5	10	ac		10	10	res-fire		30	50	ac%		10	20	move1		10	10																						0
Gorefoot	108	0		1					1	1	1	9	vbt	Heavy Boots		5	5000	dblu	dblu						bloody		3	5	move2		20	20	manasteal		2	2	thorns		2	2	ac		12	12	ac%		20	30	skill	Leap	2	2																						0
Treads of Cthon	109	0		1					1	1	12	15	mbt	Chain Boots		5	5000	lgrn	lgrn						move2		30	30	ac-miss		50	50	hp		10	10	ac		12	12	ac%		30	40																														0
Goblin Toe	110	0		1					1	1	17	22	tbt	Light Plate Boots		5	5000	dgry	dgry						crush		10	10	red-dmg		2	4	red-mag		2	4	ac		15	15	light		-3	-3	ac%		50	60	move1		10	10																						0
Tearhaunch	111	0		1					1	1	25	29	hbt	Plate Boots		5	5000	dgrn	dgrn						ac		35	35	str		5	5	dex		5	5	move2		20	20	res-all		10	10	ac%		60	80	aura	Vigor	2	3																						0
Lenymo	112	0		1					1	1	1	7	lbl	Sash		5	5000	cgrn	cgrn						mana		15	15	regen-mana		30	30	res-all		5	5	light		1	1																																		0
Snakecord	113	0		1					1	1	1	12	vbl	Light Belt		5	5000	blac	blac						dmg-pois	50	40	40	res-pois		25	25	ac		10	10	ac%		20	30	regen		5	5	res-pois-len		50	50																										0
Nightsmoke	114	0		1					1	1	12	20	mbl	Belt		5	5000	lyel	lyel						res-all		10	10	dmg-to-mana		50	50	mana		20	20	red-dmg		2	2	ac		15	15	ac%		30	50																										0
Goldwrap	115	0		1					1	1	25	27	tbl	Heavy Belt		5	5000	lblu	lblu						mag%		30	30	light		2	2	ac		25	25	swing2		10	10	ac%		40	60	gold%		50	80																										0
