index	name	version	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Bul-Kathos' Children	Bul-Kathos' Children	100																																	dmg-fire		200	200	allskills		2	2	att		200	200	ac		200	200	dmg-undead		200	200	dmg-demon		200	200	lifesteal		10	10	deadly		20	20	0
Cow King's Leathers	Cow King's Leathers	100	res-pois		25	25	ac		100	100																									stam		100	100	str		20	20	gold%		100	100	mag%		100	100	gethit-skill	42	25	5	swing3		30	30	hp		100	100	allskills		1	1	0
Naj's Ancient Set	Naj's Ancient Set	100	ac		175	175	mag%/lvl	12																											allskills		1	1	regen		20	20	dex		15	15	res-all		50	50	str		20	20	mana		100	100	fireskill		2	2	hp%		12	12	0
McAuley's Folly	McAuley's Folly	100	ac		50	50					att		75	75																					allskills		1	1	mag%		50	50	mana		50	50	lifesteal		4	4																	0
Midnight Calling	Midnight Calling	100	dex		10	10					str		10	10																					ass		1	1	mag%		50	50	swing1		15	15	res-all		20	20																	0
Nature's Grove	Nature's Grove	100	vit		10	10					enr		10	10																					dru		1	1	mag%		50	50	skilltab	17	1	1	res-all		30	30																	0
Grimlock's Grave	Grimlock's Grave	100	enr		10	10					dex		10	10																					nec		1	1	mag%		50	50	pierce-pois		10	10	res-all		25	25																	0
Corgina's Element	Corgina's Element	100	mana		60	60					cast2		20	20																					sor		1	1	mag%		50	50	extra-fire		10	10	extra-cold		10	10	extra-ltng		10	10													0
Sheena's Grace	Sheena's Grace	100	swing1		15	15					hp		30	30																					ama		1	1	mag%		50	50	dmg-max		20	20	res-all		35	35																	0
Talonrage's Fury	Talonrage's Fury	100	regen		5	5					dmg%		35	35																					bar		1	1	mag%		50	50	balance2		30	30	res-all		25	25																	0
Greyhawk's Mantle	Greyhawk's Mantle	100	heal-kill		8	8					mana-kill		4	4																					pal		1	1	mag%		50	50	res-pois-len		60	60	res-all		30	30																	0
Silent Runnings	Silent Runnings	100	Move2		20	20					Balance2		20	20					block2		20	20													allskills		1	1	res-all		30	30	mag%		75	75	addxp		3	3	gold%		150	150													0
Snowmane's Jewelry	Snowmane's Jewelry	100	mag%		30	30					res-all		15	15																					allskills		1	1	manasteal		5	5	lifesteal		5	5	move2		20	20																	0
Four Seasons	Four Seasons	100	all-stats		10	10					res-all		25	25																					allskills		1	1	res-all		30	30	gethit-skill	38	15	6	gethit-skill	44	15	6	gethit-skill	56	10	1													0
Forgotten Treasures	Forgotten Treasures	100	str		15	15					dex		15	15					enr		15	15					vit		15	15					allskills		2	2	res-all		40	40	mag%		100	100	addxp		4	4	gold%		200	200	aura	99	4	4									0
Insight of Brother Laz	Insight of Brother Laz	100	mag%		50	50					str		20	20					dex		20	20													pal		2	2	res-all		60	60	mag%		50	50	hp		100	100	mana		50	50	half-freeze												0
Hades' Underworld	Hades' Underworld	100	oskill	revive	2	2					oskill	skeleton mastery	7	7					oskill	shout	4	4													nec		2	2	abs-fire%		20	20	abs-cold%		20	20	abs-ltng%		20	20	mag%		50	50													0
Darque's Cabal	Darque's Cabal	100	dmg-undead		200	200					dmg-demon		200	200																					bar		2	2	res-all		40	40	all-stats		25	25	addxp		3	3	mag%		125	125													0
Red Havoc's Challenge	Red Havoc's Challenge	100	oskill	wearwolf	8	8	oskill	shape shifting	6	6	oskill	fury	5	5																					dru		2	2	res-all		50	50	att%		30	30	addxp		3	3	mag%		60	60													0
Mishy's Avatar	Mishy's Avatar	100	att		150	150					dmg%		40	40					dex		10	10					dex		10	10					ama		2	2	res-all		50	50	addxp		3	3	hp		75	75	mag%		50	50													0
Joel's Sanctuary	Joel's Sanctuary	100	mana		50	50					regen-mana		50	50																					sor		2	2	res-all		50	50	addxp		3	3	mag%		50	50	mana-kill		7	7													0
JBouley's Scion	JBouley's Scion	100	deadly		33	33					swing2		20	20																					ass		2	2	res-all		40	40	addxp		3	3	openwounds		100	100	mag%		50	50													0
Heaven DeClineD	Heaven DeClineD	100	addxp		-3	-3					addxp		-5	-5																					allskills		2	2	res-all		25	25	addxp		-7	-7	dmg%		200	200	swing3		50	50													0
Volf's Undead Legion	Volf's Undead Legion	100	regen		-1	-1					regen		-2	-2																					allskills		2	2	res-all		35	35	regen		-2	-2	dmg-undead		300	300	rip		1	1													0
Legacy of Vashna	Legacy of Vashna	100	mag%		25	25																													allskills		1	1	res-all		50	50	cheap		-10	-10	lifesteal		15	15	manasteal		15	15													0
Salander's Tirade	Salander's Tirade	100	swing2		20	20																													allskills		1	1	dmg-norm		25	50	res-all		25	25	balance3		30	30	heal-kill		20	20													0
Jerik's Dragon Armor	Jerik's Dragon Armor	100	res-all		15	15																													allskills		1	1	res-all		25	25	addxp		2	2	move1		-15	-15	res-all-max		5	5													0
Onyx's Primal Rage	Onyx's Primal Rage	100	res-all		25	25					addxp		2	2					allskills		1	1													allskills		3	3	res-all		50	50	addxp		3	3	mag%		100	100	state	monsterset1	1	1													0
Brother Laz' Calling	Brother Laz' Calling	100	all-stats		15	15					crush		33	33					allskills		1	1													allskills		3	3	res-all		50	50	addxp		4	4	mag%		75	75	state	monsterset2	1	1													0
The Mysterious Spin	The Mysterious Spin	100	mag%		25	25					mag%		25	25					mag%		50	50													allskills		4	4	res-all		50	50	addxp		5	5	oskill	17	15	15	state	fullsetgeneric	1	1													0
Darkmage's Astral Projection	Darkmage's Astral Projection	100	all-stats		10	10					all-stats		20	20					all-stats		20	20													allskills		4	4	res-all		50	50	addxp		4	4	mag%		100	100	state	fullsetgeneric	1	1													0
Phrozen Heart's Mysticism	Phrozen Heart's Mysticism	100	allskills		1	1					allskills		1	1					allskills		1	1													allskills		1	1	res-all		50	50	addxp		5	5	mag%		100	100	state	fullsetgeneric	1	1	gethit-skill	64	12	8									0
Chaos Energy	Chaos Energy	100	enr		25	25					vit		25	25					dex		25	25													allskills		4	4	res-all		50	50	addxp		5	5	mag%		100	100	state	monsterset3	1	1	str		25	25									0
Aiel Shieldmaiden	Aiel Shieldmaiden	100	dmg%		50	50					allskills		1	1					addxp		2	2													allskills		3	3	res-all		50	50	addxp		4	4	mag%		100	100	state	fullsetgeneric	1	1	dmg%		100	100									0
Myhrginoc's Warbreeder	Myhrginoc's Warbreeder	100	swing3		30	30					dmg-norm		25	50																					allskills		2	2	res-all		50	50	all-stats		15	15	lifesteal		10	10	manasteal		10	10													0
Nefarius Ways	Nefarius Ways	100	regen		-3	-3					addxp		-10	-10																					allskills		5	5	res-all		100	100	deadly		50	50	crush		50	50	rip		1	1													0
Kraj's Memorial	Kraj's Memorial	100	addxp		2	2					mag%		75	75																					allskills		2	2	res-all		50	50	openwounds		100	100	noheal		1	1	dmg-cold	200	150	250													0
The Darkest Weaves	The Darkest Weaves	100	all-stats		20	20																													allskills		2	2	res-all		25	25	move3		50	50	regen-mana		75	75	dmg-fire		300	500													0
Blood Raven's Dispair	Blood Raven's Dispair	100	pierce		100	100																													allskills		2	2	knock		5	5	slow		25	25	reanimate	9	8	12	aura	113	5	5													0
Narrow Path Between Light and Darkness	Narrow Path Between Light and Darkness	100	hp		50	50					mana		50	50																					res-all-max		10	10	res-all		25	25	allskills		1	1																					0
Kingpin's Set	Kingpin's Set	100	mag%		25	25					mag%		25	25					mag%		25	25					mag%		25	25					mag%		200	200	allskills		1	1	res-all		35	35	state	fullsetgeneric	1	1																	0
Yohann's Savant	Yohann's Savant	100	allskills		1	1					addxp		3	3																					allskills		2	2	mana		125	125	res-all		35	35	mag%		75	75	regen-mana		75	75													0
Zhoulomcrist's Dread	Zhoulomcrist's Dread	100	regen		5	5					regen-mana		50	50																					allskills		3	3	red-dmg%		30	30	res-mag		25	25	res-all		50	50	oskill	lower resist	3	3													0
The Warlord of Blood	The Warlord of Blood	100	allskills		1	1					addxp		2	2					res-all		20	20					mag%		50	50					allskills		2	2	mag%		50	50	rip		1	1	gold%		200	200																	0
Darque Necromancy	Darque Necromancy	100	nec		1	1					nec		1	1					nec		1	1													res-all		30	30	gethit-skill	76	5	10	mag%		50	50	dmg-undead		300	300	oskill	revive	3	3													0
Marhawkman's Disquise	Marhawkman's Disquise	100	allskills		1	1					allskills		1	1																					state	monsterset4	1	1	gethit-skill	92	100	2	hit-skill	92	8	12	res-all		30	30	lifesteal		8	8	manasteal		8	8									0
Set1	Set1	100									allskills		1	1																					dmg%		100	100	mag%		50	50	gethit-skill	42	25	2	oskill	howl	1	1	slow		15	15													0
Set2	Set2	100	dex		20	20																													gold%		200	200	mag%		100	100	addxp		3	3	hp		75	75	ac		350	350	block		15	15									0
Set3	Set3	100																																	allskills		2	2	rip		1	1	gethit-skill	battle orders	25	9	gethit-skill	68	25	12	dmg-cold	100	200	250													0
Set4	Set4	100	allskills		1	1					mag%		35	35					mag%		65	65					allskills		1	1					gold%/lvl	25			res-all		40	40	oskill	sacrifice	7	7	swing3		30	30	dmg-max		40	40													0
Set5	Set5	100	openwounds		65	65																													allskills		2	2	res-all		20	20	dmg-max		150	150																					0
Set6	Set6	100	dmg%		20	20					dmg%		30	30					dmg%		50	50													allskills		1	1	mag%/lvl	12			hit-skill	48	10	10	noheal		1	1	dmg-pois	150	800	800	res-all		35	35									0
Set7	Set7	100	allskills		1	1					allskills		1	1					dmg-ltng		1	300													addxp		25	25	mag%/lvl	20			gold%/lvl	40																							0
Set8	Set8	100									allskills		1	1																					mag%		300	300	dmg-norm		25	50	allskills		2	2	pierce		30	30																	0
Set9	Set9	100	enr		15	15					vit		15	15																					allskills		3	3	hit-skill	74	20	3	att%		25	25	cast3		30	30																	0
Set10	Set10	100	allskills		1	1					allskills		1	1																					mag%		150	150	hp		100	100	mana		50	50																					0
Set11	Set11	100	allskills		1	1					addxp		2	2					allskills		1	1													res-all		50	50	red-dmg%		50	50	res-all-max		20	20																					0
Set12	Set12	100																																	allskills		2	2	att		350	350	slow		15	15	oskill	whirlwind	5	5																	0
Set13	Set13	100	allskills		1	1					allskills		1	1					allskills		1	1													allskills		5	5	all-stats		25	25	addxp		4	4	mag%		125	125	gold%		125	125													0
Set14	Set14	100	res-all		25	25					res-all		25	25					red-dmg%		25	25													allskills		4	4	mag%		75	75	res-all		50	50	heal-kill		20	20	mana-kill		5	5													0
Set15	Set15	100	mag%		25	25					mag%		25	25					mag%		25	25					mag%		25	25					allskills		3	3	gold%		100	100	res-all		25	25	dmg%		50	50																	0
Set16	Set16	100	res-all		1	15					res-all		1	20					res-all		10	40													allskills		2	2	mag%		50	50	mag%/lvl	12			light-thorns		100	100	abs-ltng%		20	20													0
Set17	Set17	100	balance1		15	15					balance2		25	25																					allskills		2	2	res-all		40	40	oskill	dodge	8	8	swing2		20	20	deadly/lvl	6															0
Set18	Set18	100	deadly		20	20					crush		20	20																					allskills		2	2	hp/lvl	24			mana/lvl	12			aura	125	1	1																	0
Set19	Set19	100	allskills		1	1					hp		50	50																					mag%		75	75	res-all		30	30	balance3		30	30	mana-kill		5	5	allskills		1	1	gethit-skill	38	100	9									0
Set20	Set20	100	swing1		10	10					swing1		10	10																					allskills		2	2	abs-fire%		25	25	abs-cold%		25	25	abs-ltng%		25	25	res-pois-len		70	70													0
Set21	Set21	100	balance2		20	20					balance2		20	20					block3		30	30													allskills		2	2	block		15	15	addxp		2	2	move3		30	30																	0
Set22	Set22	100	half-freeze		1	1					deadly		25	25																					allskills		2	2	crush		66	66	dmg%		150	150	dmg-norm		25	50	hit-skill	243	15	18													0
Set23	Set23	100	mag%		20	20					mag%		25	25					mag%		45	45					allskills		2	2					res-all		40	40	regen		20	20	rip		1	1																					0
Set24	Set24	100	allskills		2	2																													pierce		75	75	gethit-skill	38	13	31	slow		20	20	res-all		40	40	noheal		1	1	openwounds		55	55									0
Set25	Set25	100	regen		-15	-15																													regen		-45	-45	addxp		-90	-90	extra-pois		100	100	mag%		100	100	allskills		10	10													0
