Name	*Rune Name	complete	server	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword7	Blood	1			weap	armo	shld							MalShael	r23	r13					levelreq		18	18	dmg%		200	250	ac		125	175	bloody		1	1	allskills		2	2	hp%		10	15	red-dmg%		10	15	0
Runeword8	Bone	1			necr									BerUm	r30	r22					nec		2	2	skilltab	7	4	4	skill	68	3	3	skill	78	3	3	skill	84	3	3	skill	88	3	3	skill	93	3	3	0
Runeword10	Brand	1			miss									JahLoMalGul	r31	r28	r23	r25			gethit-skill	66	35	14	hit-skill	84	100	18	explosivearrow		1	1	dmg%		260	340	dmg-demon		280	330	knock		1	1					0
Runeword12	Broken Promise	1			weap									ChamVexAmnShaelLo	r32	r26	r11	r13	r28		dmg%		350	400	allskills		2	2	dmg/lvl	24			addxp		-5	-5	hit-skill	93	18	18	levelreq		15	15	crush/time	1	1	100	0
Runeword15	Chance	1			shld									EthIthTir	r05	r06	r03				block		15	15	block2		20	20	mana		25	25	cast1		15	15	mag%		20	30	gold%		75	75					0
Runeword136	Sting	1			miss									NefTalEth	r04	r07	r05				dmg-max		25	40	swing1		15	15	manasteal		5	8	oskill	Multiple Shot	3	3	oskill	ice arrow	5	5									0
Runeword18	Darkness	1			h2h									ZodAmnVex	r33	r11	r26				ass		3	3	str/time	1	1	100	vit/time	3	1	100	dmg-norm		75	150	res-all		20	40	red-dmg%		15	15	mag%/lvl	8			0
Runeword19	Daylight	1			orb									JahFalUm	r31	r19	r22				sor		3	3	regen-mana		50	50	cast2		30	30	aura	123	4	4	charged	91	33	18	mana%		50	50	hp%		25	25	0
Runeword20	Death	1			swor	axe								HelElVexOrtGul	r15	r01	r26	r09	r25		death-skill	53	100	44	att-skill	55	25	18	indestruct		1	1	dmg%		300	385	crush		50	50	deadly/lvl	4			charged	85	15	22	0
Runeword21	Deception	1			pole									IoDolLum	r16	r14	r17				dmg%		165	205	lifesteal		8	8	oskill	teleport	1	1	balance3		40	40	dmg/lvl	8			extra-fire		15	15	charged	56	150	18	0
Runeword23	Desire	1			weap	armo	shld							ElTirEl	r01	r03	r01				dmg%		30	50	ac%		30	50	all-stats		5	5	mag%		20	25													0
Runeword24	Despair	1			spea									GulMalShaelShaelEl	r25	r23	r13	r13	r01		dmg%		260	300	hit-skill	72	32	6	slow		20	20	oskill	fend	7	7	mag%		35	35	manasteal		9	9					0
Runeword32	Destiny's Daughter	1			abow									ShaelNefChamThulVex	r13	r04	r32	r10	r26		dmg-min		40	75	dmg/lvl	18			hit-skill	48	100	8	noheal		1	1	death-skill	nova	100	60	extra-cold		20	25	extra-fire		20	25	0
Runeword25	Destruction	1			pole	swor								VexLoBerJahKo	r26	r28	r30	r31	r18		hit-skill	244	23	12	hit-skill	229	5	23	death-skill	56	100	45	att-skill	48	15	22	dmg%		350	350	dmg-mag		100	180					0
Runeword27	Dragon	1			armo	shld								SurLoSol	r29	r28	r12				gethit-skill	278	20	18	hit-skill	62	12	15	ac		360	360	ac-miss		230	230	str/lvl	3			all-stats		3	5	aura	102	14	14	0
Runeword28	Dread	1			tors									DolElIth	r14	r01	r06				ac%		100	125	hit-skill	38	13	13	move2		20	20	heal-kill		6	8	levelreq		1	1	str/lvl	4			dex/lvl	4			0
Runeword29	Dream	1			helm	shld								IoJahPul	r16	r31	r21				gethit-skill	81	10	15	aura	118	15	15	balance2		20	30	ac		150	220	mana/lvl	5			res-all		5	20	mag%		15	25	0
Runeword56	Dweomer	1			armo	shld								ThulEld	r10	r02					sor		1	1	mana		50	75	cast1		15	15	addxp		1	3	regen-mana		60	70	res-mag		5	10	levelreq		3	3	0
Runeword31	Edge	1			miss									TirTalAmn	r03	r07	r11				aura	103	15	15	swing2		35	35	dmg-demon		320	380	dmg-undead		280	280	noheal		1	1	cheap		15	15	all-stats		8	9	0
Runeword34	Enlightenment	1			drui									TirUmLum	r03	r22	r17				dru		2	2	skill-rand	3	221	250	regen-mana		75	75	skilltab	17	3	3	gethit-skill	235	30	20	red-dmg%		20	25	block2		20	20	0
Runeword35	Envy	1			weap									FalKoLumIo	r19	r18	r17	r16			dmg%		222	222	swing2		30	30	manasteal		6	6	lifesteal		6	6	addxp		2	2	mag%		35	35	res-all		25	25	0
Runeword52	Heaven's Will	1			pala									DolEld	r14	r02					pal		1	1	block		50	50	block3		30	30	dmg%		30	50	rip		1	1	skill	121	6	6					0
Runeword53	Holy Tears	1			scep									IoTirShael	r16	r03	r13				dmg%		160	200	hit-skill	121	16	9	dmg-demon		300	300	att%		35	35	slow		35	35	oskill	zeal	5	5	swing2		20	20	0
Runeword57	Humility	1			tors									ZodUmIthCham	r33	r22	r06	r32			levelreq		17	17	oskill	shout	10	15	oskill	battle orders	10	15	oskill	battle command	10	15	oskill	shiver armor	10	15	oskill	valkyrie	10	15	aura	salvation	5	7	0
Runeword58	Hunger	1			shld									AmnHel	r11	r15					levelreq		8	8	block		15	30	red-dmg%		10	15	res-all		20	20	res-mag		20	20	lifesteal		5	5	regen		-1	-1	0
Runeword59	Ice	1			miss									AmnShaelJahLo	r11	r13	r31	r28			levelup-skill	59	100	40	hit-skill	44	25	22	aura	114	18	18	dmg%		140	210	extra-cold		25	30	pierce-cold		20	20	gold%/lvl	25			0
Runeword60	Infinity	1			pole									BerMalBerIst	r30	r23	r30	r24			kill-skill	53	50	20	aura	123	12	12	move2		35	35	dmg%		255	325	pierce-ltng		55	55	vit/lvl	4			charged	235	30	21	0
Runeword61	Innocence	1			hamm									VexLemIst	r26	r20	r24				dmg%		190	240	dmg/lvl	16			rep-dur	15			allskills		2	2	hp%		25	25	all-stats		15	25	addxp		-3	-3	0
Runeword62	Insight	1			pole	staf								RalTirTalSol	r08	r03	r07	r12			aura	120	12	17	cast2		35	35	dmg%		200	260	att%		180	250	oskill	9	1	6	all-stats		5	5	mag%		23	23	0
Runeword63	Jealousy	1			spea									TalEld	r07	r02					dmg%		122	122	lifesteal		7	7	manasteal		7	7	oskill	jab	3	3	oskill	spear mastery	3	3	swing2		20	20					0
Runeword64	Judgment	1			pala									UmHelUm	r22	r15	r22				pal		2	2	ignore-ac		1	1	block		25	35	dmg-max		20	30	gethit-skill	117	2	35	gethit-skill	87	50	5	red-mag		35	50	0
Runeword67	Knight's Vigil	1			armo	shld								BerLemUmIst	r30	r20	r22	r24			pal		2	2	aura	120	8	12	cast3		40	40	block		20	30	block2		20	20	levelreq		12	12	regen		10	15	0
Runeword69	Last Wish	1			swor	hamm	axe							ChamMalJahSurJahBer	r32	r23	r31	r29	r31	r30	gethit-skill	267	6	11	hit-skill	82	10	18	att-skill	38	20	20	aura	98	17	17	dmg%		330	375	crush		0	10	mag%/lvl		4	4	0
Runeword70	Law	1			axe									HelHel	r15	r15					levelreq		26	26	dmg%		120	170	swing2		15	15	hp		48	48	mana		24	24	slow		30	30	rip		1	1	0
Runeword71	Lawbringer	1			swor	hamm	scep							AmnLemKo	r11	r20	r18				hit-skill	87	20	15	aura	119	18	18	reduce-ac		50	50	dmg-fire		150	220	dmg-cold	75	130	180	rip		1	1	ac-miss		200	250	0
Runeword73	Lightning	1			weap									OrtOrtAmn	r09	r09	r11				res-ltng		35	50	dmg%		100	175	swing2		20	20	hit-skill	49	15	9	aura	118	2	2	abs-ltng		8	10					0
Runeword77	Loyalty	1			shld									VexDol	r26	r14					aura	103	5	9	res-ltng-max		5	5	res-cold-max		5	5	res-pois-max		5	5	res-all		100	100	addxp		6	6	block		35	50	0
Runeword78	Lust	1			wand									ShaelMal	r13	r23					nec		2	2	addxp		5	5	mana%		35	35	res-all		35	50	aura	118	8	8	mag%		40	40	gold%/time	1	1	300	0
Runeword79	Madness	1			armo	shld								IoEthDol	r16	r05	r14				gethit-skill	81	9	5	hit-skill	77	12	16	swing1		15	15	levelreq		1	1	allskills		1	1	block2		15	15	hp		35	50	0
Runeword84	Mist	1			club									OhmHelUm	r27	r15	r22				dmg%		250	300	gethit-skill	234	33	15	aura	104	7	7	crush		33	33	block		15	15	dmg/lvl	8			str		15	15	0
Runeword85	Morning Dew	1			pole									MalIthBerChamZodIst	r23	r06	r30	r32	r33	r24	levelreq		10	10	swing3		50	50	dmg%		300	360	dru		3	3	oskill	pole arm mastery	20	20	kill-skill	static field	100	20	res-all		25	25	0
Runeword86	Mystery	1			drui									ShaelZodGul	r13	r33	r25				dru		3	3	mana%		15	15	hp%		15	15	res-all		30	50	aura	113	6	6	swing2		20	20	addxp		3	3	0
Runeword87	Myth	1			spea									FalChamBerHelTirRal	r19	r32	r30	r15	r03	r08	levelreq		8	8	dmg-norm		200	400	rep-dur	15			dmg%		80	120	allskills		3	3	res-all		50	50	death-skill	nova	100	60	0
Runeword95	Patience	1			weap	armo	shld							NefEldRal	r04	r02	r08				Balance2		20	20	addxp		1	3	hp		20	25	heal-kill		3	5	mana-kill		2	2	move1		15	15					0
Runeword97	Pattern	1			miss									OhmOhm	r27	r27					dmg/lvl	16			res-all		75	75	balance3		40	40	swing3		40	40	allskills		2	2	red-dmg%		25	25	gethit-skill	86	100	12	0
Runeword98	Peace	1			mele									TirEthEl	r03	r05	r01				levelreq		6	6	dmg-norm		20	40	swing1		20	20	Balance2		20	20	block2		20	20	fade		1	1	res-all		15	15	0
Runeword100	Penitence	1			armo	shld								IthTir	r06	r03					block1		15	15	balance1		15	15	rep-dur	10			half-freeze		1	1	res-pois-len		50	50									0
Runeword101	Peril	1			miss									ChamLoBerBerLoCham	r32	r28	r30	r30	r28	r32	levelreq		11	11	dmg-min		100	200	dmg-max		300	400	swing3		75	75	allskills		1	1	mag%/lvl	8			all-stats		20	30	0
Runeword102	Pestilence	1			axe									SolKoIo	r12	r18	r16				dmg-pois	100	800	800	noheal		1	1	mag%		20	35	dmg%		188	188	extra-pois		20	20	oskill	poison explosion	3	3	res-pois-len		50	50	0
Runeword103	Phoenix	1			weap	shld								VexVexLoJah	r26	r26	r28	r31			levelup-skill	46	100	40	hit-skill	225	40	22	aura	124	13	13	dmg%		350	400	pierce-fire		28	28	ac-miss		350	400	abs-fire		15	21	0
Runeword104	Piety	1			helm									LemNefShael	r20	r04	r13				ac%		90	125	enr		20	20	mana/lvl	8			allskills		1	1	cast2		20	20	res-all		15	25	res-mag		15	25	0
Runeword105	Pillar of Faith	1			spea									FalFalUmAmn	r19	r19	r22	r11			dmg%		230	230	rep-dur	20			ac		400	500	aura	109	12	12	swing2		20	20	hp		75	75	abs-fire%		15	15	0
Runeword106	Plague	1			mace									SurUmMalShaelShael	r29	r22	r23	r13	r13		dmg%		200	250	dmg-pois	150	1800	1800	res-pois		80	80	res-all-max		10	10	deadly		100	100	hit-skill	92	15	27	levelreq		10	10	0
Runeword107	Praise	1			hamm									FalGulOhmShael	r19	r25	r27	r13			levelreq		15	15	dmg%		280	350	ignore-ac		1	1	death-skill	64	100	47	gethit-skill	55	100	10	mag%/time	0	1	200	lifesteal		10	10	0
Runeword108	Prayer	1			weap	armo	shld							HelEthThul	r15	r05	r10				dmg-norm		10	30	ac		50	100	swing1		20	20	levelreq		7	7	block		20	30	aura	99	10	14	res-all		15	25	0
Runeword109	Pride	1			pole									ChamSurLoIo	r32	r29	r28	r16			gethit-skill	51	25	17	aura	113	18	18	att%		260	300	dmg-dem/lvl	8			dmg-ltng		50	280	regen		8	8	gold%	15			0
Runeword110	Principle	1			aspe									ShaekFalKoShael	r13	r19	r18	r13			dmg%		200	260	rip		1	1	addxp		2	2	ama		2	2	res-all		35	35	charged	57	10	20	charged	235	22	10	0
Runeword111	Prowess in Battle	1			barb									JahIstFal	r31	r24	r19				levelreq		10	10	bar		3	3	att%		50	50	aura	122	6	6	dmg%		100	100	balance3		40	40	ac/lvl	24			0
Runeword112	Prudence	1			tors									MalTir	r23	r03					balance2		25	25	ac%		140	170	res-all		25	35	red-dmg		3	3	red-mag		10	10	light		1	1	rep-dur	25			0
Runeword113	Punishment	1			swor									OrtDolAmn	r09	r14	r11				dmg%		135	135	dmg-norm		20	40	regen		-3	-3	addxp		-2	-2	all-stats		20	20	levelup-skill	Thunder Storm	100	35	red-dmg		15	20	0
