monster	*index	hirelingAlternateVoice	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	consumestat1	consumepar1	consumecalc1	consumestat2	consumepar2	consumecalc2	consumestat3	consumepar3	consumecalc3	consumestat4	consumepar4	consumecalc4	consumestat5	consumepar5	consumecalc5	numunderlingcalc	bindchancecalc	BoundStat1	BoundCalc1	BoundStat2	BoundCalc2	BoundStat3	BoundCalc3	BoundStat4	BoundCalc4	BoundStat5	BoundCalc5
fallen1	19		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>12000)?(min(pcl5,12000+(600*(stat('monster_playercount'.accr)-1)))):pcl5)"								
fallen2	20		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>12000)?(min(pcl5,12000+(600*(stat('monster_playercount'.accr)-1)))):pcl5)"								
fallen3	21		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>12000)?(min(pcl5,12000+(600*(stat('monster_playercount'.accr)-1)))):pcl5)"								
fallen4	22		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>12000)?(min(pcl5,12000+(600*(stat('monster_playercount'.accr)-1)))):pcl5)"								
fallen5	23		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	item_addsksrc _tab	2	2													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>20000)?(min(pcl5,20000+(1000*(stat('monster_playercount'.accr)-1)))):pcl5)"								
corruptrogue1	43		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	coldresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
corruptrogue2	44		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	coldresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
corruptrogue3	45		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	coldresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
corruptrogue4	46		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	coldresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
corruptrogue5	47		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	coldresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
goatman1	53		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	coldresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
goatman2	54		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	lightresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
goatman3	55		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
goatman4	56		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
goatman5	57		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
fallenshaman1	58		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													5	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
fallenshaman2	59		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													5	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
fallenshaman3	60		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													5	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
fallenshaman4	61		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													5	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
fallenshaman5	62		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													5	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
vulture3	112		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>13200)?(min(pcl5,13200+(660*(stat('monster_playercount'.accr)-1)))):pcl5)"								
fetish1	141		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	fireresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>12000)?(min(pcl5,12000+(600*(stat('monster_playercount'.accr)-1)))):pcl5)"								
fetish2	142		((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	(sksrc('Bind Demon'.blvl)>=(((elte==1)+(elte == 4))?15:((elte== 2)?10:0)))	"monster quality check (0= normal, 1 = unique, 2 = champion, 3 = super unique, 4 = minion)"	sksrc('Bind Demon'.dm34)+(sksrc('Death Mark'.blvl))	skill related % chance increase	((100-hpct)/((elte==1+elte==4)?20:((elte==2)?10:5)))	health missing related chance per monster quality	stat('maxhp'.accr)/256	bitshifted stat	lightresist		sksrc ('Consume'.lvl)*3+5													0	(((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)) >= 99)?0:(sksrc('Bind Demon'.dm34)+((sksrc('Death Mark'.blvl)*sksrc('Bind Demon'.par8))/100)+((100-((stat('hitpoints'.accr) * 100)/stat('maxhp'.accr)))))	maxhp	"((pcl5>12000)?(min(pcl5,12000+(600*(stat('monster_playercount'.accr)-1)))):pcl5)"								
