Id	prop1	chance1	par1	min1	max1	prop2	chance2	par2	min2	max2	prop3	chance3	par3	min3	max3	prop4	chance4	par4	min4	max4	prop5	chance5	par5	min5	max5	prop6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
diablo_monprop																																																													att-skill		195	40	11	att-skill		171	40	11	swing1			30	30	att-skill		17	50	8	prop_mon_move			40	40						0
splash_monprop	hit-skill		434	100	1	dmg2%			-50	-50																					hit-skill		434	100	1	dmg2%			-50	-50																					hit-skill		434	100	1	dmg2%			-40	-40																					0
fire_splash_monprop	hit-skill		484	100	1																										hit-skill		484	100	1																										hit-skill		484	100	1																										0
shadow_monprop	res-all/lvl		6																												res-all/lvl		6																												res-all/lvl		6																												0
dclone_monprop																																																													cast1			50	50	swing1			50	50	aura		489	1	1	att-skill		488	5	1											0
fast																																																													swing1			100	100	cast1			100	100	pierce-immunity-all	100		500	500																0
labmummy																																																													death-skill		490	100	1	pierce-immunity-all	100		500	500																					0
labaura1																																																													aura	100	492	1	1	pierce-immunity-all	100		500	500																					0
labaura2																																																													aura	100	493	1	1	pierce-immunity-all	100		500	500																					0
skeleking_monprop																																																													att-skill	100	494	100	1	pierce-immunity-all	100		500	500																					0
nakrul_monprop																																																													att-skill	100	46	100	50	pierce-immunity-all	100		500	500	hit-skill		434	100	1	pierce-dmg			250	250	pierce-fire			250	250						0
labprop1																																																													swing1			100	100	cast1			100	100	pierce-immunity-all	100		500	500																0
labprop2																																																													swing1			100	100	cast1			100	100	pierce-immunity-all	100		500	500	state		175	1	1											0
labturretprop1																																																													pierce-immunity-all	100		500	500																										0
magdha_monprop																																																													aura	100	507	1	1	pierce-immunity-all	100		500	500																					0
magdhaswarm_monprop																																																													hit-skill		434	100	1	pierce-immunity-all	100		500	500																					0
rmap_probe	aura	100	523	12	12	aura	100	523	13	13	aura	100	523	14	14	aura	100	523	15	15	aura	100	523	16	16	aura	100	523	17	17	aura	100	523	18	18	aura	100	523	19	19	aura	100	523	20	20	aura	100	523	21	21	aura	100	523	22	22	aura	100	523	23	23	aura	100	523	24	24	aura	100	523	25	25	aura	100	523	26	26	aura	100	523	27	27	aura	100	523	28	28	aura	100	523	29	29	0
rmap_md1	aura	100	523	25	25																										aura	100	523	25	25																										aura	100	523	25	25																										0
rmap_md1_boss	aura	100	523	25	25											aura	100	369	8	8	att-skill	100	479	25	12	gethit-skill	100	53	6	20	aura	100	523	25	25											aura	100	369	8	8	att-skill	100	479	25	12	gethit-skill	100	53	6	20	aura	100	523	25	25											aura	100	369	8	8	att-skill	100	479	25	12	gethit-skill	100	53	6	20	0
rmap_md2	aura	100	523	50	50																										aura	100	523	50	50																										aura	100	523	50	50																										0
rmap_md2_boss	aura	100	523	50	50											aura	100	369	10	10	att-skill	100	479	25	16	gethit-skill	100	53	6	24	aura	100	523	50	50											aura	100	369	10	10	att-skill	100	479	25	16	gethit-skill	100	53	6	24	aura	100	523	50	50											aura	100	369	10	10	att-skill	100	479	25	16	gethit-skill	100	53	6	24	0
rmap_md3	aura	100	523	75	75																										aura	100	523	75	75																										aura	100	523	75	75																										0
rmap_md3_boss	aura	100	523	75	75											aura	100	369	12	12	att-skill	100	479	25	20	gethit-skill	100	53	6	28	aura	100	523	75	75											aura	100	369	12	12	att-skill	100	479	25	20	gethit-skill	100	53	6	28	aura	100	523	75	75											aura	100	369	12	12	att-skill	100	479	25	20	gethit-skill	100	53	6	28	0
rmap_md4	aura	100	523	100	100																										aura	100	523	100	100																										aura	100	523	100	100																										0
rmap_md4_boss	aura	100	523	100	100											aura	100	369	14	14	att-skill	100	479	25	24	gethit-skill	100	53	6	32	aura	100	523	100	100											aura	100	369	14	14	att-skill	100	479	25	24	gethit-skill	100	53	6	32	aura	100	523	100	100											aura	100	369	14	14	att-skill	100	479	25	24	gethit-skill	100	53	6	32	0
rmap_md5	aura	100	523	125	125																										aura	100	523	125	125																										aura	100	523	125	125																										0
rmap_md5_boss	aura	100	523	125	125											aura	100	369	16	16	att-skill	100	479	25	28	gethit-skill	100	53	6	36	aura	100	523	125	125											aura	100	369	16	16	att-skill	100	479	25	28	gethit-skill	100	53	6	36	aura	100	523	125	125											aura	100	369	16	16	att-skill	100	479	25	28	gethit-skill	100	53	6	36	0
rmap_md6	aura	100	523	150	150																										aura	100	523	150	150																										aura	100	523	150	150																										0
rmap_md6_boss	aura	100	523	150	150											aura	100	369	18	18	att-skill	100	479	25	32	gethit-skill	100	53	6	40	aura	100	523	150	150											aura	100	369	18	18	att-skill	100	479	25	32	gethit-skill	100	53	6	40	aura	100	523	150	150											aura	100	369	18	18	att-skill	100	479	25	32	gethit-skill	100	53	6	40	0
rmap_mk1	aura	100	523	25	25																										aura	100	523	25	25																										aura	100	523	25	25																										0
rmap_mk1_boss	aura	100	523	25	25											aura	100	368	8	8	att-skill	100	321	20	12	gethit-skill	100	91	5	10	aura	100	523	25	25											aura	100	368	8	8	att-skill	100	321	20	12	gethit-skill	100	91	5	10	aura	100	523	25	25											aura	100	368	8	8	att-skill	100	321	20	12	gethit-skill	100	91	5	10	0
rmap_mk2	aura	100	523	50	50																										aura	100	523	50	50																										aura	100	523	50	50																										0
rmap_mk2_boss	aura	100	523	50	50											aura	100	368	10	10	att-skill	100	321	20	16	gethit-skill	100	91	5	14	aura	100	523	50	50											aura	100	368	10	10	att-skill	100	321	20	16	gethit-skill	100	91	5	14	aura	100	523	50	50											aura	100	368	10	10	att-skill	100	321	20	16	gethit-skill	100	91	5	14	0
rmap_mk3	aura	100	523	75	75																										aura	100	523	75	75																										aura	100	523	75	75																										0
rmap_mk3_boss	aura	100	523	75	75											aura	100	368	12	12	att-skill	100	321	20	20	gethit-skill	100	91	5	18	aura	100	523	75	75											aura	100	368	12	12	att-skill	100	321	20	20	gethit-skill	100	91	5	18	aura	100	523	75	75											aura	100	368	12	12	att-skill	100	321	20	20	gethit-skill	100	91	5	18	0
rmap_mk4	aura	100	523	100	100																										aura	100	523	100	100																										aura	100	523	100	100																										0
rmap_mk4_boss	aura	100	523	100	100											aura	100	368	14	14	att-skill	100	321	20	24	gethit-skill	100	91	5	22	aura	100	523	100	100											aura	100	368	14	14	att-skill	100	321	20	24	gethit-skill	100	91	5	22	aura	100	523	100	100											aura	100	368	14	14	att-skill	100	321	20	24	gethit-skill	100	91	5	22	0
rmap_mk5	aura	100	523	125	125																										aura	100	523	125	125																										aura	100	523	125	125																										0
rmap_mk5_boss	aura	100	523	125	125											aura	100	368	16	16	att-skill	100	321	20	28	gethit-skill	100	91	5	26	aura	100	523	125	125											aura	100	368	16	16	att-skill	100	321	20	28	gethit-skill	100	91	5	26	aura	100	523	125	125											aura	100	368	16	16	att-skill	100	321	20	28	gethit-skill	100	91	5	26	0
rmap_mk6	aura	100	523	150	150																										aura	100	523	150	150																										aura	100	523	150	150																										0
rmap_mk6_boss	aura	100	523	150	150											aura	100	368	18	18	att-skill	100	321	20	32	gethit-skill	100	91	5	30	aura	100	523	150	150											aura	100	368	18	18	att-skill	100	321	20	32	gethit-skill	100	91	5	30	aura	100	523	150	150											aura	100	368	18	18	att-skill	100	321	20	32	gethit-skill	100	91	5	30	0
rmap_mc1	aura	100	523	25	25																										aura	100	523	25	25																										aura	100	523	25	25																										0
rmap_mc1_boss	aura	100	523	25	25																										aura	100	523	25	25																										aura	100	523	25	25																										0
rmap_mc2	aura	100	523	50	50																										aura	100	523	50	50																										aura	100	523	50	50																										0
rmap_mc2_boss	aura	100	523	50	50																										aura	100	523	50	50																										aura	100	523	50	50																										0
rmap_mc3	aura	100	523	75	75																										aura	100	523	75	75																										aura	100	523	75	75																										0
rmap_mc3_boss	aura	100	523	75	75																										aura	100	523	75	75																										aura	100	523	75	75																										0
rmap_mc4	aura	100	523	100	100																										aura	100	523	100	100																										aura	100	523	100	100																										0
rmap_mc4_boss	aura	100	523	100	100																										aura	100	523	100	100																										aura	100	523	100	100																										0
rmap_mc5	aura	100	523	125	125																										aura	100	523	125	125																										aura	100	523	125	125																										0
rmap_mc5_boss	aura	100	523	125	125																										aura	100	523	125	125																										aura	100	523	125	125																										0
rmap_mc6	aura	100	523	150	150																										aura	100	523	150	150																										aura	100	523	150	150																										0
rmap_mc6_boss	aura	100	523	150	150																										aura	100	523	150	150																										aura	100	523	150	150																										0
rmap_mf1	aura	100	523	25	25																										aura	100	523	25	25																										aura	100	523	25	25																										0
rmap_mf1_boss	aura	100	523	25	25											aura	100	365	8	8	att-skill	100	445	20	12	gethit-skill	100	444	5	12	aura	100	523	25	25											aura	100	365	8	8	att-skill	100	445	20	12	gethit-skill	100	444	5	12	aura	100	523	25	25											aura	100	365	8	8	att-skill	100	445	20	12	gethit-skill	100	444	5	12	0
rmap_mf2	aura	100	523	50	50																										aura	100	523	50	50																										aura	100	523	50	50																										0
rmap_mf2_boss	aura	100	523	50	50											aura	100	365	10	10	att-skill	100	445	20	16	gethit-skill	100	444	5	16	aura	100	523	50	50											aura	100	365	10	10	att-skill	100	445	20	16	gethit-skill	100	444	5	16	aura	100	523	50	50											aura	100	365	10	10	att-skill	100	445	20	16	gethit-skill	100	444	5	16	0
rmap_mf3	aura	100	523	75	75																										aura	100	523	75	75																										aura	100	523	75	75																										0
rmap_mf3_boss	aura	100	523	75	75											aura	100	365	12	12	att-skill	100	445	20	20	gethit-skill	100	444	5	20	aura	100	523	75	75											aura	100	365	12	12	att-skill	100	445	20	20	gethit-skill	100	444	5	20	aura	100	523	75	75											aura	100	365	12	12	att-skill	100	445	20	20	gethit-skill	100	444	5	20	0
rmap_mf4	aura	100	523	100	100																										aura	100	523	100	100																										aura	100	523	100	100																										0
rmap_mf4_boss	aura	100	523	100	100											aura	100	365	14	14	att-skill	100	445	20	24	gethit-skill	100	444	5	24	aura	100	523	100	100											aura	100	365	14	14	att-skill	100	445	20	24	gethit-skill	100	444	5	24	aura	100	523	100	100											aura	100	365	14	14	att-skill	100	445	20	24	gethit-skill	100	444	5	24	0
rmap_mf5	aura	100	523	125	125																										aura	100	523	125	125																										aura	100	523	125	125																										0
rmap_mf5_boss	aura	100	523	125	125											aura	100	365	16	16	att-skill	100	445	20	28	gethit-skill	100	444	5	28	aura	100	523	125	125											aura	100	365	16	16	att-skill	100	445	20	28	gethit-skill	100	444	5	28	aura	100	523	125	125											aura	100	365	16	16	att-skill	100	445	20	28	gethit-skill	100	444	5	28	0
rmap_mf6	aura	100	523	150	150																										aura	100	523	150	150																										aura	100	523	150	150																										0
rmap_mf6_boss	aura	100	523	150	150											aura	100	365	18	18	att-skill	100	445	20	32	gethit-skill	100	444	5	32	aura	100	523	150	150											aura	100	365	18	18	att-skill	100	445	20	32	gethit-skill	100	444	5	32	aura	100	523	150	150											aura	100	365	18	18	att-skill	100	445	20	32	gethit-skill	100	444	5	32	0
rmap_mw1	aura	100	523	25	25																										aura	100	523	25	25																										aura	100	523	25	25																										0
rmap_mw1_boss	aura	100	523	25	25											aura	100	122	8	8	att-skill	100	301	25	12	gethit-skill	100	316	5	12	aura	100	523	25	25											aura	100	122	8	8	att-skill	100	301	25	12	gethit-skill	100	316	5	12	aura	100	523	25	25											aura	100	122	8	8	att-skill	100	301	25	12	gethit-skill	100	316	5	12	0
rmap_mw2	aura	100	523	50	50																										aura	100	523	50	50																										aura	100	523	50	50																										0
rmap_mw2_boss	aura	100	523	50	50											aura	100	122	10	10	att-skill	100	301	25	16	gethit-skill	100	316	5	16	aura	100	523	50	50											aura	100	122	10	10	att-skill	100	301	25	16	gethit-skill	100	316	5	16	aura	100	523	50	50											aura	100	122	10	10	att-skill	100	301	25	16	gethit-skill	100	316	5	16	0
rmap_mw3	aura	100	523	75	75																										aura	100	523	75	75																										aura	100	523	75	75																										0
rmap_mw3_boss	aura	100	523	75	75											aura	100	122	12	12	att-skill	100	301	25	20	gethit-skill	100	316	5	20	aura	100	523	75	75											aura	100	122	12	12	att-skill	100	301	25	20	gethit-skill	100	316	5	20	aura	100	523	75	75											aura	100	122	12	12	att-skill	100	301	25	20	gethit-skill	100	316	5	20	0
rmap_mw4	aura	100	523	100	100																										aura	100	523	100	100																										aura	100	523	100	100																										0
rmap_mw4_boss	aura	100	523	100	100											aura	100	122	14	14	att-skill	100	301	25	24	gethit-skill	100	316	5	24	aura	100	523	100	100											aura	100	122	14	14	att-skill	100	301	25	24	gethit-skill	100	316	5	24	aura	100	523	100	100											aura	100	122	14	14	att-skill	100	301	25	24	gethit-skill	100	316	5	24	0
rmap_mw5	aura	100	523	125	125																										aura	100	523	125	125																										aura	100	523	125	125																										0
rmap_mw5_boss	aura	100	523	125	125											aura	100	122	16	16	att-skill	100	301	25	28	gethit-skill	100	316	5	28	aura	100	523	125	125											aura	100	122	16	16	att-skill	100	301	25	28	gethit-skill	100	316	5	28	aura	100	523	125	125											aura	100	122	16	16	att-skill	100	301	25	28	gethit-skill	100	316	5	28	0
rmap_mw6	aura	100	523	150	150																										aura	100	523	150	150																										aura	100	523	150	150																										0
rmap_mw6_boss	aura	100	523	150	150											aura	100	122	18	18	att-skill	100	301	25	32	gethit-skill	100	316	5	32	aura	100	523	150	150											aura	100	122	18	18	att-skill	100	301	25	32	gethit-skill	100	316	5	32	aura	100	523	150	150											aura	100	122	18	18	att-skill	100	301	25	32	gethit-skill	100	316	5	32	0
rmap_ms1	aura	100	523	25	25																										aura	100	523	25	25																										aura	100	523	25	25																										0
rmap_ms1_boss	aura	100	523	25	25											aura	100	369	8	8	att-skill	100	479	20	12	gethit-skill	100	38	10	16	aura	100	523	25	25											aura	100	369	8	8	att-skill	100	479	20	12	gethit-skill	100	38	10	16	aura	100	523	25	25											aura	100	369	8	8	att-skill	100	479	20	12	gethit-skill	100	38	10	16	0
rmap_ms2	aura	100	523	50	50																										aura	100	523	50	50																										aura	100	523	50	50																										0
rmap_ms2_boss	aura	100	523	50	50											aura	100	369	10	10	att-skill	100	479	20	16	gethit-skill	100	38	10	20	aura	100	523	50	50											aura	100	369	10	10	att-skill	100	479	20	16	gethit-skill	100	38	10	20	aura	100	523	50	50											aura	100	369	10	10	att-skill	100	479	20	16	gethit-skill	100	38	10	20	0
rmap_ms3	aura	100	523	75	75																										aura	100	523	75	75																										aura	100	523	75	75																										0
rmap_ms3_boss	aura	100	523	75	75											aura	100	369	12	12	att-skill	100	479	20	20	gethit-skill	100	38	10	24	aura	100	523	75	75											aura	100	369	12	12	att-skill	100	479	20	20	gethit-skill	100	38	10	24	aura	100	523	75	75											aura	100	369	12	12	att-skill	100	479	20	20	gethit-skill	100	38	10	24	0
rmap_ms4	aura	100	523	100	100																										aura	100	523	100	100																										aura	100	523	100	100																										0
rmap_ms4_boss	aura	100	523	100	100											aura	100	369	14	14	att-skill	100	479	20	24	gethit-skill	100	38	10	28	aura	100	523	100	100											aura	100	369	14	14	att-skill	100	479	20	24	gethit-skill	100	38	10	28	aura	100	523	100	100											aura	100	369	14	14	att-skill	100	479	20	24	gethit-skill	100	38	10	28	0
rmap_ms5	aura	100	523	125	125																										aura	100	523	125	125																										aura	100	523	125	125																										0
rmap_ms5_boss	aura	100	523	125	125											aura	100	369	16	16	att-skill	100	479	20	28	gethit-skill	100	38	10	32	aura	100	523	125	125											aura	100	369	16	16	att-skill	100	479	20	28	gethit-skill	100	38	10	32	aura	100	523	125	125											aura	100	369	16	16	att-skill	100	479	20	28	gethit-skill	100	38	10	32	0
rmap_ms6	aura	100	523	150	150																										aura	100	523	150	150																										aura	100	523	150	150																										0
rmap_ms6_boss	aura	100	523	150	150											aura	100	369	18	18	att-skill	100	479	20	32	gethit-skill	100	38	10	36	aura	100	523	150	150											aura	100	369	18	18	att-skill	100	479	20	32	gethit-skill	100	38	10	36	aura	100	523	150	150											aura	100	369	18	18	att-skill	100	479	20	32	gethit-skill	100	38	10	36	0
rmap_mh1	aura	100	523	25	25																										aura	100	523	25	25																										aura	100	523	25	25																										0
rmap_mh1_boss	aura	100	523	25	25											aura	100	98	8	8	att-skill	100	301	20	12						aura	100	523	25	25											aura	100	98	8	8	att-skill	100	301	20	12						aura	100	523	25	25											aura	100	98	8	8	att-skill	100	301	20	12						0
rmap_mh2	aura	100	523	50	50																										aura	100	523	50	50																										aura	100	523	50	50																										0
rmap_mh2_boss	aura	100	523	50	50											aura	100	98	10	10	att-skill	100	301	20	16						aura	100	523	50	50											aura	100	98	10	10	att-skill	100	301	20	16						aura	100	523	50	50											aura	100	98	10	10	att-skill	100	301	20	16						0
rmap_mh3	aura	100	523	75	75																										aura	100	523	75	75																										aura	100	523	75	75																										0
rmap_mh3_boss	aura	100	523	75	75											aura	100	98	12	12	att-skill	100	301	20	20						aura	100	523	75	75											aura	100	98	12	12	att-skill	100	301	20	20						aura	100	523	75	75											aura	100	98	12	12	att-skill	100	301	20	20						0
rmap_mh4	aura	100	523	100	100																										aura	100	523	100	100																										aura	100	523	100	100																										0
rmap_mh4_boss	aura	100	523	100	100											aura	100	98	14	14	att-skill	100	301	20	24						aura	100	523	100	100											aura	100	98	14	14	att-skill	100	301	20	24						aura	100	523	100	100											aura	100	98	14	14	att-skill	100	301	20	24						0
rmap_mh5	aura	100	523	125	125																										aura	100	523	125	125																										aura	100	523	125	125																										0
rmap_mh5_boss	aura	100	523	125	125											aura	100	98	16	16	att-skill	100	301	20	28						aura	100	523	125	125											aura	100	98	16	16	att-skill	100	301	20	28						aura	100	523	125	125											aura	100	98	16	16	att-skill	100	301	20	28						0
rmap_mh6	aura	100	523	150	150																										aura	100	523	150	150																										aura	100	523	150	150																										0
rmap_mh6_boss	aura	100	523	150	150											aura	100	98	18	18	att-skill	100	301	20	32						aura	100	523	150	150											aura	100	98	18	18	att-skill	100	301	20	32						aura	100	523	150	150											aura	100	98	18	18	att-skill	100	301	20	32						0
rmap_mt1	aura	100	523	25	25																										aura	100	523	25	25																										aura	100	523	25	25																										0
rmap_mt1_boss	aura	100	523	25	25											aura	100	122	6	6	att-skill	100	321	20	12	gethit-skill	100	91	5	10	aura	100	523	25	25											aura	100	122	6	6	att-skill	100	321	20	12	gethit-skill	100	91	5	10	aura	100	523	25	25											aura	100	122	6	6	att-skill	100	321	20	12	gethit-skill	100	91	5	10	0
rmap_mt2	aura	100	523	50	50																										aura	100	523	50	50																										aura	100	523	50	50																										0
rmap_mt2_boss	aura	100	523	50	50											aura	100	122	8	8	att-skill	100	321	20	16	gethit-skill	100	91	5	14	aura	100	523	50	50											aura	100	122	8	8	att-skill	100	321	20	16	gethit-skill	100	91	5	14	aura	100	523	50	50											aura	100	122	8	8	att-skill	100	321	20	16	gethit-skill	100	91	5	14	0
rmap_mt3	aura	100	523	75	75																										aura	100	523	75	75																										aura	100	523	75	75																										0
rmap_mt3_boss	aura	100	523	75	75											aura	100	122	10	10	att-skill	100	321	20	20	gethit-skill	100	91	5	18	aura	100	523	75	75											aura	100	122	10	10	att-skill	100	321	20	20	gethit-skill	100	91	5	18	aura	100	523	75	75											aura	100	122	10	10	att-skill	100	321	20	20	gethit-skill	100	91	5	18	0
rmap_mt4	aura	100	523	100	100																										aura	100	523	100	100																										aura	100	523	100	100																										0
rmap_mt4_boss	aura	100	523	100	100											aura	100	122	12	12	att-skill	100	321	20	24	gethit-skill	100	91	5	22	aura	100	523	100	100											aura	100	122	12	12	att-skill	100	321	20	24	gethit-skill	100	91	5	22	aura	100	523	100	100											aura	100	122	12	12	att-skill	100	321	20	24	gethit-skill	100	91	5	22	0
rmap_mt5	aura	100	523	125	125																										aura	100	523	125	125																										aura	100	523	125	125																										0
rmap_mt5_boss	aura	100	523	125	125											aura	100	122	14	14	att-skill	100	321	20	28	gethit-skill	100	91	5	26	aura	100	523	125	125											aura	100	122	14	14	att-skill	100	321	20	28	gethit-skill	100	91	5	26	aura	100	523	125	125											aura	100	122	14	14	att-skill	100	321	20	28	gethit-skill	100	91	5	26	0
rmap_mt6	aura	100	523	150	150																										aura	100	523	150	150																										aura	100	523	150	150																										0
rmap_mt6_boss	aura	100	523	150	150											aura	100	122	16	16	att-skill	100	321	20	32	gethit-skill	100	91	5	30	aura	100	523	150	150											aura	100	122	16	16	att-skill	100	321	20	32	gethit-skill	100	91	5	30	aura	100	523	150	150											aura	100	122	16	16	att-skill	100	321	20	32	gethit-skill	100	91	5	30	0
rmap_me1	aura	100	523	25	25																										aura	100	523	25	25																										aura	100	523	25	25																										0
rmap_me1_boss	aura	100	523	25	25											aura	100	368	8	8	att-skill	100	51	20	12	gethit-skill	100	77	8	10	aura	100	523	25	25											aura	100	368	8	8	att-skill	100	51	20	12	gethit-skill	100	77	8	10	aura	100	523	25	25											aura	100	368	8	8	att-skill	100	51	20	12	gethit-skill	100	77	8	10	0
rmap_me2	aura	100	523	50	50																										aura	100	523	50	50																										aura	100	523	50	50																										0
rmap_me2_boss	aura	100	523	50	50											aura	100	368	10	10	att-skill	100	51	20	16	gethit-skill	100	77	8	14	aura	100	523	50	50											aura	100	368	10	10	att-skill	100	51	20	16	gethit-skill	100	77	8	14	aura	100	523	50	50											aura	100	368	10	10	att-skill	100	51	20	16	gethit-skill	100	77	8	14	0
rmap_me3	aura	100	523	75	75																										aura	100	523	75	75																										aura	100	523	75	75																										0
rmap_me3_boss	aura	100	523	75	75											aura	100	368	12	12	att-skill	100	51	20	20	gethit-skill	100	77	8	18	aura	100	523	75	75											aura	100	368	12	12	att-skill	100	51	20	20	gethit-skill	100	77	8	18	aura	100	523	75	75											aura	100	368	12	12	att-skill	100	51	20	20	gethit-skill	100	77	8	18	0
rmap_me4	aura	100	523	100	100																										aura	100	523	100	100																										aura	100	523	100	100																										0
rmap_me4_boss	aura	100	523	100	100											aura	100	368	14	14	att-skill	100	51	20	24	gethit-skill	100	77	8	22	aura	100	523	100	100											aura	100	368	14	14	att-skill	100	51	20	24	gethit-skill	100	77	8	22	aura	100	523	100	100											aura	100	368	14	14	att-skill	100	51	20	24	gethit-skill	100	77	8	22	0
rmap_me5	aura	100	523	125	125																										aura	100	523	125	125																										aura	100	523	125	125																										0
rmap_me5_boss	aura	100	523	125	125											aura	100	368	16	16	att-skill	100	51	20	28	gethit-skill	100	77	8	26	aura	100	523	125	125											aura	100	368	16	16	att-skill	100	51	20	28	gethit-skill	100	77	8	26	aura	100	523	125	125											aura	100	368	16	16	att-skill	100	51	20	28	gethit-skill	100	77	8	26	0
rmap_me6	aura	100	523	150	150																										aura	100	523	150	150																										aura	100	523	150	150																										0
rmap_me6_boss	aura	100	523	150	150											aura	100	368	18	18	att-skill	100	51	20	32	gethit-skill	100	77	8	30	aura	100	523	150	150											aura	100	368	18	18	att-skill	100	51	20	32	gethit-skill	100	77	8	30	aura	100	523	150	150											aura	100	368	18	18	att-skill	100	51	20	32	gethit-skill	100	77	8	30	0
rmap_mi1	aura	100	523	25	25																										aura	100	523	25	25																										aura	100	523	25	25																										0
rmap_mi1_boss	aura	100	523	25	25											aura	100	98	8	8	att-skill	100	56	15	12	gethit-skill	100	316	5	12	aura	100	523	25	25											aura	100	98	8	8	att-skill	100	56	15	12	gethit-skill	100	316	5	12	aura	100	523	25	25											aura	100	98	8	8	att-skill	100	56	15	12	gethit-skill	100	316	5	12	0
rmap_mi2	aura	100	523	50	50																										aura	100	523	50	50																										aura	100	523	50	50																										0
rmap_mi2_boss	aura	100	523	50	50											aura	100	98	10	10	att-skill	100	56	15	16	gethit-skill	100	316	5	16	aura	100	523	50	50											aura	100	98	10	10	att-skill	100	56	15	16	gethit-skill	100	316	5	16	aura	100	523	50	50											aura	100	98	10	10	att-skill	100	56	15	16	gethit-skill	100	316	5	16	0
rmap_mi3	aura	100	523	75	75																										aura	100	523	75	75																										aura	100	523	75	75																										0
rmap_mi3_boss	aura	100	523	75	75											aura	100	98	12	12	att-skill	100	56	15	20	gethit-skill	100	316	5	20	aura	100	523	75	75											aura	100	98	12	12	att-skill	100	56	15	20	gethit-skill	100	316	5	20	aura	100	523	75	75											aura	100	98	12	12	att-skill	100	56	15	20	gethit-skill	100	316	5	20	0
rmap_mi4	aura	100	523	100	100																										aura	100	523	100	100																										aura	100	523	100	100																										0
