Name	* Description	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of the Icicle	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	75		68				24	10	cold-min		2	3	cold-max		11	15	cold-len		125	125	dblu	belt	amul											0	0
of the Glacier	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	85		81				24	10	cold-min		4	5	cold-max		16	25	cold-len		150	150	dblu	belt	amul											0	0
of Frigidity	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	16		12				24	10	cold-min		1	1	cold-max		3	5	cold-len		50	50	dblu	jewl												0	0
of the Icicle	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	37		29				24	10	cold-min		2	3	cold-max		6	10	cold-len		75	75	dblu	jewl												0	0
of the Glacier	+# to Minimum Cold Damage & +# to Maximum Cold Damage & Cold Length # of Frames (25 Frames = 1 Second)	100	1	1	58		50				24	10	cold-min		4	5	cold-max		11	15	cold-len		100	100	dblu	jewl												0	0
of Flame	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	4	35	3				60	12	fire-min		1	1	fire-max		2	5						weap							wand	orb				0	0
of Fire	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	15	50	11				48	12	fire-min		1	4	fire-max		6	11						weap							wand	orb				0	0
of Burning	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	25	70	18				36	12	fire-min		5	9	fire-max		10	20					dred	weap							wand	orb				0	0
of Incineration	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	43		35				24	12	fire-min		10	20	fire-max		21	75					dred	weap							wand	orb				0	0
of Incineration	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	60		50				12	12	fire-min		40	60	fire-max		170	200					dred	weap							wand	orb				0	0
of Incineration	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	80		75				12	12	fire-min		75	100	fire-max		200	250					dred	weap							wand	orb				0	0
of Flame	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	40		30				24	12	fire-min		1	1	fire-max		2	5					dred	glov	ring	amul										0	0
of Passion	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	55		51				24	12	fire-min		1	3	fire-max		6	10					dred	glov	ring	amul										0	0
of Fire	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	65		62				24	12	fire-min		4	10	fire-max		11	30					dred	glov	ring	amul										0	0
of Burning	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	80		77				24	12	fire-min		11	25	fire-max		31	50					dred	glov	ring	amul										0	0
of Passion	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	15		11				24	12	fire-min		1	3	fire-max		6	10					dred	jewl												0	0
of Fire	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	36		28				24	12	fire-min		4	10	fire-max		11	30					dred	jewl												0	0
of Burning	+# to Minimum Fire Damage & +# to Maximum Fire Damage	100	1	1	57		49				24	12	fire-min		11	25	fire-max		31	50					dred	jewl												0	0
of Shock	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	4	35	3				60	13	ltng-min		1	1	ltng-max		6	8						weap							wand	orb				0	0
of Lightning	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	15	50	11				48	13	ltng-min		1	1	ltng-max		9	16						weap							wand	orb				0	0
of Thunder	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	25	70	18				36	13	ltng-min		1	1	ltng-max		17	40					dyel	weap							wand	orb				0	0
of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	34		26				24	13	ltng-min		1	6	ltng-max		41	120					dyel	weap							wand	orb				0	0
of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	50		49				12	13	ltng-min		1	12	ltng-max		250	300					dyel	weap							wand	orb				0	0
of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	75		68				12	13	ltng-min		1	20	ltng-max		300	350					dyel	weap							wand	orb				0	0
of Shock	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	50		37				24	13	ltng-min		1	1	ltng-max		11	23						boot	ring	amul										0	0
of Lightning	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	65		57				24	13	ltng-min		1	1	ltng-max		24	50					dyel	boot	ring	amul										0	0
of Thunder	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	75		70				24	13	ltng-min		1	1	ltng-max		51	75					dyel	boot	ring	amul										0	0
of Storms	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	86		80				24	13	ltng-min		1	1	ltng-max		76	100					dyel	boot	ring	amul										0	0
of Ennui	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	15		11				24	13	ltng-min		1	1	ltng-max		10	20					dyel	jewl												0	0
of Lightning	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	36		28				24	13	ltng-min		1	1	ltng-max		21	60					dyel	jewl												0	0
of Thunder	+# to Minimum Lightning Damage & +# to Maximum Lightning Damage	100	1	1	57		49				24	13	ltng-min		1	1	ltng-max		61	100					dyel	jewl												0	0
of Blight	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	5	35	3				60	16	dmg-pois	75	24	24										weap	circ						rod	orb				0	0
of Venom	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	15	50	11				48	16	dmg-pois	100	54	54										weap	circ						rod	orb				0	0
of Pestilence	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	25	70	18				36	16	dmg-pois	125	103	103									dgrn	weap	circ						rod	orb				0	0
of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	33		25				24	16	dmg-pois	150	171	171									dgrn	weap	circ						rod	orb				0	0
of Blight	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	45		33				24	16	dmg-pois	75	171	171										ring	amul											0	0
of Venom	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	65		55				12	16	dmg-pois	75	266	266										ring	amul											0	0
of Blight	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	85		72				12	16	dmg-pois	75	377	377										ring	amul											0	0
of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	1		1				24	16	dmg-pois	50	103	103									dgrn	jewl												0	0
of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	44		33				24	16	dmg-pois	50	206	206									dgrn	jewl												0	0
of Anthrax	+# to Minimum Poison Damage & +# to Maximum Poison Damage	100	1	1	77		66				24	16	dmg-pois	50	309	309									dgrn	jewl												0	0
of Warmth	Half Freeze Duration	100	1	1	10		7				48	11	half-freeze		1	1										shld	boot	glov	ring	amul	circ	orb						0	0
of Warmth	Cannot Be Frozen	100	1	1	77		69				24	11	nofreeze		1	1										shld	boot	glov	ring	amul	circ	orb						0	0
of Defiance	Poison Length Reduced by #%	100	1	1	44		39				24	29	res-pois-len		75	90									dred	tors	shld	amul	circ									0	0
of Amelioration	Poison Length Reduced by #%	100	1	1	25		18				36	29	res-pois-len		50	74										tors	shld	amul	circ									0	0
of Remedy	Poison Length Reduced by #%	100	1	1	18	50	13				36	29	res-pois-len		25	49										armo	ring	amul	circ									0	0
of Remedy	Poison Length Reduced by #%	100	1	1	1	25	1				36	29	res-pois-len		10	24										armo	ring	amul	circ									0	0
of the Leech	#% Life stolen per hit	100	1	1	6		4				84	27	lifesteal		4	5										weap							orb					0	0
of the Locust	#% Life stolen per hit	100	1	1	20		15				84	27	lifesteal		6	7									cred	weap							orb					0	0
of the Lamprey	#% Life stolen per hit	100	1	1	55		43				84	27	lifesteal		8	9									cred	mele							orb					0	0
of the Leech	#% Life stolen per hit	100	1	1	14		10				48	27	lifesteal		3	4										ring	circ											0	0
of the Locust	#% Life stolen per hit	100	1	1	47		35				48	27	lifesteal		5	6										ring	circ											0	0
of the Lamprey	#% Life stolen per hit	100	1	1	77		65				48	27	lifesteal		7	8									cred	ring	circ											0	0
of the Leech	#% Life stolen per hit	100	1	1	34		26				48	27	lifesteal		3	3									cred	glov												0	0
of the Leech	#% Life stolen per hit	100	1	1	24		20				24	27	lifesteal		2	3										amul												0	0
of the Locust	#% Life stolen per hit	100	1	1	57		45				24	27	lifesteal		4	5										amul												0	0
of the Lamprey	#% Life stolen per hit	100	1	1	85		73				24	27	lifesteal		6	6									cred	amul												0	0
of the Bat	#% Mana stolen per hit	100	1	1	7		4				84	28	manasteal		4	5										weap							orb					0	0
of the Wraith	#% Mana stolen per hit	100	1	1	21		16				84	28	manasteal		6	7									cred	weap												0	0
of the Vampire	#% Mana stolen per hit	100	1	1	56		48				84	28	manasteal		8	9									cred	mele												0	0
of the Bat	#% Mana stolen per hit	100	1	1	15		11				48	28	manasteal		3	4										amul	circ											0	0
of the Wraith	#% Mana stolen per hit	100	1	1	58		40				48	28	manasteal		5	6										amul	circ											0	0
of the Vampire	#% Mana stolen per hit	100	1	1	78		66				48	28	manasteal		7	8									cred	amul	circ											0	0
of the Bat	#% Mana stolen per hit	100	1	1	35		27				48	28	manasteal		3	3									cred	glov												0	0
of the Bat	#% Mana stolen per hit	100	1	1	25		21				24	28	manasteal		2	3										ring												0	0
of the Wraith	#% Mana stolen per hit	100	1	1	58		46				24	28	manasteal		4	5										ring												0	0
of the Vampire	#% Mana stolen per hit	100	1	1	86		74				24	28	manasteal		6	8									cred	ring												0	0
of the Lich1	#% Mana stolen per hit & #% Life stolen per hit	100	1	1	44		38				12	60	manasteal		3	5	lifesteal		5	7						ring	amul											0	0
of the Lich1	#% Mana stolen per hit & #% Life stolen per hit	100	1	1	66		60				12	60	manasteal		6	7	lifesteal		8	9						ring	amul											0	0
of the Lich1	#% Mana stolen per hit & #% Life stolen per hit	100	1	1	87		84				12	60	manasteal		8	9	lifesteal		10	12						ring	amul											0	0
of Health	Damage Reduced by #	100	1	1	7	20	5				48	1	red-dmg		1	1										tors	shld	ring	amul	circ								0	0
of Protection	Damage Reduced by #	100	1	1	18	40	13				48	1	red-dmg		2	2										ring	amul	circ										0	0
of Absorption	Damage Reduced by #	100	1	1	26	50	19				48	1	red-dmg		3	5										amul	circ	ring										0	0
of Life	Damage Reduced by #	100	1	1	35		26				48	1	red-dmg		6	10									dblu	amul	circ	ring										0	0
of Life Everlasting	Damage Reduced by #	100	1	1	45		37				48	1	red-dmg		10	25										amul	circ	ring										0	0
of Protection	Damage Reduced by #	100	1	1	24	25	18				48	1	red-dmg		2	3										tors	shld	circ										0	0
of Absorption	Damage Reduced by #	100	1	1	32	55	24				48	1	red-dmg		4	5										tors	shld	circ										0	0
of Life	Damage Reduced by #	100	1	1	41		33				48	1	red-dmg		6	7										tors	shld	circ										0	0
of Anima	Damage Reduced by #	100	1	1	51		43				48	1	red-dmg		8	15										tors	shld	circ										0	0
of Warding	Magic Damage Reduced by #	100	1	1	7	25	5				48	2	red-mag		1	2										tors	shld	ring	amul	orb	circ							0	0
of the Sentinel	Magic Damage Reduced by #	100	1	1	18		12				48	2	red-mag		3	4										ring	amul	orb	circ									0	0
of Guarding	Magic Damage Reduced by #	100	1	1	26		19				48	2	red-mag		5	6										amul	orb	circ	ring									0	0
of Negation	Magic Damage Reduced by #	100	1	1	42		35				48	2	red-mag		7	8										amul	orb	circ	ring									0	0
of the Sentinel	Magic Damage Reduced by #	100	1	1	24	40	18				48	2	red-mag		2	4										tors	shld	circ										0	0
of Guarding	Magic Damage Reduced by #	100	1	1	32		24				48	2	red-mag		5	8										tors	shld	circ										0	0
of Negation	Magic Damage Reduced by #	100	1	1	41		33				48	2	red-mag		9	15										tors	shld	circ										0	0
of Warding	Magic Resist +#%	100	1	1	26	37	19				48	2	res-mag		2	5										tors	shld	ring	amul	orb	circ							0	0
of the Sentinel	Magic Resist +#%	100	1	1	42		31				48	2	res-mag		6	9										ring	amul	orb	circ	tors	shld							0	0
of Guarding	Magic Resist +#%	100	1	1	66		53				48	2	res-mag		10	13										amul	orb	circ	tors	shld								0	0
of Negation	Magic Resist +#%	100	1	1	84		72				48	2	res-mag		14	20										shld	orb	circ	tors									0	0
of Coolness	Fire Absorb #%	100	1	1	11	35	8				12	3	abs-fire		2	3										tors	shld	boot	circ									0	0
of Incombustibility	Fire Absorb #%	100	1	1	19	70	17				12	3	abs-fire		4	6										tors	shld	boot	circ									0	0
of Amianthus	Fire Absorb #%	100	1	1	35		29				12	3	abs-fire		7	9										tors	shld	boot	circ									0	0
of Fire Quenching	Fire Absorb #%	100	1	1	50		47				12	3	abs-fire		10	15										tors	shld	boot	circ									0	0
of Coolness	Fire Absorb #%	100	1	1	13		9				12	3	abs-fire		1	2										ring	amul	orb	circ									0	0
of Incombustibility	Fire Absorb #%	100	1	1	22		16				12	3	abs-fire		3	4										amul	orb	circ	ring									0	0
of Amianthus	Fire Absorb #%	100	1	1	33		25				12	3	abs-fire		5	6										amul	orb	circ	ring									0	0
of Fire Quenching	Fire Absorb #%	100	1	1	46		38				12	3	abs-fire		8	10										amul	orb	circ	ring									0	0
of Faith	Fire Absorb #%	100	1	1	23		17				12	3	abs-fire		2	3										jewl												0	0
of Faith	Fire Absorb #%	100	1	1	56		50				12	3	abs-fire		4	7										jewl												0	0
of Fire Coalescence1	+# Fire Absorb	100	1	1	33		29				12	3	abs-fire%		3	7										weap	amul	ring	shld									0	0
of Fire Coalescence1	+# Fire Absorb	100	1	1	66		54				12	3	abs-fire%		8	15										weap	amul	ring	shld									0	0
of Fire Coalescence1	+# Fire Absorb	100	1	1	87		80				12	3	abs-fire%		16	25										weap	amul	ring	shld									0	0
of Resistance	Lightning Absorb #%	100	1	1	11	35	8				12	3	abs-ltng		2	3										tors	shld	boot	circ									0	0
of Insulation	Lightning Absorb #%	100	1	1	19	70	14				12	3	abs-ltng		4	6										tors	shld	boot	circ									0	0
of Grounding	Lightning Absorb #%	100	1	1	35		29				12	3	abs-ltng		7	9										tors	shld	boot	circ									0	0
of the Dynamo	Lightning Absorb #%	100	1	1	50		47				12	3	abs-ltng		10	15										tors	shld	boot	circ									0	0
of Resistance	Lightning Absorb #%	100	1	1	13		9				12	3	abs-ltng		1	2										ring	amul	orb	circ									0	0
of Insulation	Lightning Absorb #%	100	1	1	22		16				12	3	abs-ltng		3	4										amul	orb	circ	ring									0	0
of Grounding	Lightning Absorb #%	100	1	1	33		25				12	3	abs-ltng		5	6										amul	orb	circ	ring									0	0
of the Dynamo	Lightning Absorb #%	100	1	1	46		38				12	3	abs-ltng		8	10										amul	orb	circ	ring									0	0
of Stoicism	Lightning Absorb #%	100	1	1	22		16				12	3	abs-ltng		2	3										jewl												0	0
of Stoicism	Lightning Absorb #%	100	1	1	56		50				12	3	abs-ltng		4	7										jewl												0	0
of Lightning Coalescence1	+# Lightning Absorb	100	1	1	33		29				12	3	abs-ltng%		3	7										weap	amul	ring	shld									0	0
of Lightning Coalescence1	+# Lightning Absorb	100	1	1	66		54				12	3	abs-ltng%		8	15										weap	amul	ring	shld									0	0
of Lightning Coalescence1	+# Lightning Absorb	100	1	1	87		80				12	3	abs-ltng%		16	25										weap	amul	ring	shld									0	0
of Warming	Cold Absorb #%	100	1	1	11	35	8				12	3	abs-cold		2	3										tors	shld	boot	circ									0	0
of Thawing	Cold Absorb #%	100	1	1	19	70	14				12	3	abs-cold		4	6										tors	shld	boot	circ									0	0
of the Dunes	Cold Absorb #%	100	1	1	35		29				12	3	abs-cold		7	9										tors	shld	boot	circ									0	0
of the Sirocco	Cold Absorb #%	100	1	1	50		47				12	3	abs-cold		10	15										tors	shld	boot	circ									0	0
of Warming	Cold Absorb #%	100	1	1	13		9				12	3	abs-cold		1	2										ring	amul	orb	circ									0	0
of Thawing	Cold Absorb #%	100	1	1	22		16				12	3	abs-cold		3	4										amul	orb	circ	ring									0	0
of the Dunes	Cold Absorb #%	100	1	1	33		25				12	3	abs-cold		5	6										amul	orb	circ	ring									0	0
of the Sirocco	Cold Absorb #%	100	1	1	46		38				12	3	abs-cold		8	10										amul	orb	circ	ring									0	0
of Desire	Cold Absorb #%	100	1	1	23		17				12	3	abs-cold		2	3										jewl												0	0
of Desire	Cold Absorb #%	100	1	1	56		50				12	3	abs-cold		4	7										jewl												0	0
of Chilling Coalescence1	+# Cold Absorb	100	1	1	33		29				12	3	abs-cold%		3	7										weap	amul	ring	shld									0	0
of Chilling Coalescence1	+# Cold Absorb	100	1	1	66		54				12	3	abs-cold%		8	15										weap	amul	ring	shld									0	0
of Chilling Coalescence1	+# Cold Absorb	100	1	1	87		80				12	3	abs-cold%		16	25										weap	amul	ring	shld									0	0
of the Yeti	Cold Resist +#% (Based on Character Level)	100	1	1	1	20	1				12	43	res-cold/lvl	4											lblu	armo	ring	amul										0	0
of the Yeti	Cold Resist +#% (Based on Character Level)	100	1	1	20		1				12	43	res-cold/lvl	6											lblu	armo	ring	amul										0	0
of the Phoenix	Fire Resist +#% (Based on Character Level)	100	1	1	1	20	1				12	43	res-fire/lvl	4											cred	armo	ring	amul										0	0
of the Phoenix	Fire Resist +#% (Based on Character Level)	100	1	1	20		1				12	43	res-fire/lvl	6											cred	armo	ring	amul										0	0
of the Efreeti	Lightning Resist +#% (Based on Character Level)	100	1	1	1	20	1				12	43	res-ltng/lvl	4											cblu	armo	ring	amul										0	0
of the Efreeti	Lightning Resist +#% (Based on Character Level)	100	1	1	20		1				12	43	res-ltng/lvl	6											cblu	armo	ring	amul										0	0
of the Cobra	Poison Resist +#% (Based on Character Level)	100	1	1	1	20	1				12	43	res-pois/lvl	4											dyel	armo	ring	amul										0	0
of the Cobra	Poison Resist +#% (Based on Character Level)	100	1	1	20		1				12	43	res-pois/lvl	6											dyel	armo	ring	amul										0	0
of the Elements	Cold Resist +#% (Based on Character Level) & Fire Resist +#% (Based on Character Level) & Lightning Resist +#% (Based on Character Level)	100	1	1	1		1				24	43	res-cold/lvl	2			res-fire/lvl	2			res-ltng/lvl	2			dgld	circ	shld											0	0
of the Elements	Cold Resist +#% (Based on Character Level) & Fire Resist +#% (Based on Character Level) & Lightning Resist +#% (Based on Character Level)	100	1	1	44		41				24	43	res-cold/lvl	4			res-fire/lvl	4			res-ltng/lvl	4			dgld	circ	shld											0	0
of the Elements	Cold Resist +#% (Based on Character Level) & Fire Resist +#% (Based on Character Level) & Lightning Resist +#% (Based on Character Level)	100	1	1	77		71				24	43	res-cold/lvl	5			res-fire/lvl	5			res-ltng/lvl	5			dgld	circ	shld											0	0
of Winter2	+#% to Maximum Cold Resist	100	1	1	54		45				24	67	res-cold-max		1	10										armo	shld	ring	amul									0	0
of Summer2	+#% to Maximum Fire Resist	100	1	1	54		45				24	67	res-fire-max		1	10										armo	shld	ring	amul									0	0
of Spring2	+#% to Maximum Lightning Resist	100	1	1	54		45				24	67	res-ltng-max		1	10										armo	shld	ring	amul									0	0
of Autumn2	+#% to Maximum Poison Resist	100	1	1	54		45				24	67	res-pois-max		1	10										armo	shld	ring	amul									0	0
of the Four Seasons2	#% All Maximum Resistances	100	1	1	68		58				24	67	res-all-max		1	3										armo	shld	ring	amul									0	0
of the Four Seasons2	#% All Maximum Resistances	100	1	1	87		79				12	67	res-all-max		4	6										armo	shld	ring	amul									0	0
of Dexterity	+# to Dexterity	100	1	1	1	20	1				48	17	dex		1	2										amul	miss	circ										0	0
of Skill	+# to Dexterity	100	1	1	11	40	8				36	17	dex		3	5										amul	miss	circ										0	0
of Accuracy	+# to Dexterity	100	1	1	27	55	20				36	17	dex		6	9										amul	miss	circ										0	0
of Precision	+# to Dexterity	100	1	1	43	75	35				36	17	dex		10	15										amul	miss	circ										0	0
of Perfection	+# to Dexterity	100	1	1	59		51				36	17	dex		16	20									dgld	amul	miss	circ										0	0
of Nirvana	+# to Dexterity	100	1	1	72		64				36	17	dex		21	30									dgld	amul	miss	circ										0	0
of Dexterity	+# to Dexterity	100	1	1	6	30	4				48	17	dex		1	2										ring	glov											0	0
of Skill	+# to Dexterity	100	1	1	22	50	16				36	17	dex		3	5										ring	glov											0	0
