skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auraevent4	auraeventfunc4	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	requirespettype	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	requiresweapon	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	periodicClearAura	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	calc7	*calc7desc	calc8	*calc8desc	calc9	*calc9desc	calc10	*calc10desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	Param13	*Param13Description	Param14	*Param14Description	Param15	*Param15Description	Param16	*Param16Description	Param17	*Param17Description	Param18	*Param18Description	Param19	*Param19Description	Param20	*Param20Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Cold Arrow	11	ama	cold arrow	4	8													coldarrow	coldarrow																																																																																												11	17						coldarrow	coldarrow											1	4		rng			miss										A1	A1	xx				1													1			1										6	25														1	1				1	1	5	24	3	1	1											par1+blvl/par2	Projectile Count	par3	Missile Activation Frame	2	# of missiles that can trigger item modifier events															1	Base Missile Count	3	Base Levels Per Additional	1	Missile Activation Frame									10	Damage synergy																									1	10	9						8	128														cold	6	2	4	8	23	37	8	2	4	8	24	38	(skill('Freezing Arrow'.blvl)+skill('Glacial Orb Arrow'.blvl))*par8	25	0	25	0				50	1000	0
Multiple Shot	12	ama	multiple shot	4	8													multipleshotarrow	multipleshotbolt																																																																																												11	17						multipleshotarrow	multipleshotbolt											1	7		rng			miss										A1	A1	xx				1													1			1										6	25					Magic Arrow									1	1				1	1	7	8	1	1	1											min(ln12,24)	Projectile Count	par3	Missile Activation Frame	2	# of missiles that can trigger item modifier events			skill('Guided Arrow'.blvl) * par4	% Damage Synergy											2	Base Missile Count	1	Levels Per Additional	1	Missile Activation Frame	12	Damage % per level																																	1								8	96																																	5		50	1000	0
Dodge	13	ama	dodge																																													dodge			passive_dodge	((lvl<25)?(par1+lvl):(par4+lvl/par3))*(blvl*par2+100)/100	passive_avoid	pst1																																											amazon_dodge_1																																	1	0		h2h													S1	S1	xx																														6	25														0	0					0	8	0	0	1	1								1																							5	Base %	2	Base Point % Multiplier	3	Soft Point Growth Divisor Past 25	22	DR Equalizer (3div=22,2div=18)							2	Anim Mode (0 = enable uninterruptable Anim | 1 = disable Anim | 2 = enable interruptable anim)																									1								8																																				50	1000	0
Toxic Whirl	14	ama	toxic whirl	6	11													toxic_whirl_spawn	toxic_whirl_spawn	toxic_whirl_spawn																																																																																												19						toxic_whirl_spawn	toxic_whirl_spawn	toxic_whirl_spawn										1	4		h2h			spea	jave									A1	A1	xx				1		1	1								1		1			1										12	25														1	1				1	1	6	16	1	1	1											1	Spawner																																	14	Damage synergy																									1	20	12						4	128														pois	4	4	6	8	24	36	6	5	8	11	34	44	(skill('Poison Javelin'.blvl)+skill('Plague Javelin'.blvl))*par8	75							50	1000	0
Poison Javelin	15	ama	poison javelin	4											poisonjav																																																																																		amazon_cast_poison		1												11						poisonjav													1	2		rng			jave										TH	TH	xx				1													1			1										6	25														1	1			1	1	1	6	3	1	1	1																																													7	Damage synergy																									1	15	12						4	128														pois	3	1	4	8	16	32	4	4	7	12	24	48	(skill('Plague Javelin'.blvl)+skill('Toxic Whirl'.blvl))*par8	50							50	1000	0
Exploding Arrow	16	ama	exploding arrow	4	8													explodingarrow	explodingarrow	explodingarrow																																																																																											11	17						explodingarrow	explodingarrow											1	5		rng			miss										A1	A1	xx				1													1			1										12	25					Fire Arrow									1	1				1	1	6	20	1	1	1											par1+blvl/par2	Projectile Count	par3	Missile Activation Frame	2	# of missiles that can trigger item modifier events															1	Base Missile Count	10	Base Levels Per Additional	1	Missile Activation Frame									8	Damage synergy																									1	20	9						8	128														fire	5	6	12	14	28	32	13	7	13	15	30	35	(skill('Fire Arrow'.blvl)+skill('Meteoric Arrow'.blvl))*par8								50	1000	0
Slow Missiles	17	ama	slow missiles		6																		50563		slowmissiles	ln34	ln56	skill_handofathena	100-dm12	skill_missile_damage_scale	100-dm78																																																																		amazon_handofathena											cast_slowmissiles																						1	8		none													SC	SC	xx					4															6							amazon_handofathena	cast_slowmissiles		12	25					Inner Sight									0	1				1	1	7	10	0	1	1																															25	% Velocity of missiles Min	75	% Velocity of missiles Max	300	Duration baseline	150	Duration per level	27	Radius baseline	0	Radius per level	0	Missile Damage Reduction Min	40	Missile Damage Reduction Max																									1								8																																				50	1000	0
Elemental Covenant	18	ama	elemental covenant		65																			elementalcovenant				maxfireresist	max(par6+blvl,min(par5,par5-lvl+blvl))	maxlightresist	ast1	maxcoldresist	ast1	maxpoisonresist	ast1																passive_cold_pierce	((lvl<25)?(par1+lvl):(par4+lvl/par3))*(blvl*par2+100)/100	passive_fire_pierce	pst1	passive_ltng_pierce	pst1	passive_pois_pierce	pst1																																																																							1	1	9		none															xx																														30	25														0	1				1	1	8	0	0	1	1	1		50																												5	Base %	2	Base Point % Multiplier	2	Soft Point Growth Divisor Past 25	18	DR Equalizer (3div=22,2div=18)	-10	Penalty Base Min	-35	Penalty Base Max																													1								8																																				50	1000	0
Impale	19	ama	impale	7	2										impalethrust										impale	300		velocitypercent	-dm78	attackrate	0	other_animrate	0																																																																amazon_impale_1		1	1											55						impalethrust													1	6		h2h			spea										A2	A2	xx			1	1		1	1								1		1			1										18	25					Jab									1	1				1	1	8	3	0	1	1											ln12+(skill('Jab'.blvl)+skill('Fend'.blvl))*par6	Damage %	0	Durability loss chance %	0	Durability loss amount	0	% Damage Dealt as Elemental (Used only if there is an Etype)													70	Damage % baseline	10	Damage % per level							6	Damage Synergy	0	Slow % Min	30	Slow % Max	30	Attack Speed %																							1	20	15						8	128	1	1	2	4	6	12	2	1	2	5	6	12	(skill('Jab'.blvl)+skill('Fend'.blvl))*par6																						50	1000	0
Lightning Bolt	20	ama	lightning bolt	4	8													lightningjav	lightningjav	lightningjav																																																																																											11	17						lightningjav	lightningjav											1	6		rng			jave										TH	TH	xx																				1										12	25														1	1				1	1	6	24	1	1	1											par1+(skill('Lightning Fury'.blvl)==par2)+(skill('Charged Strike'.blvl)==par2)	Projectile Count	par3	Frame	1	Triggering															1	Base Missile Count	25	Additional Missile Synergy Threshhold	1	Missile Activation Frame									2	Damage synergy																									1	25	11						8	96														ltng	1	0	0	0	0	0	40	12	18	28	48	88	(skill('Lightning Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl))*par8								50	1000	0
Freezing Arrow	21	ama	freezing arrow	4	8													freezingarrow	freezingarrow	freezingarrow																																																																																											11	17						freezingarrow	freezingarrow											1	7		rng			miss										A1	A1	xx				1											1		1			1										18	25					Cold Arrow									1	1				1	1	6	36	1	1	1											par1+blvl/par2	Projectile Count	par3	Frame	1	Triggering															1	Base Missile Count	10	Base Levels Per Additional	1	Missile Activation Frame									9	Damage synergy																									1	40	9						8	128														cold	40	10	15	20	25	30	50	10	15	20	25	30	(skill('Cold Arrow'.blvl)+skill('Glacial Orb Arrow'.blvl))*par8	27	0	8	0				50	1000	0
Guided Arrow	22	ama	guided arrow	4	10													guidedarrow	guidedarrow	guidedarrow																																																																																											11	18						guidedarrow	guidedarrow	guidedarrow										1	4		rng			miss										A1	A1	xx				1																1										18	25					Multiple Shot									1	1				1	1	6	32	-1	1	1											ln34 + (skill('Multiple Shot'.blvl)*par8)	Damage %																							0	Damage % baseline	7	Damage % per level							12	Damage synergy																									1								8	128																																			50	1000	0
Penetrate	23	ama	penetrate																																													penetrate			item_tohit_percent	ln12																																																																														1	1		rng			spea	miss	jave										xx																														12	25					Critical Strike									0	0					0	8	0	0	1	1								1																							35	% Chance baseline	10	% Chance per level																																					1								8																																				50	1000	0
Charged Strike	24	ama	charged strike	6	11													chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																																												19						chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h			spea	jave									A1	A1	xx				1		1	1								1		1			1										30	25					Lightning Strike									1	1				1	1	6	16	1	1	1											min(par1+(lvl/par2), 24)	# of Bolt Missiles created					0	% Damage Dealt as Elemental (Used only if there is an Etype)													3	Base Missile Count	5	Levels per 1 missile											14	Damage synergy																									1	20	11						8	128														ltng	1	0	0	0	0	0	30	12	16	20	24	28	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Lightning Fury'.blvl))*par8								50	1000	0
Plague Javelin	25	ama	plague javelin	4											plaguejavelin																																																																																		amazon_cast_poison		1												11						plaguejavelin													1	3		rng			jave										TH	TH	xx				1													1			1										18	25					Poison Javelin							25		1	1			1	1	1	7	14	1	1	1																																													6	Damage synergy																									1	20	9						3	128														pois	12	6	12	20	45	60	18	8	16	26	55	80	(skill('Poison Javelin'.blvl)+skill('Toxic Whirl'.blvl))*par8	150							50	1000	0
Strafe	26	ama	strafe	8	12													strafearrow	strafebolt								par5																																																																						amazon_dodge_1					paladin_charge									13	20						multipleshotarrow	multipleshotbolt											1	0		rng			miss										A1	A1	xx				1													1													24	25					Guided Arrow									1	1				1	1	8	11	0		1											min(par3 + lvl - 1, par4)	Minimum # of Missiles created	ln12+(skill('Guided Arrow'.blvl)*par8)+(skill('Multiple Shot'.blvl)*par9)	Damage %	2+lvl/4	Maximum # of Missiles created															5	Damage % baseline	5	Damage % per level	4	# of shots fired Min (+1 per level)	10	# of shots fired Max	35	Radius	50	% Anim frame rollback			10	Damage synergy	5	Damage Synergy																							1	25	13						8	128														mag	1	2	3	5	22	36	3	2	3	6	24	38	(skill('Magic Arrow'.blvl))*par9								50	1000	0
Meteoric Arrow	27	ama	meteoric arrow	4											meteoricarrow												ln12																																																																																				11						meteoricarrow													1	2		rng			miss										A1	A1	xx				1											1		1			1										24	25					Exploding Arrow									1	1				1	1	7	9	1	1	1																															6	Explosion Radius baseline	0	Explosion Radius per level	75	Duration of ground fire baseline	0	Duration of ground fire per level							8	Damage synergy																									1	35	8						8	128														fire	5	6	12	14	28	32	13	7	13	15	30	35	(skill('Fire Arrow'.blvl)+skill('Exploding Arrow'.blvl))*par8								50	1000	0
Titans Covenant	28	ama	titans covenant		65																			titanscovenant				item_fastermovevelocity	max(par2+blvl,min(par1,par1-lvl+blvl))	item_fasterattackrate	ast1	damageresist	max(par6,min(par7,par7-lvl+blvl))																		pl_mindamage_percent	par3+blvl+((lvl-blvl)/par4)	pl_maxdamage_percent	pst1	item_crushingblow	(blvl/par5)+((lvl-blvl)/par5)																																																																									1	1	9		none															xx																														30	25														0	1				1	1	8	0	0	1	1	1		50																												-25	FRW IAS Min Penalty	-50	FRW IAS Max Penalty	5	Damage % Base	2	lvl per 1% Damage	4	CB level divisor	-10	PDR Penalty Min	-25	PDR Penalty Max																											1								8																																				50	1000	0
Evade	29	ama	evade																																													evade			passive_evade	((lvl<25)?(par1+lvl):(par4+lvl/par3))*(blvl*par2+100)/100																																													block_arrow_1	amazon_dodge_1																																1	0		h2h													S1	S1	xx																														24	25					Dodge									0	0					0	8	0	0	1	1								1																							5	Base %	2	Base Point % Multiplier	3	Soft Point Growth Divisor Past 25	22	DR Equalizer (3div=22,2div=18)																																	1								8																																				50	1000	0
Fend	30	ama	fend	39	11													fend_spawn	fend_spawn	fend_spawn				slam_state		clc2	par7	damagepercent	clc5	item_armor_percent	ln56	toblock	0-255																																																																	amazon_jab_1	1													19						fend_spawn	fend_spawn	fend_spawn										1	4		h2h			spea	jave									A1	A1	xx				1		1	1								1		1			1										30	25					Impale									1	1				1	1	8	5	0		1											par1	# Missiles	par2	Duration			0	% Damage Dealt as Elemental (Used only if there is an Etype)	ln34+(skill('Jab'.blvl)+skill('Impale'.blvl))*par8	Damage Scaling plus Synergy											1	# Spawner	25	Damage State Duration (Based on Missile Life)	35	Damage % baseline	5	Damage % per level	15	Defence %	1	Defence % per level	6	Seek Range	4	Damage Synergy																									1	50	10						8	128	1	1	2	4	6	12	2	1	2	5	6	12	(skill('Jab'.blvl)+skill('Impale'.blvl))*par8																						50	1000	0
Glacial Orb Arrow	31	ama	glacial orb arrow	4											glacialorbarrow																																																																																																11						glacialorbarrow													1	7		rng			miss										A1	A1	xx				1											1		1			1										30	25					Freezing Arrow									1	1				1	1	6	36	1	1	1																																													9	Damage synergy																									1	40	9						8	128														cold	30	15	20	25	30	35	40	16	21	26	31	36	(skill('Cold Arrow'.blvl)+skill('Freezing Arrow'.blvl))*par8	100							50	1000	0
Valkyrie	32	ama	valkyrie		16																							strength	lvl * par2	dexterity	lvl * par4	fireresist	min(blvl+lvl, 85)	lightresist	min(blvl+lvl, 85)	coldresist	min(blvl+lvl, 85)	poisonresist	min(blvl+lvl, 85)												item_armor_percent	par3 * (lvl - 1)	tohit	toht	item_pierce_cold_immunity	stat('item_pierce_cold_immunity'.accr)	item_pierce_fire_immunity	stat('item_pierce_fire_immunity'.accr)	item_pierce_light_immunity	stat('item_pierce_light_immunity'.accr)	item_pierce_poison_immunity	stat('item_pierce_poison_immunity'.accr)	item_pierce_damage_immunity	stat('item_pierce_damage_immunity'.accr)															valkyrie	valkyrie	1		NU	Dodge	skill('Dodge'.blvl)	Evade	skill('Evade'.blvl)	Critical Strike	skill('Critical Strike'.blvl)								amazon_valkyrie_cast																																	1	6		none													SC	SC	xx					4															1										30	25					Slow Missiles	Evade						15		0	1				1	1	8	25	1	1	1											par1*(lvl-1)+blvl*par8	HP %	ln56	Valkyrie Item Level																	20	HP % per level	25	Strength per level	10	Armor % per level	12	Dexterity per level	25	Valkyrie Item Level baseline	3	Valkyrie Item Level per level	2	Resistance % per level	20	HP % synergy																									1			40*lvl+40*skill('Penetrate'.blvl)					8																																				50	1000	0
Pierce	33	ama	pierce																																													pierce			skill_pierce	((lvl<25)?(par1+lvl):(par4+lvl/par3))*(blvl*par2+100)/100																																																																														1	0		rng			miss												xx																														24	25					Penetrate									0	0					0	8	0	0	1	1								1																							5	Base %	2	Base Point % Multiplier	2	Soft Point Growth Divisor Past 25	18	DR Equalizer (3div=22,2div=18)																																	1								8																																				50	1000	0
Lightning Strike	34	ama	lightning strike	10	14													lightningstrike	lightningstrike	lightningstrike							par1																																																																																					  						lightningstrike	lightningstrike											1	8		h2h			spea	jave									A1	A1	xx				1		1	1								1		1			1										24	25														1	1				1	1	8	9	0	1	1											par1	Range of Bolt Missiles	par3+(lvl/par4)	# of target jump hits			0	% Damage Dealt as Elemental (Used only if there is an Etype)													22	Radius of jump to next target			2	# of target jump hits baseline	5	# of target jump hits per level							12	Damage synergy																									1	15	10						8	128														ltng	1	0	0	0	0	0	25	10	15	20	27	35	(skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Lightning Fury'.blvl)) * par8								50	1000	0
Lightning Fury	35	ama	lightning fury	4											lightningfury								42371				par3																																																																																				11						lightningfury													1	8		rng			jave										TH	TH	xx																	1			1										30	25					Lightning Bolt									1	1				1	1	7	20	1	1	1											min(par1+(lvl/par2), 24)	# of furylightning Missiles created																			3	Base Missile Count	4	Levels per 1 missile	12	Target Search Radius									1	Damage synergy																									1	15	10						8	128														ltng	1	0	0	0	0	0	40	20	30	40	50	50	(skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Lightning Strike'.blvl)) * par8								50	1000	0
Fire Bolt	36	sor	fire bolt		8													firebolt																																																																															sorceress_cast_fire											fire_cast_1				17						firebolt	firebolt											1	2		none													SC	SC	xx																				1							sorceress_cast_fire			1	25														1	1				1	1	7	5	0	1	1											min(1+(skill('Fire Bolt'.blvl)/par4), par3)	# of Missiles created	par2	Missile Activation Frame	0	# of missiles that can trigger item modifier events															2	# of Missiles created baseline	0	Missile Activation Frame	5	Maximum Projectile #	5	Base Levels for 1 Projectile							14	Damage synergy																									1								7															fire	6	3	4	8	18	54	12	3	6	10	20	56	(skill('Fire Ball'.blvl)+skill('Meteor'.blvl))*par8						5		50	1000	0
Warmth	37	sor	warmth																																													warmth			manarecoverybonus	ln12	item_healafterkill	blvl																																																																												1	0		none													SC	SC	xx																														1	25														0	0					0	8	0	0	1	1								1																							15	Mana Recovery % baseline	15	Mana Recovery % per level																																					1								8															fire																					50	1000	0
Charged Bolt	38	sor	charged bolt		17													chargedbolt	chargedbolt	chargedbolt																																																																													sorceress_cast_lightning											light_cast_1				23						chargedbolt												1	1		none													SC	SC	xx																				1							sorceress_cast_lightning			1	25														1	1				1	1	5	24	4	1	1											min(24,ln12)	# of Bolt Missiles created																			3	# of Bolt Missiles created baseline	1	# of Bolt Missiles created per level											6	Damage synergy																									1								7															ltng	4	1	2	3	8	10	8	1	2	3	8	10	(skill('Lightning'.blvl)+skill('Chain Lightning'.blvl))*par8								50	1000	0
