Name	Level	Rooms	Rooms(N)	Rooms(H)	SizeX	SizeY	Merge
Labyrinth 12	150	4	6	8	40	40	500
Labyrinth 13	151	4	6	8	40	40	500
Labyrinth 16	154	12	18	24	12	12	500
Labyrinth 17	155	12	18	24	12	12	500
Labyrinth 18	156	12	18	24	12	12	500
Labyrinth 19	157	12	18	24	12	12	500
Labyrinth 21	159	12	18	24	16	16	500
Labyrinth 22	161	12	18	24	16	16	500
Labyrinth 23	162	12	18	24	16	16	500
Labyrinth 24	164	12	18	24	16	16	500
RMAP dungeon T1	166	6	10	14	14	14	500
RMAP dungeon T2	168	10	14	18	14	14	500
RMAP dungeon T3	170	14	18	22	14	14	500
RMAP dungeon T4	172	18	22	26	14	14	500
RMAP dungeon T5	174	22	26	30	14	14	500
RMAP dungeon T6	176	26	30	34	14	14	500
RMAP anguish T1	178	4	6	8	40	40	500
RMAP anguish T2	180	8	10	12	40	40	500
RMAP anguish T3	182	12	14	16	40	40	500
RMAP anguish T4	184	16	18	20	40	40	500
RMAP anguish T5	186	20	22	24	40	40	500
RMAP anguish T6	188	24	26	28	40	40	500
RMAP catacombs T1	190	12	18	24	12	12	500
RMAP catacombs T2	192	16	22	28	12	12	500
RMAP catacombs T3	194	20	26	32	12	12	500
RMAP catacombs T4	196	24	30	36	12	12	500
RMAP catacombs T5	198	28	34	40	12	12	500
RMAP catacombs T6	200	32	38	44	12	12	500
RMAP frozen T1	202	12	18	24	16	16	500
RMAP frozen T2	204	16	22	28	16	16	500
RMAP frozen T3	206	20	26	32	16	16	500
RMAP frozen T4	208	24	30	36	16	16	500
RMAP frozen T5	210	28	34	40	16	16	500
RMAP frozen T6	212	32	38	44	16	16	500
RMAP worldstone T1	214	12	18	24	16	16	500
RMAP worldstone T2	216	16	22	28	16	16	500
RMAP worldstone T3	218	20	26	32	16	16	500
RMAP worldstone T4	220	24	30	36	16	16	500
RMAP worldstone T5	222	28	34	40	16	16	500
RMAP worldstone T6	224	32	38	44	16	16	500
