Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC Desecrated	TC(N)	TC(N) Desecrated	TC(H)	TC(H) Desecrated	*eol
Dark Elder	Dark Elder	darkelder	17		6	8	0	4	4	1	0	1	27	27	27	Act 2 Super B		Act 2 (N) Super B		Act 2 (H) Super B	Act 2 (H) Super B Desecrated	0
The Summoner	The Summoner	summoner	18		5	6	7	0	0	1	0		26	26	26	Summoner	Summoner Desecrated A	Summoner (N)	Summoner (N) Desecrated A	Summoner (H)	Summoner (H) Desecrated A	0
Ancient Kaa the Soulless	Ancient Kaa the Soulless	unraveler3	19		15	5	17	3	3	1	0		11	11	11	Act 2 Super C		Act 2 (N) Super C		Act 2 (H) Super C	Act 2 (H) Super C Desecrated	0
The Smith	The Smith	smith	20	smith	5	28	0	0	0	1	0		26	26	26	Smith	Smith Desecrated A	Smith (N)	Smith (N) Desecrated A	Smith (H)	Smith (H) Desecrated A	0
Web Mage the Burning	Web Mage the Burning	arach4	21		5	7	0	5	5	1	0		19	19	19	Act 3 Super A		Act 3 (N) Super A		Act 3 (H) Super A	Act 3 (H) Super A Desecrated	0
Witch Doctor Endugu	Witch Doctor Endugu	fetishshaman4	22		8	9	0	6	6	1	0		20	20	20	Act 3 Super B		Act 3 (N) Super B		Act 3 (H) Super B	Act 3 (H) Super B Desecrated	0
Stormtree	Stormtree	thornhulk3	23		6	17	0	4	4	1	0	1	35	35	35	Act 3 Super B		Act 3 (N) Super B		Act 3 (H) Super B	Act 3 (H) Super B Desecrated	0
Sarina the Battlemaid	Sarina the Battlemaid	sarinathebattlemaid	24		6	27	0	9	9	1	0	1	36	36	36	Battlemaiden	Battlemaiden Desecrated A	Battlemaiden (N)	Battlemaiden (N) Desecrated A	Battlemaiden (H)	Battlemaiden (H) Desecrated A	0
Icehawk Riftwing	Icehawk Riftwing	batdemon3	25		18	26	0	7	7	1	0		21	21	21	Act 3 Super A		Act 3 (N) Super A		Act 3 (H) Super A	Act 3 (H) Super A Desecrated	0
Ismail Vilehand	Ismail Vilehand	councilmember1	26		6	7	0	2	2	1	0		36	36	36	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Geleb Flamefinger	Geleb Flamefinger	councilmember2	27		5	9	0	2	2	1	0		37	37	37	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Bremm Sparkfist	Bremm Sparkfist	councilmember3	28		30	17	0	2	2	1	0		22	22	22	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Toorc Icefist	Toorc Icefist	councilmember1	29		18	28	0	0	0	1	0		23	23	23	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Wyand Voidfinger	Wyand Voidfinger	councilmember2	30		15	26	0	0	0	1	0		38	38	38	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Maffer Dragonhand	Maffer Dragonhand	councilmember3	31		5	6	0	0	0	1	0		23	23	23	Council	Council Desecrated A	Council (N)	Council (N) Desecrated A	Council (H)	Council (H) Desecrated A	0
Winged Death	Winged Death	megademon3	32		5	7	0	7	7	1	0		24	24	24	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
The Tormentor	The Tormentor	willowisp3	33		8	9	0	5	5	1	0		9	9	9	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
Taintbreeder	Taintbreeder	taintbreeder	34		6	0	0	6	6	1	0		10	10	10	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
Riftwraith the Cannibal	Riftwraith the Cannibal	regurgitator2	35		18	26	0	8	8	1	0		25	25	25	Act 4 Super A		Act 4 (N) Super A		Act 4 (H) Super A	Act 4 (H) Super A Desecrated	0
Infector of Souls	Infector of Souls	megademon3	36		6	27	0	9	9	1	0		26	26	26	Act 4 Super B		Act 4 (N) Super B		Act 4 (H) Super B	Act 4 (H) Super B Desecrated	0
Lord De Seis	Lord De Seis	doomknight3	37		5	30	24	5	5	1	0		11	11	11	Act 4 Super C		Act 4 (N) Super C		Act 4 (H) Super C	Act 4 (H) Super C Desecrated	0
Grand Vizier of Chaos	Grand Vizier of Chaos	fingermage3	38		5	9	0	9	9	1	0		26	26	26	Act 4 Super B		Act 4 (N) Super B		Act 4 (H) Super B	Act 4 (H) Super B Desecrated	0
The Cow King	The Cow King	cowking	39		8	17	0	6	6	1	0		27	27	27	Cow King	Cow King Desecrated A	Cow King (N)	Cow King (N) Desecrated A	Cow King (H)	Cow King (H) Desecrated A	0
Corpsefire	Corpsefire	zombie1	40		27	0	0	5	5	1	0		25	25	25	Act 1 Super A + t1 Splash Charm		Act 1 (N) Super A		Act 1 (H) Super A	Act 1 (H) Super A Desecrated	0
Hephasto	Hephasto	hephasto	41	smithdemon	5	28	0	0	0	1	0		20	20	20	Hephasto	Hephasto Desecrated A	Hephasto (N)	Hephasto (N) Desecrated A	Hephasto (H)	Hephasto (H) Desecrated A	0
Expansion																						0
Siege Boss	Siege Boss	shenk	42		4	16	28	0	0	0	0		7	7	7	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Ancient Barbarian 1	Ancient Barbarian 1	ancientbarb1	43		0	0	0	0	0	0	1		25	25	25							0
Ancient Barbarian 2	Ancient Barbarian 2	ancientbarb2	44		0	0	0	0	0	0	1		26	26	26							0
Ancient Barbarian 3	Ancient Barbarian 3	ancientbarb3	45		0	0	0	0	0	0	1		11	11	11							0
Axe Dweller	Axe Dweller	axedweller	46		8	9	0	2	2	0	0		20	20	20	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Bonesaw Breaker	Bonesaw Breaker	reanimatedhorde2	47		5	8	0	5	5	0	0		35	35	35	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Dac Farren	Dac Farren	imp3	48		18	0	0	4	4	0	0	1	36	36	36	Act 5 Super B		Act 5 (N) Super B		Act 5 (H) Super B	Act 5 (H) Super B Desecrated	0
Megaflow Rectifier	Megaflow Rectifier	minion1	49		1	6	0	8	8	0	0	1	21	21	21	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Eyeback Unleashed	Eyeback Unleashed	deathmauler1	50		5	6	0	2	2	0	0		8	8	8	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Thresh Socket	Thresh Socket	siegebeast3	51		7	0	0	0	0	0	0		37	37	37	Act 5 Super Cx		Act 5 (N) Super Cx		Act 5 (H) Super Cx	Act 5 (H) Super Cx Desecrated	0
Pindleskin	Pindleskin	reanimatedhorde5	52		9	0	0	6	6	0	0		22	22	22	Act 5 Super Cx		Act 5 (N) Super Cx		Act 5 (H) Super Cx	Act 5 (H) Super Cx Desecrated	0
Snapchip Shatter	Snapchip Shatter	frozenhorror1	53		7	18	0	4	4	0	0		23	23	23	Snapchip		Snapchip (N)		Snapchip (H)	Act 5 (H) Super C Desecrated	0
Anodized Elite	Anodized Elite	succubus4	54		9	7	0	6	6	0	0		38	38	38	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Vinvear Molech	Vinvear Molech	vinvearmolech	55		8	5	18	0	0	0	0		23	23	23	Act 5 Super A		Act 5 (N) Super A		Act 5 (H) Super A	Act 5 (H) Super A Desecrated	0
Sharp Tooth Sayer	Sharp Tooth Sayer	overseer3	56		6	0	0	3	3	0	0	1	24	24	24	Act 5 Super B		Act 5 (N) Super B		Act 5 (H) Super B	Act 5 (H) Super B Desecrated	0
Magma Torquer	Magma Torquer	imp5	57		5	7	0	5	5	0	0		9	9	9	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Blaze Ripper	Blaze Ripper	deathmauler5	58		17	6	0	4	4	0	0		10	10	10	Act 5 Super C		Act 5 (N) Super C		Act 5 (H) Super C	Act 5 (H) Super C Desecrated	0
Frozenstein	Frozenstein	snowyeti4	59		18	15	0	5	6	0	0		19	19	19	Frozenstein	Frozenstein Desecrated A	Frozenstein (N)	Frozenstein (N) Desecrated A	Frozenstein (H)	Frozenstein (H) Desecrated A	0
Nihlathak Boss	Nihlathak	nihlathakboss	60		0	0	0	0	0	0	0		28	28	28	Nihlathak	Nihlathak Desecrated	Nihlathak (N)	Nihlathak (N) Desecrated	Nihlathak (H)	Nihlathak (H) Desecrated	0
Baal Subject 1	Baal Subject 1	fallenshaman5	61		9	0	0	5	5	0	0		29	29	29	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 2	Baal Subject 2	unraveler5	62		23	0	0	3	3	0	0		21	21	21	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 3	Baal Subject 3	baalhighpriest	63		17	0	0	5	5	0	0		36	36	36	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 4	Baal Subject 4	venomlord	64		6	0	0	8	8	0	0		20	20	20	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Baal Subject 5	Baal Subject 5	baalminion1	65		27	0	0	5	5	0	0		20	20	20	Act 5 Champ C		Act 5 (N) Champ C		Act 5 (H) Champ C	Act 5 (H) Champ C Desecrated	0
Raven Talon	Raven Talon	raventalon	73		5	16	0	0	0	0	0		7	7	7	Act 1 LT	Act 1 LT	Act 1 (N) LT	Act 1 (N) LT Desecrated	Act 1 (H) LT	Act 1 (H) LT Desecrated	0
Raven Eye	Raven Eye	raveneye	74		6	16	0	0	0	0	0		7	7	7	Act 1 LT	Act 1 LT	Act 1 (N) LT	Act 1 (N) LT Desecrated	Act 1 (H) LT	Act 1 (H) LT Desecrated	0
Smith Sword	Smith Sword	smithsword	75		6	0	0	0	0	0	1		10	10	10	Act 2 LT Swarm	Act 2 LT Swarm	Act 2 (N) LT Swarm	Act 2 (N) LT Swarm Desecrated	Act 2 (H) LT Swarm	Act 2 (H) LT Swarm Desecrated	0
Hephasto Sword	Hephasto Sword	hephastosword	76		6	0	0	0	0	0	1		30	30	30	Act 4 LT Swarm	Act 4 LT Swarm	Act 4 (N) LT Swarm	Act 4 (N) LT Swarm Desecrated	Act 4 (H) LT Swarm	Act 4 (H) LT Swarm Desecrated	0
Legion	Legion	legion	77		5	16	0	0	0	0	0		7	7	7	Act 4 LT	Act 4 LT	Act 4 (N) LT	Act 4 (N) LT Desecrated	Act 4 (H) LT	Act 4 (H) LT Desecrated	0
Leviathan	Leviathan	leviathan	78		5	16	0	0	0	0	0		14	14	14	Act 4 LT	Act 4 LT	Act 4 (N) LT	Act 4 (N) LT Desecrated	Act 4 (H) LT	Act 4 (H) LT Desecrated	0
Kudaai	Kudaai	kudaai	79		5	16	28	0	0	0	0		7	7	7	Act 4 LT	Act 4 LT	Act 4 (N) LT	Act 4 (N) LT Desecrated	Act 4 (H) LT	Act 4 (H) LT Desecrated	0
Shenk Lieutenant	Shenk Lieutenant	shenk2nd	80		6	16	0	0	0	0	1		7	7	7	Act 5 LT Swarm	Act 5 LT Swarm	Act 5 (N) LT Swarm	Act 5 (N) LT Swarm Desecrated	Act 5 (H) LT Swarm	Act 5 (H) LT Swarm Desecrated	0
Tormented Sister	Tormented Sister	tormentedsister	81		6	16	0	0	0	0	1		7	7	7	Act 1 LT Swarm	Act 1 LT Swarm	Act 1 (N) LT Swarm	Act 1 (N) LT Swarm Desecrated	Act 1 (H) LT Swarm	Act 1 (H) LT Swarm Desecrated	0
Baal Fighter	Baal Fighter	baalfighter	82		5	16	32	0	0	0	0		20	20	7	Act 5 LT	Act 5 LT	Act 5 (N) LT	Act 5 (N) LT Desecrated	Act 5 (H) LT	Act 5 (H) LT Desecrated	0
Baal Mage	Baal Mage	baalmage	83		6	16	35	0	0	0	0		30	30	7	Act 5 LT	Act 5 LT	Act 5 (N) LT	Act 5 (N) LT Desecrated	Act 5 (H) LT	Act 5 (H) LT Desecrated	0
Brute Boss	Brute Boss	bruteboss	84		28	6	5	0	0	0	0		30	30	30	Act 1 LT	Act 1 LT	Act 1 (N) LT	Act 1 (N) LT Desecrated	Act 1 (H) LT	Act 1 (H) LT Desecrated	0
Fire Dark Rogue	Fire Dark Rogue	firedarkrogue	85		5	6	7	0	0	1	1		26	26	9	Summoner	Summoner Desecrated A	Summoner (N)	Summoner (N) Desecrated A	Triads (H)	Triads (H)	0
Cold Dark Rogue	Cold Dark Rogue	colddarkrogue	86		5	6	7	0	0	1	1		26	26	27	Summoner	Summoner Desecrated A	Summoner (N)	Summoner (N) Desecrated A	Triads (H)	Triads (H)	0
Lightning Dark Rogue	Lightning Dark Rogue	lightningdarkrogue	87		5	6	7	0	0	1	1		26	26	7	Summoner	Summoner Desecrated A	Summoner (N)	Summoner (N) Desecrated A	Triads (H)	Triads (H)	0
Talic	Talic	taliccust	88		0	0	0	0	0	0	0		25	25	25							0
Madawc	Madawc	madawccust	89		0	0	0	0	0	0	0		26	26	26							0
Korlic	Korlic	korliccust	90		0	0	0	0	0	0	0		11	11	11							0
The Butcher	The Butcher	butcher	91	butcher	5	28	0	0	0	1	0		0	0	9	Smith	Smith Desecrated A	Smith (N)	Smith (N) Desecrated A	The Butcher (H)	The Butcher (H)	0
Bloodied Wolf	Bloodied Wolf	bloodiedwolf	92		5	6	7	0	0	1	1		26	26	28	Summoner	Summoner Desecrated A	Summoner (N)	Summoner (N) Desecrated A	The Bloodied Wolf (H)	The Bloodied Wolf (H)	0
Gloomfang	Gloomfang	gloomfang	93		5	6	7	0	0	1	1		11	11	11	Summoner	Summoner Desecrated A	Summoner (N)	Summoner (N) Desecrated A	Gloomfang (H)	Gloomfang (H)	0
