name	* Description	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Sharp	+# to Attack Rating & +#% Enhanced Damage	100	1	1	5	20	3				4	111	att		10	20	dmg%		10	20						weap							orb	wand				0	0
Sharp	#% Deadly Strike & +#% Enhanced Damage	100	1	1	5	20	3				2	111	deadly		1	3	dmg%		10	20						weap							orb	wand				0	0
Sharp	#% Crushing Blow & +#% Enhanced Damage	100	1	1	5	20	3				2	111	crush		1	3	dmg%		10	20						weap							orb	wand				0	0
Sharp	#% Open Wounds & +#% Enhanced Damage	100	1	1	5	20	3				2	111	openwounds		5	7	dmg%		10	20						weap							orb	wand				0	0
Fine	+# to Attack Rating & +#% Enhanced Damage	100	1	1	12	30	9				4	111	att		21	40	dmg%		21	30						weap							orb	wand				0	0
Fine	#% Deadly Strike & +#% Enhanced Damage	100	1	1	12	30	9				2	111	deadly		2	5	dmg%		21	30						weap							orb	wand				0	0
Fine	#% Crushing Blow & +#% Enhanced Damage	100	1	1	12	30	9				2	111	crush		2	5	dmg%		21	30						weap							orb	wand				0	0
Fine	#% Open Wounds & +#% Enhanced Damage	100	1	1	12	30	9				2	111	openwounds		8	10	dmg%		21	30						weap							orb	wand				0	0
Mastersmith's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	19	40	13				4	111	att		41	60	dmg%		31	40						weap							orb	wand				0	0
Mastersmith's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	19	40	13				2	111	deadly		3	6	dmg%		31	40						weap							orb	wand				0	0
Mastersmith's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	19	40	13				2	111	crush		3	6	dmg%		31	40						weap							orb	wand				0	0
Mastersmith's	#% Open Wounds & +#% Enhanced Damage	100	1	1	19	40	13				2	111	openwounds		11	16	dmg%		31	40						weap							orb	wand				0	0
Warrior's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	27	50	19				4	111	att		61	80	dmg%		41	50						weap							orb	wand				0	0
Warrior's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	27	50	19				2	111	deadly		4	8	dmg%		41	50						weap							orb	wand				0	0
Warrior's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	27	50	19				2	111	crush		4	8	dmg%		41	50						weap							orb	wand				0	0
Warrior's	#% Open Wounds & +#% Enhanced Damage	100	1	1	27	50	19				2	111	openwounds		17	21	dmg%		41	50						weap							orb	wand				0	0
Soldier's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	38	60	30				4	111	att		81	100	dmg%		51	65						weap							orb	wand				0	0
Soldier's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	38	60	30				2	111	deadly		5	10	dmg%		51	65						weap							orb	wand				0	0
Soldier's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	38	60	30				2	111	crush		5	10	dmg%		51	65						weap							orb	wand				0	0
Soldier's	#% Open Wounds & +#% Enhanced Damage	100	1	1	38	60	30				2	111	openwounds		22	28	dmg%		51	65						weap							orb	wand				0	0
Crusader's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	45	70	37				4	111	att		101	125	dmg%		66	80					lgld	weap							orb	wand				0	0
Crusader's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	45	70	37				2	111	deadly		6	12	dmg%		66	80					lgld	weap							orb	wand				0	0
Crusader's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	45	70	37				2	111	crush		6	12	dmg%		66	80					lgld	weap							orb	wand				0	0
Crusader's	#% Open Wounds & +#% Enhanced Damage	100	1	1	45	70	37				2	111	openwounds		29	35	dmg%		66	80					lgld	weap							orb	wand				0	0
Knight's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	52	80	45				4	111	att		126	150	dmg%		81	100					lgld	weap							orb	wand				0	0
Knight's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	52	80	45				2	111	deadly		7	14	dmg%		81	100					lgld	weap							orb	wand				0	0
Knight's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	52	80	45				2	111	crush		7	14	dmg%		81	100					lgld	weap							orb	wand				0	0
Knight's	#% Open Wounds & +#% Enhanced Damage	100	1	1	52	80	45				2	111	openwounds		36	44	dmg%		81	100					lgld	weap							orb	wand				0	0
Lord's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	58		53				4	111	att		151	175	dmg%		101	133					lgld	weap							orb	wand				0	0
Lord's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	65		60				2	111	deadly		8	16	dmg%		101	133					lgld	weap							orb	wand				0	0
Lord's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	65		60				2	111	crush		8	16	dmg%		101	133					lgld	weap							orb	wand				0	0
Lord's	#% Open Wounds & +#% Enhanced Damage	100	1	1	65		60				2	111	openwounds		45	57	dmg%		101	133					lgld	weap							orb	wand				0	0
Overlord's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	65		59				4	111	att		176	200	dmg%		134	166					lgld	weap							orb	wand				0	0
Overlord's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	70		65				2	111	deadly		9	18	dmg%		134	166					lgld	weap							orb	wand				0	0
Overlord's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	70		65				2	111	crush		9	18	dmg%		134	166					lgld	weap							orb	wand				0	0
Overlord's	#% Open Wounds & +#% Enhanced Damage	100	1	1	70		65				2	111	openwounds		58	67	dmg%		134	166					lgld	weap							orb	wand				0	0
King's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	70		63				4	111	att		210	225	dmg%		167	200					dgld	weap							orb	wand				0	0
King's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	74		69				2	111	deadly		10	20	dmg%		167	200					dgld	weap							orb	wand				0	0
King's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	74		69				2	111	crush		10	20	dmg%		167	200					dgld	weap							orb	wand				0	0
King's	#% Open Wounds & +#% Enhanced Damage	100	1	1	74		69				2	111	openwounds		68	75	dmg%		167	200					dgld	weap							orb	wand				0	0
Master's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	74		70				4	111	att		210	225	dmg%		201	250					dgld	weap							orb	wand				0	0
Master's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	79		77				2	111	deadly		12	24	dmg%		201	250					dgld	weap							orb	wand				0	0
Master's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	79		77				2	111	crush		12	24	dmg%		201	250					dgld	weap							orb	wand				0	0
Master's	#% Open Wounds & +#% Enhanced Damage	100	1	1	79		77				2	111	openwounds		76	83	dmg%		201	250					dgld	weap							orb	wand				0	0
Highmaster's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	79		79				4	111	att		251	275	dmg%		251	300					dgld	weap							orb	wand				0	0
Highmaster's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	83		82				2	111	deadly		13	26	dmg%		251	300					dgld	weap							orb	wand				0	0
Highmaster's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	83		82				2	111	crush		13	26	dmg%		251	300					dgld	weap							orb	wand				0	0
Highmaster's	#% Open Wounds & +#% Enhanced Damage	100	1	1	83		82				2	111	openwounds		84	93	dmg%		251	300					dgld	weap							orb	wand				0	0
Grandmaster's	+# to Attack Rating & +#% Enhanced Damage	100	1	1	84		88				4	111	att		276	300	dmg%		301	350					dgld	weap							orb	wand				0	0
Grandmaster's	#% Deadly Strike & +#% Enhanced Damage	100	1	1	86		88				2	111	deadly		15	30	dmg%		301	350					dgld	weap							orb	wand				0	0
Grandmaster's	#% Crushing Blow & +#% Enhanced Damage	100	1	1	86		88				2	111	crush		15	30	dmg%		301	350					dgld	weap							orb	wand				0	0
Grandmaster's	#% Open Wounds & +#% Enhanced Damage	100	1	1	86		88				2	111	openwounds		94	100	dmg%		301	350					dgld	weap							orb	wand				0	0
Stout	+# Defense & +#% Enhanced Damage	100	1	1	1	40	1				4	111	ac		3	5	dmg%		10	20						weap												0	0
Stout	+# Defense & +#% Enhanced Damage	100	1	1	7	50	5				4	111	ac		6	9	dmg%		21	30						weap												0	0
Stout	+# Defense & +#% Enhanced Damage	100	1	1	12	55	9				4	111	ac		10	12	dmg%		31	40						weap												0	0
Burly	+# Defense & +#% Enhanced Damage	100	1	1	17	70	12				4	111	ac		13	15	dmg%		41	50						weap												0	0
Burly	+# Defense & +#% Enhanced Damage	100	1	1	22	75	16				4	111	ac		16	22	dmg%		51	60						weap												0	0
Burly	+# Defense & +#% Enhanced Damage	100	1	1	27	80	20				4	111	ac		23	30	dmg%		61	70						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	32		24				4	111	ac		33	40	dmg%		71	80						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	37		34				4	111	ac		44	50	dmg%		81	100						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	42		48				4	111	ac		60	70	dmg%		101	125						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	55		59				2	111	ac		70	85	dmg%		126	150						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	69		67				2	111	ac		86	100	dmg%		151	175						weap												0	0
Stalwart	+# Defense & +#% Enhanced Damage	100	1	1	80		72				2	111	ac		100	125	dmg%		176	200						weap												0	0
Loremaster's1	+#% to Experience Gained & +#% Enhanced Damage	100	1	1	47		35				4	111	addxp		2	2	dmg%		76	100						weap												0	0
Sage's	+#% to Experience Gained & +#% Enhanced Damage	100	1	1	63		57				4	111	addxp		2	2	dmg%		101	150						weap												0	0
Sage's	+#% to Experience Gained & +#% Enhanced Damage	100	1	1	79		63				2	111	addxp		2	2	dmg%		151	225						weap												0	0
Master Sage's	+#% to Experience Gained & +#% Enhanced Damage	100	1	1	88		78				2	111	addxp		3	3	dmg%		225	250						weap												0	0
Ghostly	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	100	1	1	41		37				4	111	dmg%		101	125	ethereal		1	1	rep-dur	10			cred	weap							orb	wand				0	0
Spectral1	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	100	1	1	61		51				4	111	dmg%		126	150	ethereal		1	1	rep-dur	10			cgrn	weap							orb	wand				0	0
Phantom1	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	100	1	1	75		67				4	111	dmg%		151	175	ethereal		1	1	rep-dur	10			cblu	weap							orb	wand				0	0
Wraithly1	+#% Enhanced Damage & Ethereal & Repairs 1 durability in # seconds	100	1	1	86		80				4	111	dmg%		176	200	ethereal		1	1	rep-dur	10			whit	weap							orb	wand				0	0
Assamic	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	3	20	1				4	123	att-demon		25	50	dmg-demon		10	25						weap	circ						wand	orb				0	0
Arcadian	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	15	40	11				4	123	att-demon		51	100	dmg-demon		26	50						weap	circ						wand	orb				0	0
Unearthly	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	25	65	18				2	123	att-demon		101	150	dmg-demon		51	100						weap							wand	orb				0	0
Astral	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	35		26				2	123	att-demon		151	200	dmg-demon		101	150						weap							wand	orb				0	0
Elysian	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	45		33				2	123	att-demon		201	300	dmg-demon		151	200					dgld	weap							wand	orb				0	0
Celestial	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	55		41				2	123	att-demon		301	400	dmg-demon		201	300					dgld	weap							wand	orb				0	0
Diamond	+# to Attack Rating against Demons & +#% Damage to Demons	100	1	1	26		19				2	123	att-demon		25	50	dmg-demon		25	40						jewl												0	0
Consecrated	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	1	35	1				8	142	att-undead		25	75	dmg-undead		25	75						weap							wand	orb				0	0
Pure	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	15	60	11				6	142	att-undead		76	175	dmg-undead		76	125					lgld	weap							wand	orb				0	0
Sacred	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	25		18				4	142	att-undead		175	250	dmg-undead		126	200					lgld	weap							wand	orb				0	0
Hallowed	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	35		27				2	142	att-undead		251	325	dmg-undead		201	275					lgld	weap							wand	orb				0	0
Divine	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	45		37				2	142	att-undead		326	450	dmg-undead		276	350					lgld	weap							wand	orb				0	0
Pearl	+# to Attack Rating against Undead & +#% Damage to Undead	100	1	1	18		13				2	142	att-undead		25	50	dmg-undead		25	50						jewl												0	0
Bronze	+# to Attack Rating	100	1	1	1	35	1				16	110	att		10	20										weap	ring	circ	glov	amul			orb	wand				0	0
Iron	+# to Attack Rating	100	1	1	7	48	5				16	110	att		21	40										weap	ring	circ	glov	amul			orb	wand				0	0
Steel	+# to Attack Rating	100	1	1	12	70	9				14	110	att		41	60										weap	ring	circ	glov	amul			orb	wand				0	0
Silver	+# to Attack Rating	100	1	1	14	85	12				14	110	att		61	80										weap	ring	circ	glov	amul			orb	wand				0	0
Gold	+# to Attack Rating	100	1	1	19		16				12	110	att		81	100									lgld	weap	ring	circ	glov	amul			orb	wand				0	0
Platinum	+# to Attack Rating	100	1	1	25		22				12	110	att		101	125									lgld	weap	ring	circ					orb	wand				0	0
Meteoric	+# to Attack Rating	100	1	1	30		27				10	110	att		126	150									lgld	weap							orb	wand				0	0
Strange	+# to Attack Rating	100	1	1	37		34				10	110	att		151	300									lgld	weap							orb	wand				0	0
Weird	+# to Attack Rating	100	1	1	44		40				8	110	att		301	450									lgld	weap							orb	wand				0	0
Nickel	+# to Attack Rating	100	1	1	1	40	1				8	110	att		10	20										jewl												0	0
Tin	+# to Attack Rating	100	1	1	8	70	6				8	110	att		21	40										jewl												0	0
Silver	+# to Attack Rating	100	1	1	25		18				8	110	att		41	60										jewl												0	0
Argent	+# to Attack Rating	100	1	1	44		36				8	110	att		61	100										jewl												0	0
Robineye	+# to Attack Rating (Based on Character Level)	100	1	1	1	35	1				2	111	att/lvl	4											whit	weap							staf	wand	orb			0	0
Sparroweye	+# to Attack Rating (Based on Character Level)	100	1	1	10	55	7				2	111	att/lvl	6											whit	weap							staf	wand	orb			0	0
Falconeye	+# to Attack Rating (Based on Character Level)	100	1	1	20		15				2	111	att/lvl	8											whit	weap							staf	wand	orb			0	0
Hawkeye	+# to Attack Rating (Based on Character Level)	100	1	1	35		26				14	111	att/lvl	12											whit	weap							staf	wand	orb			0	0
Eagleeye	+# to Attack Rating (Based on Character Level)	100	1	1	50		37				2	111	att/lvl	16											whit	weap							staf	wand	orb			0	0
Precise1	#% Bonus to Attack Rating	100	1	1	20	40	15				8	200	att%		5	9										weap	glov											0	0
Precise1	#% Bonus to Attack Rating	100	1	1	40	70	30				6	200	att%		10	14										weap	glov											0	0
Fastidious1	#% Bonus to Attack Rating	100	1	1	55		45				4	200	att%		15	19										weap	glov											0	0
Meticulous1	#% Bonus to Attack Rating	100	1	1	70		60				4	200	att%		20	24										weap	glov											0	0
Veracious1	#% Bonus to Attack Rating	100	1	1	85		75				2	200	att%		25	35										weap	glov											0	0
Visionary	#% Bonus to Attack Rating (Based on Character Level)	100	1	1	25		18				2	111	att%/lvl	2											whit	helm	miss	glov										0	0
Scarlet	+# to Minimum Damage	100	1	1	8	55	6				8	103	dmg-min		1	4									dred	jewl												0	0
Crimson	+# to Minimum Damage	100	1	1	38		30				8	103	dmg-min		5	8									dred	jewl												0	0
Carbuncle	+# to Maximum Damage	100	1	1	12	48	9				8	104	dmg-max		1	5									dred	jewl												0	0
Carmine	+# to Maximum Damage	100	1	1	35		27				8	104	dmg-max		6	9									dred	jewl												0	0
Vermillion	+# to Maximum Damage	100	1	1	58		50				8	104	dmg-max		11	15									dred	jewl												0	0
Red	+# to Minimum Damage & +# to Maximum Damage	100	1	1	29	58	26				8	103	dmg-min		1	3	dmg-max		5	8					dred	jewl												0	0
Sanguinary	+# to Minimum Damage & +# to Maximum Damage	100	1	1	59		52				8	103	dmg-min		4	5	dmg-max		8	12					dred	jewl												0	0
Bloody	+# to Minimum Damage & +# to Maximum Damage	100	1	1	86		88				8	103	dmg-min		6	8	dmg-max		13	15					dred	jewl												0	0
Knave's	+# to Maximum Damage (Based on Character Level) & +# to Attack Rating (Based on Character Level)	100	1	1	1	30	1				2	105	dmg/lvl	2			att/lvl	8							whit	weap							orb	wand	orb			0	0
Jack's	+# to Maximum Damage (Based on Character Level) & +# to Attack Rating (Based on Character Level)	100	1	1	10	45	7				2	105	dmg/lvl	3			att/lvl	12							whit	weap							orb	wand	orb			0	0
Jester's	+# to Maximum Damage (Based on Character Level) & +# to Attack Rating (Based on Character Level)	100	1	1	20	65	15				2	105	dmg/lvl	4			att/lvl	16							whit	weap							orb	wand	orb			0	0
Joker's	+# to Maximum Damage (Based on Character Level) & +# to Attack Rating (Based on Character Level)	100	1	1	35		26				2	105	dmg/lvl	6			att/lvl	20							whit	weap							orb	wand	orb			0	0
Trump	+# to Maximum Damage (Based on Character Level) & +# to Attack Rating (Based on Character Level)	100	1	1	50		37				14	105	dmg/lvl	8			att/lvl	24							whit	weap							orb	wand	orb			0	0
Loud	+# to Maximum Damage (Based on Character Level)	100	1	1	5	35	3				2	105	dmg/lvl	4											whit	weap							orb	wand	orb			0	0
Calling	+# to Maximum Damage (Based on Character Level)	100	1	1	20	55	15				2	105	dmg/lvl	6											whit	weap							orb	wand	orb			0	0
Yelling	+# to Maximum Damage (Based on Character Level)	100	1	1	40		35				2	105	dmg/lvl	8											whit	weap							orb	wand	orb			0	0
Shouting	+# to Maximum Damage (Based on Character Level)	100	1	1	60		55				2	105	dmg/lvl	12											whit	weap							orb	wand	orb			0	0
Gritty	+# to Maximum Damage (Based on Character Level)	100	1	1	75		65				14	105	dmg/lvl	16											whit	weap							orb	wand	orb			0	0
Blanched	+# Defense	100	1	1	1	40	1				8	101	ac		5	8									whit	jewl												0	0
Eburin	+# Defense	100	1	1	16	60	12				8	101	ac		9	20									whit	jewl												0	0
Bone	+# Defense	100	1	1	32		24				8	101	ac		21	40									whit	jewl												0	0
Ivory	+# Defense	100	1	1	64		56				8	101	ac		41	64									whit	jewl												0	0
Miocene	+# Defense (Based on Character Level)	100	1	1	1	25	1				8	101	ac/lvl	12											whit	tors	shld											0	0
Miocene	+# Defense (Based on Character Level)	100	1	1	1	25	1				10	101	ac/lvl	4											whit	glov	boot	belt	helm									0	0
Oligocene	+# Defense (Based on Character Level)	100	1	1	25	50	22				8	101	ac/lvl	24											whit	tors	shld											0	0
Oligocene	+# Defense (Based on Character Level)	100	1	1	25	50	22				8	101	ac/lvl	8											whit	glov	boot	belt	helm									0	0
Eocene	+# Defense (Based on Character Level)	100	1	1	45		40				6	101	ac/lvl	36											whit	tors	shld											0	0
Eocene	+# Defense (Based on Character Level)	100	1	1	45		40				4	101	ac/lvl	12											whit	glov	boot	belt	helm									0	0
Paleocene	+# Defense (Based on Character Level)	100	1	1	70		60				4	101	ac/lvl	48											whit	tors												0	0
Paleocene	+# Defense (Based on Character Level)	100	1	1	70		60				2	101	ac/lvl	16											whit	glov	boot	belt	helm									0	0
Sturdy	+#% Enhanced Defense	100	1	1	1	20	1				110	101	ac%		10	20										armo	shld											0	0
Sturdy	+#% Enhanced Defense	100	1	1	7	30	4				110	101	ac%		21	30										armo	shld											0	0
Strong	+#% Enhanced Defense	100	1	1	12	40	10				110	101	ac%		31	40										armo	shld											0	0
Glorious	+#% Enhanced Defense	100	1	1	24	50	18				110	101	ac%		41	50										armo	shld											0	0
Blessed	+#% Enhanced Defense	100	1	1	31	60	25				110	101	ac%		51	65										armo	shld											0	0
Consecrated	+#% Enhanced Defense	100	1	1	39	70	32				110	101	ac%		66	80										armo	shld											0	0
Saintly	+#% Enhanced Defense	100	1	1	55		48				110	101	ac%		81	100									dgld	armo	shld											0	0
Holy	+#% Enhanced Defense	100	1	1	67		57				110	101	ac%		101	133									dgld	armo	shld											0	0
Hallowed	+#% Enhanced Defense	100	1	1	72		69				110	101	ac%		134	166									dgld	armo	shld											0	0
Godly	+#% Enhanced Defense	100	1	1	79		77				110	101	ac%		167	200									dgld	armo	shld											0	0
Godly	+#% Enhanced Defense	100	1	1	86		81				110	101	ac%		201	225									dgld	armo	shld											0	0
Paradox	+#% Enhanced Defense (Based on Character Level)	100	1	1	1		1				24	101	ac%/lvl	8											whit	armo	shld											0	0
Paradox	+#% Enhanced Defense (Based on Character Level)	100	1	1	65		59				24	101	ac%/lvl	16											whit	armo	shld											0	0
Ghostly	+#% Enhanced Defense & Ethereal & Repairs 1 durability in # seconds	100	1	1	41		37				4	101	ac%		25	40	ethereal		1	1	rep-dur	10			whit	armo												0	0
Spectral1	+#% Enhanced Defense & Ethereal & Repairs 1 durability in # seconds	100	1	1	61		51				4	101	ac%		41	60	ethereal		1	1	rep-dur	10			whit	armo												0	0
Phantom1	+#% Enhanced Defense & Ethereal & Repairs 1 durability in # seconds	100	1	1	75		67				4	101	ac%		61	80	ethereal		1	1	rep-dur	10			whit	armo												0	0
Wraithly1	+#% Enhanced Defense & Ethereal & Repairs 1 durability in # seconds	100	1	1	86		80				4	101	ac%		81	100	ethereal		1	1	rep-dur	10			whit	armo												0	0
Strengthened1	+#% Enhanced Defense & Damage Reduced by #%	100	1	1	5		3				4	101	ac%		20	30	red-dmg%		1	3						tors	shld											0	0
Reinforced1	+#% Enhanced Defense & Damage Reduced by #%	100	1	1	17		14				4	101	ac%		31	40	red-dmg%		4	5						tors	shld											0	0
Fortified	+#% Enhanced Defense & Damage Reduced by #%	100	1	1	29		26				4	101	ac%		41	50	red-dmg%		6	7						tors	shld											0	0
Hardened1	+#% Enhanced Defense & Damage Reduced by #%	100	1	1	40		37				4	101	ac%		51	60	red-dmg%		8	10						tors	shld											0	0
Tempered1	+#% Enhanced Defense & Damage Reduced by #%	100	1	1	55		50				4	101	ac%		61	70	red-dmg%		11	15						tors	shld											0	0
Treated1	+#% Enhanced Defense & Damage Reduced by #%	100	1	1	70		67				4	101	ac%		71	80	red-dmg%		16	20						tors	shld											0	0
Invulnerable1	+#% Enhanced Defense & Damage Reduced by #%	100	1	1	86		83				4	101	ac%		81	100	red-dmg%		21	25						tors	shld											0	0
Sage's	+# to All Skills	100	1	1	59		50				2	125	allskills		1	1										amul	tors	shld										0	0
Sage's	+# to All Skills	100	1	1	85		80				2	125	allskills		1	1										ring												0	0
Omniscient	+# to All Skills	100	1	1	86		80				2	125	allskills		2	2										tors	amul											0	0
Maiden's	+# to Amazon Skill Levels	100	1	1	36		27	ama			8	125	ama		1	1										amul	circ											0	0
Maiden's	+# to Amazon Skill Levels	100	1	1	55		47	ama			2	125	ama		1	1										tors												0	0
Valkyrie's	+# to Amazon Skill Levels	100	1	1	86		75	ama			2	125	ama		2	2									cgrn	tors												0	0
Valkyrie's	+# to Amazon Skill Levels	100	1	1	86		67	ama			4	125	ama		2	2									cgrn	amul	circ											0	0
Maiden's	+# to Amazon Skill Levels	100	1	1	30		22	ama			8	125	ama		1	1										miss	spea											0	0
Valkyrie's	+# to Amazon Skill Levels	100	1	1	50		42	ama			4	125	ama		2	2									cgrn	miss	spea											0	0
Monk's	+# to Paladin Skill Levels	100	1	1	55		47	pal			2	125	pal		1	1										tors												0	0
Monk's	+# to Paladin Skill Levels	100	1	1	36		27	pal			8	125	pal		1	1										amul	circ											0	0
Priest's	+# to Paladin Skill Levels	100	1	1	86		75	pal			2	125	pal		2	2									cgrn	tors												0	0
Priest's	+# to Paladin Skill Levels	100	1	1	86		67	pal			4	125	pal		2	2									cgrn	amul	circ											0	0
Monk's	+# to Paladin Skill Levels	100	1	1	30		22	pal			8	125	pal		1	1										scep	ashd											0	0
Priest's	+# to Paladin Skill Levels	100	1	1	50		42	pal			4	125	pal		2	2									cgrn	scep	ashd											0	0
Monk's	+# to Paladin Skill Levels	100	1	1	35		27	pal			8	125	pal		1	1										swor	mace	hamm	shld									0	0
Priest's	+# to Paladin Skill Levels	100	1	1	65		58	pal			4	125	pal		2	2									cgrn	swor	mace	hamm	shld									0	0
Summoner's	+# to Necromancer Skill Levels	100	1	1	36		27	nec			8	125	nec		1	1										amul	circ											0	0
Summoner's	+# to Necromancer Skill Levels	100	1	1	55		47	nec			2	125	nec		1	1										tors												0	0
