Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Nightmare	100	3	271	1	2	67	150	merc01	merc41	12500	120	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	1	Exploding Arrow	4	136	4	22	10	Quickness	4	100	0	18	10	Critical Strike	1	0	0	24	10	Fire Arrow	4	0	0	22	10	Blessed Aim	1	10	0	24	10							1	15	2	50000	ama
Rogue Scout	Ice - Nightmare	100	4	271	1	2	36	150	merc01	merc41	6000	115	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	1	Ice Arrow	4	104	4	12	10	Quickness	4	100	0	12	10	Critical Strike	1	0	0	14	10	Cold Arrow	4	0	0	12	10	Blessed Aim	1	10	0	14	10							1	15	2	50000	ama
Rogue Scout	Ice - Nightmare	100	4	271	1	2	67	150	merc01	merc41	12500	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	1	Ice Arrow	4	136	4	22	10	Quickness	4	100	0	18	10	Critical Strike	1	0	0	24	10	Cold Arrow	4	0	0	22	10	Blessed Aim	1	10	0	24	10							1	15	2	50000	ama
Rogue Scout	Phys - Nightmare	100	5	271	1	2	36	150	merc01	merc41	6000	115	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	1	Magic Arrow	4	104	4	12	10	Quickness	4	100	0	12	10	Critical Strike	1	0	0	14	10	Multiple Shot	4	0	0	12	10	Blessed Aim	1	10	0	14	10							1	15	2	50000	ama
Rogue Scout	Phys - Nightmare	100	5	271	1	2	67	150	merc01	merc41	12500	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	1	Magic Arrow	4	136	4	22	10	Quickness	4	100	0	18	10	Critical Strike	1	0	0	24	10	Multiple Shot	4	0	0	22	10	Blessed Aim	1	10	0	24	10							1	15	2	50000	ama
Rogue Scout	Fire - Hell	100	6	271	1	3	67	150	merc01	merc41	14000	120	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	1	Immolation Arrow	4	136	4	22	10	Quickness	4	100	0	18	10	Critical Strike	1	0	0	24	10	Fire Arrow	4	0	0	22	10	Blessed Aim	1	10	0	24	10							1	15	2	50000	ama
Rogue Scout	Ice - Hell	100	7	271	1	3	67	150	merc01	merc41	14000	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	1	Freezing Arrow	4	136	4	22	10	Quickness	4	100	0	18	10	Critical Strike	1	0	0	24	10	Cold Arrow	4	0	0	22	10	Blessed Aim	1	10	0	24	10							1	15	2	50000	ama
Rogue Scout	Phys - Hell	100	8	271	1	3	67	150	merc01	merc41	14000	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	1	Magic Arrow	4	136	4	22	10	Quickness	4	100	0	18	10	Critical Strike	1	0	0	24	10	Multiple Shot	4	0	0	22	10	Blessed Aim	1	10	0	24	10							1	15	2	50000	ama
Rogue Scout	0	0	100	271	1	3	67	150	merc01	merc41	14000	125	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	1																																					1	15	2	50000	ama
Desert Mercenary	Prayer-Normal	100	9	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname99	1	Holy Bolt	4	70	4	3	10	Iron Skin	1	0	0	3	10	Prayer	1	10	0	3	10	Blessed Hammer	4	0	0	3	10													1	15	2	50000	
Desert Mercenary	Prayer-Normal	100	9	338	2	1	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname99	1	Holy Bolt	4	104	4	14	10	Iron Skin	1	0	0	14	10	Prayer	1	10	0	14	10	Blessed Hammer	4	0	0	14	10													1	15	2	50000	
Desert Mercenary	Prayer-Normal	100	9	338	2	1	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	1	Holy Bolt	4	136	4	24	10	Iron Skin	1	0	0	24	10	Prayer	1	10	0	24	10	Blessed Hammer	4	0	0	24	10													1	15	2	50000	
Desert Mercenary	Might-Normal	100	10	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname104	1	Zeal	4	70	4	3	10	Critical Strike	1	0	0	3	10	Might	1	10	0	3	10	Sacrifice	4	0	0	3	10													1	15	2	50000	
Desert Mercenary	Might-Normal	100	10	338	2	1	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname104	1	Zeal	4	104	4	14	10	Critical Strike	1	0	0	14	10	Might	1	10	0	14	10	Sacrifice	4	0	0	14	10													1	15	2	50000	
Desert Mercenary	Might-Normal	100	10	338	2	1	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname104	1	Zeal	4	136	4	24	10	Critical Strike	1	0	0	24	10	Might	1	10	0	24	10	Sacrifice	4	0	0	24	10													1	15	2	50000	
Desert Mercenary	Defiance-Normal	100	11	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname99	1	Holy Bolt	4	70	4	3	10	Iron Skin	1	0	0	3	10	Defiance	1	10	0	3	10	Blessed Hammer	4	0	0	3	10													1	15	2	50000	
Desert Mercenary	Defiance-Normal	100	11	338	2	1	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname99	1	Holy Bolt	4	104	4	14	10	Iron Skin	1	0	0	14	10	Defiance	1	10	0	14	10	Blessed Hammer	4	0	0	14	10													1	15	2	50000	
Desert Mercenary	Defiance-Normal	100	11	338	2	1	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	1	Holy Bolt	4	136	4	24	10	Iron Skin	1	0	0	24	10	Defiance	1	10	0	24	10	Blessed Hammer	4	0	0	24	10													1	15	2	50000	
Desert Mercenary	Thorns-Normal	100	12	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	7	14	4	18	8	18	8	18	8	18	8	skillname108	1	Zeal	4	70	4	3	10	Critical Strike	1	0	0	3	10	Thorns	1	10	0	3	10	Sacrifice	4	0	0	3	10													1	15	2	50000	
Desert Mercenary	Thorns-Normal	100	12	338	2	1	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname108	1	Zeal	4	104	4	14	10	Critical Strike	1	0	0	14	10	Thorns	1	10	0	14	10	Sacrifice	4	0	0	14	10													1	15	2	50000	
Desert Mercenary	Thorns-Normal	100	12	338	2	1	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname108	1	Zeal	4	136	4	24	10	Critical Strike	1	0	0	24	10	Thorns	1	10	0	24	10	Sacrifice	4	0	0	24	10													1	15	2	50000	
Desert Mercenary	Hammers-Nightmare	100	13	338	2	2	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname99	1	Blessed Hammer	4	104	4	14	10	Iron Skin	1	0	0	14	10	Concentration	1	10	0	14	10	Vigor	4	0	0	14	10													1	15	2	50000	
Desert Mercenary	Hammers-Nightmare	100	13	338	2	2	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	1	Blessed Hammer	4	136	4	24	10	Iron Skin	1	0	0	24	10	Concentration	1	10	0	24	10	Vigor	4	0	0	24	10													1	15	2	50000	
Desert Mercenary	Freeze-Nightmare	100	14	338	2	2	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname104	1	Vengeance	4	104	4	14	10	Critical Strike	1	0	0	14	10	Holy Freeze	1	10	0	14	10	Resist Cold	4	0	0	14	10													1	15	2	50000	
Desert Mercenary	Freeze-Nightmare	100	14	338	2	2	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname104	1	Vengeance	4	136	4	24	10	Critical Strike	1	0	0	24	10	Holy Freeze	1	10	0	24	10	Resist Cold	4	0	0	24	10													1	15	2	50000	
Desert Mercenary	Shock-Nightmare	100	15	338	2	2	43	198	merca201	merca221	7900	110	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname108	1	Vengeance	4	104	4	14	10	Critical Strike	1	0	0	14	10	Holy Shock	1	10	0	14	10	Resist Lightning	4	0	0	14	10													1	15	2	50000	
Desert Mercenary	Shock-Nightmare	100	15	338	2	2	75	198	merca201	merca221	15000	110	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname108	1	Vengeance	4	136	4	24	10	Critical Strike	1	0	0	24	10	Holy Shock	1	10	0	24	10	Resist Lightning	4	0	0	24	10													1	15	2	50000	
Desert Mercenary	Fire-Nightmare	100	16	338	2	2	43	198	merca201	merca221	7900	120	630	25	419	19	117	14	91	12	428	24	24	31	6	86	7	86	7	86	7	86	7	skillname114	1	Vengeance	4	104	4	14	10	Critical Strike	1	0	0	14	10	Holy Fire	1	10	0	14	10	Resist Fire	4	0	0	14	10													1	15	2	50000	
Desert Mercenary	Fire-Nightmare	100	16	338	2	2	75	198	merca201	merca221	15000	120	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname114	1	Vengeance	4	136	4	24	10	Critical Strike	1	0	0	24	10	Holy Fire	1	10	0	24	10	Resist Fire	4	0	0	24	10													1	15	2	50000	
Desert Mercenary	FoH-Hell	100	17	338	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	1	Fist of the Heavens	4	136	4	24	10	Iron Skin	1	0	0	24	10	Conviction	1	10	0	24	10	Blessed Hammer	4	0	0	24	10													1	15	2	50000	
Desert Mercenary	Sanctuary-Hell	100	18	338	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	1	Fist of the Heavens	4	136	4	24	10	Iron Skin	1	0	0	24	10	Sanctuary	1	10	0	24	10	Cleansing	4	0	0	24	10													1	15	2	50000	
Desert Mercenary	Redemption-Hell	100	19	338	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	1	Zeal	4	136	4	24	10	Critical Strike	1	0	0	24	10	Redemption	1	10	0	24	10	Sacrifice	4	0	0	24	10													1	15	2	50000	
Desert Mercenary	Fana-Hell	100	20	338	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	48	55	8	142	4	142	4	142	4	142	4	skillname99	1	Zeal	4	136	4	24	10	Critical Strike	1	0	0	24	10	Fanaticism	1	10	0	24	10	Sacrifice	4	0	0	24	10													1	15	2	50000	
Eastern Sorceror	0	0	101	359	3	1	15	252	merca222	merca241	0	0	0	0	0	0	0	0	40	8	15	12	1	7	4	35	8	35	8	35	8	35	8	strhirespecial7	0																																					1	15	2	50000	
Eastern Sorceror	Fire-Normal	100	21	359	3	1	15	252	merca222	merca241	1000	110	160	11	95	9	49	10	40	8	15	12	1	7	4	35	8	35	8	35	8	35	8	strhirespecial7	1	Fire Ball	7	90	0	1	10	Fire Wall	7	10	0	1	10	Frozen Armor	7	100	0	1	10																			1	15	2	50000	
Eastern Sorceror	Fire-Normal	100	21	359	3	1	49	252	merca222	merca241	10000	120	534	23	419	16	92	10	74	8	423	24	18	24	4	103	7	103	7	103	7	103	7	strhirespecial7	1	Fire Ball	7	90	0	12	15	Fire Wall	7	10	0	12	15	Frozen Armor	7	100	0	12	15																			1	15	2	50000	
Eastern Sorceror	Fire-Normal	100	21	359	3	1	79	252	merca222	merca241	21000	130	1224	34	907	25	130	10	104	8	1143	36	33	39	4	155	5	155	5	155	5	155	5	strhirespecial7	1	Fire Ball	7	90	0	26	20	Fire Wall	7	10	0	26	20	Frozen Armor	7	100	0	26	20																			1	15	2	50000	
Eastern Sorceror	Cold-Normal	100	22	359	3	1	15	252	merca222	merca241	1500	120	160	11	95	9	49	10	40	8	15	12	1	7	4	35	8	35	8	35	8	35	8	strhirespecial6	1	Ice Blast	7	90	0	1	10	Frost Nova	7	10	0	1	10	Frozen Armor	7	100	0	1	10																			1	15	2	50000	
Eastern Sorceror	Cold-Normal	100	22	359	3	1	49	252	merca222	merca241	12000	130	534	23	419	16	92	10	74	8	423	24	18	24	4	103	7	103	7	103	7	103	7	strhirespecial6	1	Ice Blast	7	90	0	12	15	Frost Nova	7	10	0	12	15	Frozen Armor	7	100	0	12	15																			1	15	2	50000	
Eastern Sorceror	Cold-Normal	100	22	359	3	1	79	252	merca222	merca241	27000	140	1224	34	907	25	130	10	104	8	1143	36	33	39	4	155	5	155	5	155	5	155	5	strhirespecial6	1	Ice Blast	7	90	0	26	20	Frost Nova	7	10	0	26	20	Frozen Armor	7	100	0	26	20																			1	15	2	50000	
Eastern Sorceror	Ltng-Normal	100	23	359	3	1	15	252	merca222	merca241	1000	110	160	11	95	9	49	10	40	8	15	12	1	7	4	35	8	35	8	35	8	35	8	strhirespecial5	1	Charged Bolt	7	90	0	1	10	Chain Lightning	7	10	0	1	10	Frozen Armor	7	100	0	1	10																			1	15	2	50000	
Eastern Sorceror	Ltng-Normal	100	23	359	3	1	49	252	merca222	merca241	10000	120	534	23	419	16	92	10	74	8	423	24	18	24	4	103	7	103	7	103	7	103	7	strhirespecial5	1	Charged Bolt	7	90	0	12	15	Chain Lightning	7	10	0	12	15	Frozen Armor	7	100	0	12	15																			1	15	2	50000	
Eastern Sorceror	Ltng-Normal	100	23	359	3	1	79	252	merca222	merca241	21000	130	1224	34	907	25	130	10	104	8	1143	36	33	39	4	155	5	155	5	155	5	155	5	strhirespecial5	1	Charged Bolt	7	90	0	26	20	Chain Lightning	7	10	0	26	20	Frozen Armor	7	100	0	26	20																			1	15	2	50000	
Eastern Sorceror	Fire-Nightmare	100	24	359	3	2	49	252	merca222	merca241	10000	120	534	23	419	16	92	10	74	8	423	24	18	24	4	103	7	103	7	103	7	103	7	strhirespecial7	1	Meteor	7	90	0	12	15	Hydra	7	20	0	12	15	Shiver Armor	7	100	0	12	15																			1	15	2	50000	
Eastern Sorceror	Fire-Nightmare	100	24	359	3	2	79	252	merca222	merca241	21000	130	1224	34	907	25	130	10	104	8	1143	36	33	39	4	155	5	155	5	155	5	155	5	strhirespecial7	1	Meteor	7	90	0	26	20	Hydra	7	20	0	26	20	Shiver Armor	7	100	0	26	20																			1	15	2	50000	
Eastern Sorceror	Cold-Nightmare	100	25	359	3	2	49	252	merca222	merca241	12000	130	534	23	419	16	92	10	74	8	423	24	18	24	4	103	7	103	7	103	7	103	7	strhirespecial6	1	Frozen Orb	7	90	0	12	15	Blizzard	7	20	0	12	15	Shiver Armor	7	100	0	12	15																			1	15	2	50000	
Eastern Sorceror	Cold-Nightmare	100	25	359	3	2	79	252	merca222	merca241	27000	140	1224	34	907	25	130	10	104	8	1143	36	33	39	4	155	5	155	5	155	5	155	5	strhirespecial6	1	Frozen Orb	7	90	0	26	20	Blizzard	7	20	0	26	20	Shiver Armor	7	100	0	26	20																			1	15	2	50000	
Eastern Sorceror	Ltng-Nightmare	100	26	359	3	2	49	252	merca222	merca241	10000	120	534	23	419	16	92	10	74	8	423	24	18	24	4	103	7	103	7	103	7	103	7	strhirespecial5	1	Chain Lightning	7	90	0	12	15	Thunder Storm	7	20	0	12	15	Shiver Armor	7	100	0	12	15																			1	15	2	50000	
Eastern Sorceror	Ltng-Nightmare	100	26	359	3	2	79	252	merca222	merca241	21000	130	1224	34	907	25	130	10	104	8	1143	36	33	39	4	155	5	155	5	155	5	155	5	strhirespecial5	1	Chain Lightning	7	90	0	26	20	Thunder Storm	7	20	0	26	20	Shiver Armor	7	100	0	26	20																			1	15	2	50000	
Eastern Sorceror	Fire-Hell	100	27	359	3	3	79	252	merca222	merca241	21000	130	1224	34	907	25	130	10	104	8	1143	36	33	39	4	155	5	155	5	155	5	155	5	strhirespecial7	1	Meteor	7	90	0	26	20	Hydra	7	20	0	26	20	Chilling Armor	7	100	0	26	20																			1	15	2	50000	
Eastern Sorceror	Cold-Hell	100	28	359	3	3	79	252	merca222	merca241	27000	140	1224	34	907	25	130	10	104	8	1143	36	33	39	4	155	5	155	5	155	5	155	5	strhirespecial6	1	Frozen Orb	7	90	0	26	20	Blizzard	7	20	0	26	20	Chilling Armor	7	100	0	26	20																			1	15	2	50000	
Eastern Sorceror	Ltng-Hell	100	29	359	3	3	79	252	merca222	merca241	21000	130	1224	34	907	25	130	10	104	8	1143	36	33	39	4	155	5	155	5	155	5	155	5	strhirespecial5	1	Chain Lightning	7	90	0	26	20	Thunder Storm	7	20	0	26	20	Chilling Armor	7	100	0	26	20																			1	15	2	50000	
Barbarian	0	0	102	561	5	1	9	515	MercX101	MercX167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	56	7																																							5	15	2	50000	bar
Barbarian	TecSlam-Normal	100	30	561	5	1	28	515	MercX101	MercX167	9000	120	450	19	300	15	101	15	63	10	150	20	16	20	6	56	7	56	7	56	7	56	7		1	Stun	5	136	4	8	10	Iron Skin	1	0	0	8	10	Shout	4	15	0	8	10	Taunt	5	0	0	8	10	Bash	5	0	0	8	10	Battle Cry	5	0	0	8	10	1	15	2	50000	bar
Barbarian	TecSlam-Normal	100	30	561	5	1	58	515	MercX101	MercX167	18000	130	1020	30	775	25	158	15	101	10	750	35	39	43	8	109	7	109	7	109	7	109	7		1	Stun	5	136	4	18	10	Iron Skin	1	0	0	18	10	Shout	4	15	0	18	10	Taunt	5	0	0	18	10	Bash	5	0	0	18	10	Battle Cry	5	0	0	18	10	1	15	2	50000	bar
Barbarian	TecSlam-Normal	100	30	561	5	1	80	515	MercX101	MercX167	32000	140	1680	45	1332	35	200	15	129	10	1520	45	61	65	8	148	4	148	4	148	4	148	4		1	Stun	5	136	4	25	10	Iron Skin	1	0	0	25	10	Shout	4	15	0	25	10	Taunt	5	0	0	25	10	Bash	5	0	0	25	10	Battle Cry	5	0	0	25	10	1	15	2	50000	bar
Barbarian	Concentrate-Normal	100	31	561	5	1	28	515	MercX101	MercX167	9000	120	450	19	300	15	101	15	63	10	150	20	16	20	6	56	7	56	7	56	7	56	7		1	Concentrate	5	136	4	8	10	Iron Skin	1	0	0	8	10	Taunt	4	15	0	8	10	Shout	5	0	0	8	10	Bash	5	0	0	8	10	Battle Cry	5	0	0	8	10	1	15	2	50000	bar
Barbarian	Concentrate-Normal	100	31	561	5	1	58	515	MercX101	MercX167	18000	130	1020	30	775	25	158	15	101	10	750	35	39	43	8	109	7	109	7	109	7	109	7		1	Concentrate	5	136	4	18	10	Iron Skin	1	0	0	18	10	Taunt	4	15	0	18	10	Shout	5	0	0	18	10	Bash	5	0	0	18	10	Battle Cry	5	0	0	18	10	1	15	2	50000	bar
Barbarian	Concentrate-Normal	100	31	561	5	1	80	515	MercX101	MercX167	32000	140	1680	45	1332	35	200	15	129	10	1520	45	61	65	8	148	4	148	4	148	4	148	4		1	Concentrate	5	136	4	25	10	Iron Skin	1	0	0	25	10	Taunt	4	15	0	25	10	Shout	5	0	0	25	10	Bash	5	0	0	25	10	Battle Cry	5	0	0	25	10	1	15	2	50000	bar
Barbarian	DblSwing-Normal	100	32	560	5	1	28	515	MercX101	MercX167	9000	120	450	19	300	15	101	15	63	10	150	20	16	20	6	56	7	56	7	56	7	56	7		1	Double Swing	4	30	4	8	10	Iron Skin	1	0	0	8	10	Battle Cry	1	100	0	8	10	Blade Mastery	1	0	0	8	10	Double Throw	5	0	0	8	10	Double Swing	5	0	0	8	10	1	15	2	50000	bar
Barbarian	DblSwing-Normal	100	32	560	5	1	58	515	MercX101	MercX167	18000	130	1020	30	775	25	158	15	101	10	750	35	39	43	8	109	7	109	7	109	7	109	7		1	Double Swing	4	30	4	18	10	Iron Skin	1	0	0	18	10	Battle Cry	1	100	0	18	10	Blade Mastery	1	0	0	18	10	Double Throw	5	0	0	18	10	Double Swing	5	0	0	18	10	1	15	2	50000	bar
Barbarian	DblSwing-Normal	100	32	560	5	1	80	515	MercX101	MercX167	32000	140	1680	45	1332	35	200	15	129	10	1520	45	61	65	8	148	4	148	4	148	4	148	4		1	Double Swing	4	30	4	25	10	Iron Skin	1	0	0	25	10	Battle Cry	1	100	0	25	10	Blade Mastery	1	0	0	25	10	Double Throw	5	0	0	25	10	Double Swing	5	0	0	25	10	1	15	2	50000	bar
Barbarian	WarCry-Nightmare	100	33	561	5	2	58	515	MercX101	MercX167	18000	130	1020	30	775	25	158	15	101	10	750	35	39	43	8	109	7	109	7	109	7	109	7		1	War Cry	5	136	4	18	10	Iron Skin	1	0	0	18	10	Battle Orders	4	15	0	18	10	Taunt	5	0	0	18	10	Howl	5	0	0	18	10	Battle Cry	5	0	0	18	10	1	15	2	50000	bar
